candidate_id,concept,home_feature,away_feature,population,home_only_mae_delta,away_only_mae_delta,pair_mae_delta,mae_interaction_residual,home_only_crps_delta,away_only_crps_delta,pair_crps_delta,crps_interaction_residual,temporal_interaction,concept_level_interpretation
S2_01,OFFENSE_CONCEPT,home_offense,away_offense,FROZEN_2025_VALIDATION,0.0012389423353882378,-0.00020092696756091044,0.00113832702676131,0.00010031165893398253,0.0013918994475519142,-0.0008514641015509028,0.0005669067138915906,2.6471367890579245e-05,REGIME_DEPENDENT,NO
S2_01,OFFENSE_CONCEPT,home_offense,away_offense,2026_SEQUENTIAL_EARLY,-0.0005194675833584128,-0.002202321534821472,-0.002990867653093865,-0.00026907853491398015,-0.0022764654471632007,-0.0024393526280857003,-0.004707492539202995,8.32553604590558e-06,REGIME_DEPENDENT,NO
S2_01,OFFENSE_CONCEPT,home_offense,away_offense,2026_LATE_HOLDOUT,0.0017288396177010945,0.00166851375179089,0.003490280748556618,9.292737906463344e-05,0.00014544450932829633,-0.0009382642861210932,-0.0007628637160714824,2.9956060721314515e-05,REGIME_DEPENDENT,NO
S2_01,OFFENSE_CONCEPT,home_offense,away_offense,PROSPECTIVE_AUG17_28_CLEAN_RAW,0.0013353416938324258,0.001765348837466263,0.003938865302059558,0.0008381747707608689,-0.0017741666100374864,7.496257756534064e-05,-0.0016738203882677993,2.5383644204346467e-05,REGIME_DEPENDENT,NO
S2_01,OFFENSE_CONCEPT,home_offense,away_offense,ALL_GOVERNED_EVALUATION,0.0007695944822749823,-0.0005342671716181968,0.0002517856644770333,1.645835382024785e-05,5.973990868080037e-05,-0.0012988226352192989,-0.0012176901972034138,2.139252933508473e-05,REGIME_DEPENDENT,NO
S2_02,PREVENTION_CONCEPT,home_prevention,away_prevention,FROZEN_2025_VALIDATION,-0.0034120336780030236,-0.0008977667135097178,-0.004333869104991894,-2.4068713479152848e-05,-0.0006435231812189635,-0.00013361632776787147,-0.0008176199532683448,-4.0480444281509875e-05,MIXED,NO
S2_02,PREVENTION_CONCEPT,home_prevention,away_prevention,2026_SEQUENTIAL_EARLY,-0.002189306410767422,-0.004452538102416526,-0.007206278491953544,-0.0005644339787695962,-0.0009980650554743953,-0.0016840730430622841,-0.002714057371417944,-3.1919272881264504e-05,MIXED,NO
S2_02,PREVENTION_CONCEPT,home_prevention,away_prevention,2026_LATE_HOLDOUT,0.0005064786993407289,0.0009658325251562516,0.0015634464251306213,9.113520063364078e-05,-0.0004895311267434366,0.00025226446037462935,-0.00026505553664257775,-2.7788870273770527e-05,MIXED,NO
S2_02,PREVENTION_CONCEPT,home_prevention,away_prevention,PROSPECTIVE_AUG17_28_CLEAN_RAW,-0.0013556272017076765,-0.0040149451995170615,-0.005362203449510439,8.3689517142993e-06,-0.001179419500573431,-0.0020986622621745887,-0.0033355148571194704,-5.743309437145072e-05,MIXED,NO
S2_02,PREVENTION_CONCEPT,home_prevention,away_prevention,ALL_GOVERNED_EVALUATION,-0.002574869609011543,-0.0018775350883606379,-0.004624204464639181,-0.0001717997672670002,-0.0007526356098166431,-0.0006263711553535778,-0.0014162628306770841,-3.725606550686322e-05,MIXED,NO
S2_03,STARTER_RA9_CONCEPT,home_starter_ra9,away_starter_ra9,FROZEN_2025_VALIDATION,0.004143655184650985,0.0001522056224589896,0.004465304630242972,0.00016944382313299755,0.0019132562041286327,0.00011206377605166296,0.0020289876425567677,3.6676623764719807e-06,MIXED,NO
S2_03,STARTER_RA9_CONCEPT,home_starter_ra9,away_starter_ra9,2026_SEQUENTIAL_EARLY,0.0012158130761208419,0.003352896976613451,0.004648647295264929,7.993724253063661e-05,-0.000592176558204649,0.0003912219281461127,-0.00018579960198739087,1.5155028071145438e-05,MIXED,NO
S2_03,STARTER_RA9_CONCEPT,home_starter_ra9,away_starter_ra9,2026_LATE_HOLDOUT,-0.0016338018781310026,0.0025680371431890947,0.0009592485393987715,2.501327434067946e-05,-0.003447058758712096,0.0013139973299209906,-0.0021222626148884594,1.0798813902646032e-05,MIXED,NO
S2_03,STARTER_RA9_CONCEPT,home_starter_ra9,away_starter_ra9,PROSPECTIVE_AUG17_28_CLEAN_RAW,0.004177970773406425,0.003212587930793376,0.0073184425325489855,-7.211617165081563e-05,0.002768186377327897,0.0007063566637368623,0.0034684017835986403,-6.141257466119043e-06,MIXED,NO
S2_03,STARTER_RA9_CONCEPT,home_starter_ra9,away_starter_ra9,ALL_GOVERNED_EVALUATION,0.0026858886124196957,0.0014606426849730347,0.0042659063575047895,0.00011937506011205912,0.0006532727902928137,0.0003390213331320169,0.0009997482094452614,7.45408602043085e-06,MIXED,NO
S2_04,STARTER_PRIOR_STARTS_CONCEPT,home_starter_prior_starts,away_starter_prior_starts,FROZEN_2025_VALIDATION,-0.014788531822835793,-0.0004862533969243188,-0.015017589484337623,0.0002571957354224885,0.0008559802872198929,0.00034047676592452447,0.001421685492410063,0.00022522843926564562,MIXED,NO
S2_04,STARTER_PRIOR_STARTS_CONCEPT,home_starter_prior_starts,away_starter_prior_starts,2026_SEQUENTIAL_EARLY,0.002968443520760644,0.00014859890634966177,0.0038090456745654144,0.0006920032474551085,0.01725883544036355,0.0010280663017256941,0.0186729146386706,0.00038601289658135585,MIXED,NO
S2_04,STARTER_PRIOR_STARTS_CONCEPT,home_starter_prior_starts,away_starter_prior_starts,2026_LATE_HOLDOUT,-0.004339936170778547,0.0007956845347378838,-0.0029227988858391285,0.0006214527502015343,0.023205386210781498,0.0020769467955594756,0.02567443132385927,0.0003920983175182968,MIXED,NO
S2_04,STARTER_PRIOR_STARTS_CONCEPT,home_starter_prior_starts,away_starter_prior_starts,PROSPECTIVE_AUG17_28_CLEAN_RAW,0.0021690949862809283,-0.00021711381555178377,0.0032475924169945714,0.0012956112462654268,0.024700627327836955,0.0012402329860732308,0.026367704919181723,0.0004268446052715369,MIXED,NO
S2_04,STARTER_PRIOR_STARTS_CONCEPT,home_starter_prior_starts,away_starter_prior_starts,ALL_GOVERNED_EVALUATION,-0.007831231129259209,-0.0001571741843022778,-0.007527243443980147,0.0004611618695813391,0.008872506532278113,0.0007543719872544763,0.009924205563642818,0.00029732704411022937,MIXED,NO
S2_05,EXPECTED_OUTS_CONCEPT,home_expected_outs,away_expected_outs,FROZEN_2025_VALIDATION,0.005496147694631137,-0.002439644442924216,0.003027457433333325,-2.9045818373596433e-05,0.0032800940088648645,-0.00119533821072082,0.00208534474498423,5.889468401854003e-07,REGIME_DEPENDENT,NO
S2_05,EXPECTED_OUTS_CONCEPT,home_expected_outs,away_expected_outs,2026_SEQUENTIAL_EARLY,0.0029223369652005005,-0.004003563171047109,-0.0009346846194562275,0.00014654158639038073,0.0020445157323960572,-0.0020493984091127793,-3.2837618273440228e-06,1.5989148893780225e-06,REGIME_DEPENDENT,NO
S2_05,EXPECTED_OUTS_CONCEPT,home_expected_outs,away_expected_outs,2026_LATE_HOLDOUT,-0.006790464214379899,-0.00023555240746775397,-0.0077344515829347316,-0.0007084349610870788,-0.004032478017219621,-0.0007193601016450835,-0.004783530189235385,-3.1692070370681336e-05,REGIME_DEPENDENT,NO
S2_05,EXPECTED_OUTS_CONCEPT,home_expected_outs,away_expected_outs,PROSPECTIVE_AUG17_28_CLEAN_RAW,0.0025517478837939755,-0.0009981557898286475,0.0015818375979375077,2.824550397217962e-05,0.004060231928736613,-0.0010689911190859824,0.002952581620066841,-3.8659189583789555e-05,REGIME_DEPENDENT,NO
S2_05,EXPECTED_OUTS_CONCEPT,home_expected_outs,away_expected_outs,ALL_GOVERNED_EVALUATION,0.003372638633839742,-0.002627834569932208,0.0007008158176247115,-4.3988246282822274e-05,0.002196015713179289,-0.001396170556499765,0.0007960246566023343,-3.8205000771895925e-06,REGIME_DEPENDENT,NO
S2_06,BULLPEN_RA9_CONCEPT,home_bullpen_ra9,away_bullpen_ra9,FROZEN_2025_VALIDATION,0.0030677026014087616,0.0006655505775152726,0.003491417119149798,-0.0002418360597742364,0.0009793580480184083,0.000480042718477236,0.0014096129975325056,-4.9787768963138745e-05,MIXED,NO
S2_06,BULLPEN_RA9_CONCEPT,home_bullpen_ra9,away_bullpen_ra9,2026_SEQUENTIAL_EARLY,0.004527845806259201,0.0032760997615652876,0.00759212874102877,-0.00021181682679571878,0.003049994308255144,0.0017849088462633667,0.004808281160030958,-2.6621994487552314e-05,MIXED,NO
S2_06,BULLPEN_RA9_CONCEPT,home_bullpen_ra9,away_bullpen_ra9,2026_LATE_HOLDOUT,-0.0008930721433082489,0.0003857153174440242,-0.0008264461106919363,-0.0003190892848277116,0.0005219330224490726,0.0008640712259526673,0.0013335439676440686,-5.2460280757671285e-05,MIXED,NO
S2_06,BULLPEN_RA9_CONCEPT,home_bullpen_ra9,away_bullpen_ra9,PROSPECTIVE_AUG17_28_CLEAN_RAW,0.0026567997971986834,0.0020838442526840417,0.004456831144130202,-0.00028381290575252294,0.0029666729838271344,0.0020427429497646976,0.004952991410782648,-5.6424522809184197e-05,MIXED,NO
S2_06,BULLPEN_RA9_CONCEPT,home_bullpen_ra9,away_bullpen_ra9,ALL_GOVERNED_EVALUATION,0.0030833819922242434,0.0014644643948562575,0.0043055443453332565,-0.00024230204174724435,0.0016202716226585423,0.0009636591632573577,0.002540517301200307,-4.341348471559314e-05,MIXED,NO
S2_07,RELIEVER_AVAILABILITY_CONCEPT,home_bullpen_likely_available_reliever_count,away_bullpen_likely_available_reliever_count,FROZEN_2025_VALIDATION,-0.008254315635499054,0.0015754143204413928,-0.006860156541006468,-0.0001812552259488065,-0.005504026610252399,0.0009215765672681009,-0.0047441038958733195,-0.000161653852889021,STABLE,NO
S2_07,RELIEVER_AVAILABILITY_CONCEPT,home_bullpen_likely_available_reliever_count,away_bullpen_likely_available_reliever_count,2026_SEQUENTIAL_EARLY,-0.0047373760004036924,0.0012517036250878633,-0.003972256561216803,-0.0004865841859009734,-0.0030651344851451157,0.0005969629826516609,-0.002671389487431508,-0.00020321798493805332,STABLE,NO
S2_07,RELIEVER_AVAILABILITY_CONCEPT,home_bullpen_likely_available_reliever_count,away_bullpen_likely_available_reliever_count,2026_LATE_HOLDOUT,-0.003261614685804215,-0.0003102933667888941,-0.004058712538545173,-0.0004868044859520637,-0.006158437799606453,0.001226660876625374,-0.005010497996731811,-7.872107375073156e-05,STABLE,NO
