path,sha256,bytes,role
models_out/latest/hits.joblib,2e7377b2cdcb836b110e4b1a1a6acccff3afc78f7f82652e3b490048087ddadf,164348163,input
models_out/archive/hits/hits-20260709T061129Z.joblib,2e7377b2cdcb836b110e4b1a1a6acccff3afc78f7f82652e3b490048087ddadf,164348163,input
models_out/latest/MODEL_INDEX.json,ac7b2413c9f6eea5f0f2a4baaad375a25f41ae3a4e4207253fa2fab3340af0b4,46187,input
backend/mlb/model_trainer.py,3069086fc5f598df46fb6543cd7eff468107b55bac89863fffb21326ada295b6,54082,input
backend/mlb/modeling/feature_metadata.json,e886bc6607968881042e403b07feaa8d77720bafd0066f6c91a3b27d5342c7c7,36689,input
tmp/mlb_base_vs_market_rows.csv,3d610fc403989ff77cc33fa3473fc9450a4d30808251ba3c358d637ddad7cacd,169113,input
tmp/analysis/run_mlb_hits05_2026_coherent_reconstruction_feasibility_v1.py,2b7224e52293205b921a08574079c656ba0b8b203e8bdf58e58548d315d7f842,12678,input
artifacts/analysis/model_development/mlb_hits05_2026_coherent_slate_by_slate_reconstruction_v1/2026-08-14/concise_mlb_hits05_2026_coherent_slate_by_slate_reconstruction_v1.md,2d93c7a37233e529b01608332756948b2f3462f413f771ed3034fe616e552c66,1667,output
artifacts/analysis/model_development/mlb_hits05_2026_coherent_slate_by_slate_reconstruction_v1/2026-08-14/hits05_2026_official_slate_spine.csv,5db2c73572c9033d57bf12a926d244921a0f7ee34ec7f7d41b6ebaa9e6f72c66,207,output
artifacts/analysis/model_development/mlb_hits05_2026_coherent_slate_by_slate_reconstruction_v1/2026-08-14/hits05_betonline_contemporaneous_parity.csv,519efabb780804ddb7248c22d15820a16a184f5d09d4777b9915bcc479a6926e,208,output
artifacts/analysis/model_development/mlb_hits05_2026_coherent_slate_by_slate_reconstruction_v1/2026-08-14/hits05_calibration_bands.csv,3da7fa5380a59cc82161cd89a198eadf870a9a83ad6bdad1e08fc88cade72af5,208,output
artifacts/analysis/model_development/mlb_hits05_2026_coherent_slate_by_slate_reconstruction_v1/2026-08-14/hits05_clustered_uncertainty.csv,70bceb7d2308dd4b5eed5a66fa796bf69e3fd5dd85378269dde9f7cce1c95870,208,output
artifacts/analysis/model_development/mlb_hits05_2026_coherent_slate_by_slate_reconstruction_v1/2026-08-14/hits05_coherent_evidence_classification.md,c7341b9b3f05a9932204c9f1edd586a14fae4568b496a6aec685c087c0a90436,288,output
artifacts/analysis/model_development/mlb_hits05_2026_coherent_slate_by_slate_reconstruction_v1/2026-08-14/hits05_coherent_prediction_ledger.csv,9a905cb804912d0188a7d27fc3e701d866ed823cff46625c801c724d2c5797be,207,output
artifacts/analysis/model_development/mlb_hits05_2026_coherent_slate_by_slate_reconstruction_v1/2026-08-14/hits05_confidence_ordering.csv,2e66ddf344102f0ca54e03c7b16be146f05125f63463488088baa055c08ee683,208,output
artifacts/analysis/model_development/mlb_hits05_2026_coherent_slate_by_slate_reconstruction_v1/2026-08-14/hits05_cumulative_scorecard.csv,196e8650e69e3db26d63e0e0462aa9e66d0d42128e931c7f66e48457e30fd789,208,output
artifacts/analysis/model_development/mlb_hits05_2026_coherent_slate_by_slate_reconstruction_v1/2026-08-14/hits05_current_model_training_lineage.md,ed797879dd8106db560851972f3cb561e76a1040e366c37f7c6492a579bec79d,2710,output
artifacts/analysis/model_development/mlb_hits05_2026_coherent_slate_by_slate_reconstruction_v1/2026-08-14/hits05_current_model_training_population.csv,788f6f3d31c4e8dc02c9a1667b0383bc7eeeb37d82d52b9be2a742c42dd93c13,533,output
artifacts/analysis/model_development/mlb_hits05_2026_coherent_slate_by_slate_reconstruction_v1/2026-08-14/hits05_monthly_scorecard.csv,3a11c38bd4ba562d06625ac8c44c95a0065b911099ecf209f8aea492c4345d28,208,output
