temporal_classification,observation_rows,games,ingestion_runs
LINEUP_POST_FIRST_PITCH,8964,51,30
LINEUP_SCHEDULE_TIME_MISSING,594,11,3
LINEUP_VALID_PREGAME,3204,36,44
