point,park_history_depth,standardized_depth,frozen_coefficient,isolated_log_location_contribution,isolated_multiplicative_location_factor,per_additional_game_log_location_change,per_additional_game_multiplicative_factor
TRAINING_P10,15.0,-1.3912906835919947,-0.02681303790069205,0.037304729830031906,1.0380092850411435,-0.0005735321288036154,0.9994266323093094
TRAINING_MEAN,80.043836180284,0.0,-0.02681303790069205,-0.0,1.0,-0.0005735321288036154,0.9994266323093094
TRAINING_MEDIAN,80.0,-0.0009376579367851,-0.02681303790069205,2.5141457796903598e-05,1.000025141773846,-0.0005735321288036154,0.9994266323093094
TRAINING_P90,145.0,1.3894153677184244,-0.02681303790069205,-0.0372544469144381,0.9634309621230045,-0.0005735321288036154,0.9994266323093094
TRAINING_P95,153.0,1.560535740106758,-0.02681303790069205,-0.04184270394486702,0.9590206188691783,-0.0005735321288036154,0.9994266323093094
TRAINING_MAX,161.0,1.7316561124950915,-0.02681303790069205,-0.04643096097529594,0.9546304650512135,-0.0005735321288036154,0.9994266323093094
PROSPECTIVE_MEDIAN,299.0,4.683482536193844,-0.02681303790069205,-0.12557839475019486,0.8819866185960932,-0.0005735321288036154,0.9994266323093094
PROSPECTIVE_P90,301.0,4.726262629290927,-0.02681303790069205,-0.1267254590078021,0.8809755032881939,-0.0005735321288036154,0.9994266323093094
PROSPECTIVE_MAX,302.0,4.747652675839469,-0.02681303790069205,-0.12729899113660573,0.8804703803983185,-0.0005735321288036154,0.9994266323093094
