row_type,venue_id,park_name,games,first_date,last_date,min_depth,max_depth,pearson_depth_vs_date,spearman_depth_vs_date,declines,season_reset_count,historical_depth_formula_mismatches,prospective_live_depth_mismatches,mechanical_calendar_growth,notes,estimated_depth_increase_per_week,estimated_depth_increase_per_month,positive_depth_steps,neutral_site_games,sparse_or_special_venue,season,reset_at_season_start
GLOBAL_SUMMARY,ALL,ALL,9012,2023-03-30,2026-08-05,0.0,303.0,0.9422876379236895,0.950725893674244,0,0,0,0,YES,Depth is a same-venue prior-game count; the historical builder freezes same-date rows together and never resets by season.,,,,,,,
VENUE_SUMMARY,1,Angel Stadium,301,2023-04-07,2026-08-02,0.0,300.0,,,0,0,0,,YES,,1.5540559567166656,6.757368311794788,298,0,False,,
SEASON_BOUNDARY,1,Angel Stadium,81,2023-04-07,2023-10-01,0.0,80.0,,,,,,,,,,,,,,2023,False
SEASON_BOUNDARY,1,Angel Stadium,81,2024-04-05,2024-09-29,81.0,161.0,,,,,,,,,,,,,,2024,False
SEASON_BOUNDARY,1,Angel Stadium,81,2025-04-04,2025-09-28,162.0,242.0,,,,,,,,,,,,,,2025,False
SEASON_BOUNDARY,1,Angel Stadium,58,2026-04-03,2026-08-02,243.0,300.0,,,,,,,,,,,,,,2026,False
VENUE_SUMMARY,2,Oriole Park at Camden Yards,304,2023-04-07,2026-08-05,0.0,303.0,,,0,0,0,,YES,,1.5639311993793363,6.800307983015507,297,0,False,,
SEASON_BOUNDARY,2,Oriole Park at Camden Yards,81,2023-04-07,2023-10-01,0.0,80.0,,,,,,,,,,,,,,2023,False
SEASON_BOUNDARY,2,Oriole Park at Camden Yards,81,2024-03-28,2024-09-22,81.0,161.0,,,,,,,,,,,,,,2024,False
SEASON_BOUNDARY,2,Oriole Park at Camden Yards,81,2025-03-31,2025-09-25,162.0,242.0,,,,,,,,,,,,,,2025,False
SEASON_BOUNDARY,2,Oriole Park at Camden Yards,61,2026-03-26,2026-08-05,243.0,303.0,,,,,,,,,,,,,,2026,False
VENUE_SUMMARY,3,Fenway Park,299,2023-03-30,2026-08-05,0.0,298.0,,,0,0,0,,YES,,1.548217090611076,6.7319796707820885,289,0,False,,
SEASON_BOUNDARY,3,Fenway Park,81,2023-03-30,2023-09-27,0.0,80.0,,,,,,,,,,,,,,2023,False
SEASON_BOUNDARY,3,Fenway Park,81,2024-04-09,2024-09-29,81.0,161.0,,,,,,,,,,,,,,2024,False
SEASON_BOUNDARY,3,Fenway Park,81,2025-04-04,2025-09-28,162.0,242.0,,,,,,,,,,,,,,2025,False
SEASON_BOUNDARY,3,Fenway Park,56,2026-04-03,2026-08-05,243.0,298.0,,,,,,,,,,,,,,2026,False
VENUE_SUMMARY,4,Rate Field,298,2023-04-03,2026-07-30,0.0,297.0,,,0,0,0,,YES,,1.5515441220844775,6.7464463165637545,289,0,False,,
SEASON_BOUNDARY,4,Rate Field,81,2023-04-03,2023-10-01,0.0,80.0,,,,,,,,,,,,,,2023,False
SEASON_BOUNDARY,4,Rate Field,81,2024-03-28,2024-09-26,81.0,161.0,,,,,,,,,,,,,,2024,False
SEASON_BOUNDARY,4,Rate Field,81,2025-03-27,2025-09-21,162.0,242.0,,,,,,,,,,,,,,2025,False
SEASON_BOUNDARY,4,Rate Field,55,2026-04-03,2026-07-30,243.0,297.0,,,,,,,,,,,,,,2026,False
VENUE_SUMMARY,5,Progressive Field,301,2023-04-07,2026-08-05,0.0,300.0,,,0,0,0,,YES,,1.5539158668152329,6.756759170884093,292,0,False,,
SEASON_BOUNDARY,5,Progressive Field,81,2023-04-07,2023-09-27,0.0,80.0,,,,,,,,,,,,,,2023,False
SEASON_BOUNDARY,5,Progressive Field,80,2024-04-08,2024-09-28,81.0,160.0,,,,,,,,,,,,,,2024,False
SEASON_BOUNDARY,5,Progressive Field,82,2025-04-08,2025-09-30,161.0,242.0,,,,,,,,,,,,,,2025,False
SEASON_BOUNDARY,5,Progressive Field,58,2026-04-03,2026-08-05,243.0,300.0,,,,,,,,,,,,,,2026,False
VENUE_SUMMARY,7,Kauffman Stadium,298,2023-03-30,2026-08-05,0.0,297.0,,,0,0,0,,YES,,1.5520687581569905,6.748727546629057,293,0,False,,
SEASON_BOUNDARY,7,Kauffman Stadium,81,2023-03-30,2023-10-01,0.0,80.0,,,,,,,,,,,,,,2023,False
SEASON_BOUNDARY,7,Kauffman Stadium,81,2024-03-28,2024-09-22,81.0,161.0,,,,,,,,,,,,,,2024,False
SEASON_BOUNDARY,7,Kauffman Stadium,81,2025-03-27,2025-09-21,162.0,242.0,,,,,,,,,,,,,,2025,False
SEASON_BOUNDARY,7,Kauffman Stadium,55,2026-03-30,2026-08-05,243.0,297.0,,,,,,,,,,,,,,2026,False
VENUE_SUMMARY,10,Oakland Coliseum,162,2023-03-30,2024-09-26,0.0,161.0,,,0,0,0,,YES,,1.6791363410299482,7.301244625728436,160,0,False,,
SEASON_BOUNDARY,10,Oakland Coliseum,81,2023-03-30,2023-09-24,0.0,80.0,,,,,,,,,,,,,,2023,False
SEASON_BOUNDARY,10,Oakland Coliseum,81,2024-03-28,2024-09-26,81.0,161.0,,,,,,,,,,,,,,2024,False
VENUE_SUMMARY,12,Tropicana Field,221,2023-03-30,2026-08-02,0.0,220.0,,,0,0,0,,YES,,0.9861996406309598,4.288207365957834,220,0,False,,
SEASON_BOUNDARY,12,Tropicana Field,81,2023-03-30,2023-09-24,0.0,80.0,,,,,,,,,,,,,,2023,False
SEASON_BOUNDARY,12,Tropicana Field,81,2024-03-28,2024-09-22,81.0,161.0,,,,,,,,,,,,,,2024,False
SEASON_BOUNDARY,12,Tropicana Field,59,2026-04-06,2026-08-02,162.0,220.0,,,,,,,,,,,,,,2026,False
VENUE_SUMMARY,14,Rogers Centre,302,2023-04-11,2026-08-02,0.0,301.0,,,0,0,0,,YES,,1.5728348179687506,6.8390228245605496,301,0,False,,
SEASON_BOUNDARY,14,Rogers Centre,81,2023-04-11,2023-10-01,0.0,80.0,,,,,,,,,,,,,,2023,False
SEASON_BOUNDARY,14,Rogers Centre,81,2024-04-08,2024-09-29,81.0,161.0,,,,,,,,,,,,,,2024,False
SEASON_BOUNDARY,14,Rogers Centre,81,2025-03-27,2025-09-28,162.0,242.0,,,,,,,,,,,,,,2025,False
SEASON_BOUNDARY,14,Rogers Centre,59,2026-03-27,2026-08-02,243.0,301.0,,,,,,,,,,,,,,2026,False
VENUE_SUMMARY,15,Chase Field,297,2023-04-06,2026-08-05,0.0,296.0,,,0,0,0,,YES,,1.5436725483208786,6.71221902707382,296,0,False,,
SEASON_BOUNDARY,15,Chase Field,81,2023-04-06,2023-10-01,0.0,80.0,,,,,,,,,,,,,,2023,False
SEASON_BOUNDARY,15,Chase Field,81,2024-03-28,2024-09-29,81.0,161.0,,,,,,,,,,,,,,2024,False
SEASON_BOUNDARY,15,Chase Field,81,2025-03-27,2025-09-25,162.0,242.0,,,,,,,,,,,,,,2025,False
SEASON_BOUNDARY,15,Chase Field,54,2026-03-30,2026-08-05,243.0,296.0,,,,,,,,,,,,,,2026,False
VENUE_SUMMARY,17,Wrigley Field,300,2023-03-30,2026-08-05,0.0,299.0,,,0,0,0,,YES,,1.5439575729329094,6.713458375163633,297,0,False,,
SEASON_BOUNDARY,17,Wrigley Field,81,2023-03-30,2023-09-24,0.0,80.0,,,,,,,,,,,,,,2023,False
SEASON_BOUNDARY,17,Wrigley Field,81,2024-04-01,2024-09-29,81.0,161.0,,,,,,,,,,,,,,2024,False
SEASON_BOUNDARY,17,Wrigley Field,80,2025-04-04,2025-09-30,162.0,241.0,,,,,,,,,,,,,,2025,False
SEASON_BOUNDARY,17,Wrigley Field,58,2026-03-26,2026-08-05,242.0,299.0,,,,,,,,,,,,,,2026,False
VENUE_SUMMARY,19,Coors Field,300,2023-04-06,2026-08-05,0.0,299.0,,,0,0,0,,YES,,1.5453037374175698,6.719311786806754,294,0,False,,
SEASON_BOUNDARY,19,Coors Field,81,2023-04-06,2023-10-01,0.0,80.0,,,,,,,,,,,,,,2023,False
SEASON_BOUNDARY,19,Coors Field,79,2024-04-05,2024-09-29,81.0,159.0,,,,,,,,,,,,,,2024,False
SEASON_BOUNDARY,19,Coors Field,81,2025-04-04,2025-09-21,160.0,240.0,,,,,,,,,,,,,,2025,False
SEASON_BOUNDARY,19,Coors Field,59,2026-04-03,2026-08-05,241.0,299.0,,,,,,,,,,,,,,2026,False
VENUE_SUMMARY,22,UNIQLO Field at Dodger Stadium,298,2023-03-30,2026-08-02,0.0,297.0,,,0,0,0,,YES,,1.5496401976436447,6.738167645111205,296,0,False,,
SEASON_BOUNDARY,22,UNIQLO Field at Dodger Stadium,81,2023-03-30,2023-09-24,0.0,80.0,,,,,,,,,,,,,,2023,False
SEASON_BOUNDARY,22,UNIQLO Field at Dodger Stadium,80,2024-03-28,2024-09-26,81.0,160.0,,,,,,,,,,,,,,2024,False
SEASON_BOUNDARY,22,UNIQLO Field at Dodger Stadium,81,2025-03-27,2025-09-21,161.0,241.0,,,,,,,,,,,,,,2025,False
SEASON_BOUNDARY,22,UNIQLO Field at Dodger Stadium,56,2026-03-26,2026-08-02,242.0,297.0,,,,,,,,,,,,,,2026,False
VENUE_SUMMARY,31,PNC Park,300,2023-04-07,2026-07-29,0.0,299.0,,,0,0,0,,YES,,1.5615317311792016,6.789874581109564,296,0,False,,
SEASON_BOUNDARY,31,PNC Park,81,2023-04-07,2023-10-01,0.0,80.0,,,,,,,,,,,,,,2023,False
SEASON_BOUNDARY,31,PNC Park,81,2024-04-05,2024-09-26,81.0,161.0,,,,,,,,,,,,,,2024,False
SEASON_BOUNDARY,31,PNC Park,81,2025-04-04,2025-09-21,162.0,242.0,,,,,,,,,,,,,,2025,False
SEASON_BOUNDARY,31,PNC Park,57,2026-04-03,2026-07-29,243.0,299.0,,,,,,,,,,,,,,2026,False
VENUE_SUMMARY,32,American Family Field,302,2023-04-03,2026-08-05,0.0,301.0,,,0,0,0,,YES,,1.562630275879552,6.794651288869123,301,0,False,,
