aggregation_level,period,games,mean_depth,standardized_mean_shift,share_above_training_p90,share_above_training_p95,share_above_training_p99,share_above_training_max,population_stability_index,drift_severity,threshold_contract
PERIOD,DEVELOPMENT_2023_24_IN_SAMPLE_REFERENCE,4859,80.043836180284,0.0,0.09590450710022638,0.046511627906976744,0.009878575838649928,0.0,0.0,NONE,"NONE:<0.5SD,<0.10PSI,0>max; MODERATE:<1SD,<0.25PSI,<20%>max; SEVERE:<2SD,<0.50PSI,<50%>max; else EXTREME"
PERIOD,FROZEN_2025_VALIDATION,2433,190.38923140156186,2.3600502492153925,0.9317714755445952,0.9317714755445952,0.9309494451294698,0.9260172626387176,7.390598435602419,EXTREME,"NONE:<0.5SD,<0.10PSI,0>max; MODERATE:<1SD,<0.25PSI,<20%>max; SEVERE:<2SD,<0.50PSI,<50%>max; else EXTREME"
PERIOD,2026_SEQUENTIAL_EARLY,1281,254.24980483996876,3.725890318536998,0.9648711943793911,0.9648711943793911,0.9648711943793911,0.9648711943793911,8.718990333049087,EXTREME,"NONE:<0.5SD,<0.10PSI,0>max; MODERATE:<1SD,<0.25PSI,<20%>max; SEVERE:<2SD,<0.50PSI,<50%>max; else EXTREME"
PERIOD,2026_LATE_HOLDOUT,439,283.5512528473804,4.352585157352791,0.9681093394077449,0.9681093394077449,0.9681093394077449,0.9681093394077449,10.474373410739101,EXTREME,"NONE:<0.5SD,<0.10PSI,0>max; MODERATE:<1SD,<0.25PSI,<20%>max; SEVERE:<2SD,<0.50PSI,<50%>max; else EXTREME"
PERIOD,PROSPECTIVE_AUG06_15,126,291.26984126984127,4.5176691329322916,0.9603174603174603,0.9603174603174603,0.9603174603174603,0.9603174603174603,11.322401223345324,EXTREME,"NONE:<0.5SD,<0.10PSI,0>max; MODERATE:<1SD,<0.25PSI,<20%>max; SEVERE:<2SD,<0.50PSI,<50%>max; else EXTREME"
MONTH,2023-03,20,0.25,-1.7066182289301213,0.0,0.0,0.0,0.0,12.399532307293672,EXTREME,"NONE:<0.5SD,<0.10PSI,0>max; MODERATE:<1SD,<0.25PSI,<20%>max; SEVERE:<2SD,<0.50PSI,<50%>max; else EXTREME"
MONTH,2023-04,405,6.91358024691358,-1.5640986050630923,0.0,0.0,0.0,0.0,12.399532307293672,EXTREME,"NONE:<0.5SD,<0.10PSI,0>max; MODERATE:<1SD,<0.25PSI,<20%>max; SEVERE:<2SD,<0.50PSI,<50%>max; else EXTREME"
MONTH,2023-05,415,20.62168674698795,-1.2709117430567904,0.0,0.0,0.0,0.0,10.869108764163155,EXTREME,"NONE:<0.5SD,<0.10PSI,0>max; MODERATE:<1SD,<0.25PSI,<20%>max; SEVERE:<2SD,<0.50PSI,<50%>max; else EXTREME"
MONTH,2023-06,390,33.65128205128205,-0.9922367735810781,0.0,0.0,0.0,0.0,9.606942987754373,EXTREME,"NONE:<0.5SD,<0.10PSI,0>max; MODERATE:<1SD,<0.25PSI,<20%>max; SEVERE:<2SD,<0.50PSI,<50%>max; else EXTREME"
MONTH,2023-07,367,46.47138964577657,-0.7180422948474458,0.0,0.0,0.0,0.0,10.487922105387774,EXTREME,"NONE:<0.5SD,<0.10PSI,0>max; MODERATE:<1SD,<0.25PSI,<20%>max; SEVERE:<2SD,<0.50PSI,<50%>max; else EXTREME"
MONTH,2023-08,411,59.21654501216545,-0.44545088277794764,0.0,0.0,0.0,0.0,9.282922683174029,EXTREME,"NONE:<0.5SD,<0.10PSI,0>max; MODERATE:<1SD,<0.25PSI,<20%>max; SEVERE:<2SD,<0.50PSI,<50%>max; else EXTREME"
