period,games,mean,median,sd_sample,min,p05,p10,p25,p50,p75,p90,p95,p99,max,missing_rows,sparse_fallback_rows,sparse_fallback_rate
DEVELOPMENT_2023_24_IN_SAMPLE_REFERENCE,4859,80.043836180284,80.0,46.75552787825708,0.0,7.0,15.0,40.0,80.0,120.5,145.0,153.0,159.0,161.0,0,614,0.126363449269397
FROZEN_2025_VALIDATION,2433,190.38923140156186,199.0,47.18757362255812,0.0,58.60000000000001,164.0,177.0,199.0,220.0,233.0,238.0,241.0,243.0,0,44,0.018084669132757913
2026_SEQUENTIAL_EARLY,1281,254.24980483996876,262.0,38.61351024952287,0.0,181.0,243.0,250.0,262.0,273.0,280.0,282.0,286.0,290.0,0,8,0.00624512099921936
2026_LATE_HOLDOUT,439,283.5512528473804,291.0,32.83550383888955,118.0,212.9,284.0,287.0,291.0,295.0,298.0,299.0,301.0,303.0,0,0,0.0
PROSPECTIVE_AUG06_15,126,291.26984126984127,299.0,33.99774408949222,132.0,239.75,296.0,297.0,299.0,300.0,301.0,302.0,302.0,302.0,0,0,0.0
