venue_id,park_name,mean_depth,variant,games,mean_prediction,mean_actual,actual_minus_forecast_bias,median_actual_minus_forecast_residual,mae,rmse,crps,fixed_threshold_macro_brier,fixed_threshold_macro_log_loss,fixed_threshold_macro_ece,mean_prediction_shift_vs_raw,counterfactual_status
1,Angel Stadium,301.0,RAW_V1,6,8.113712218886846,6.333333333333333,-1.7803788855535128,-2.2535809657020947,3.3871644282432847,4.009481156234322,2.2217831050742,0.19450779422023978,0.5745619277430171,0.16112482921219629,0.0,FROZEN_DIAGNOSTIC_CONTROL
1,Angel Stadium,301.0,TRAINING_MEAN,6,9.209918083536774,6.333333333333333,-2.87658475020344,-3.3686838452329795,4.114999121015264,4.603896593333293,2.5482169656162204,0.23412916006876458,0.6600773873214322,0.25438598488761993,1.0962058646499273,COUNTERFACTUAL_ONLY_NOT_A_MODEL
1,Angel Stadium,301.0,P95_CAP,6,8.832501340207873,6.333333333333333,-2.4991680068745397,-2.9847609792450047,3.86441024142054,4.3773833101045,2.4219395026387693,0.21903363662608324,0.627554871278888,0.22311934156959282,0.7187891213210271,COUNTERFACTUAL_ONLY_NOT_A_MODEL
1,Angel Stadium,301.0,COEFFICIENT_ZERO,6,9.209918083536774,6.333333333333333,-2.87658475020344,-3.3686838452329795,4.114999121015264,4.603896593333293,2.5482169656162204,0.23412916006876458,0.6600773873214322,0.25438598488761993,1.0962058646499273,COUNTERFACTUAL_ONLY_NOT_A_MODEL
3,Fenway Park,299.0,RAW_V1,4,7.853869720949073,13.5,5.646130279050927,4.417409189454585,6.027299549536305,8.021710887770253,4.831374463970353,0.29589961056322384,0.7992179265628967,0.3481477277418727,0.0,FROZEN_DIAGNOSTIC_CONTROL
3,Fenway Park,299.0,TRAINING_MEAN,4,8.904749295913936,13.5,4.595250704086064,3.402827831316711,5.495736140773586,7.287075124222635,4.227045553432959,0.2397760366280257,0.6724197682256303,0.25726557995526417,1.0508795749648625,COUNTERFACTUAL_ONLY_NOT_A_MODEL
3,Fenway Park,299.0,P95_CAP,4,8.539838180642263,13.5,4.960161819357737,3.7551346262644767,5.6803180861746085,7.533643968196239,4.42095531446686,0.25692717847060303,0.7101600378680352,0.2881620967025416,0.6859684596931888,COUNTERFACTUAL_ONLY_NOT_A_MODEL
3,Fenway Park,299.0,COEFFICIENT_ZERO,4,8.904749295913936,13.5,4.595250704086064,3.402827831316711,5.495736140773586,7.287075124222635,4.227045553432959,0.2397760366280257,0.6724197682256303,0.25726557995526417,1.0508795749648625,COUNTERFACTUAL_ONLY_NOT_A_MODEL
4,Rate Field,298.0,RAW_V1,6,8.002812503814694,9.666666666666666,1.6638541628519736,1.1176073740562482,2.7903347173261666,4.057830219370972,2.2365951882224016,0.21214320229120157,0.6115256254451295,0.1563300149175275,0.0,FROZEN_DIAGNOSTIC_CONTROL
4,Rate Field,298.0,TRAINING_MEAN,6,9.068418705061044,9.666666666666666,0.5982479616056245,0.0680355567907105,2.3962919079351566,3.758167043771041,2.0761096965031722,0.1961994183648836,0.581647857653105,0.14766749975883472,1.0656062012463494,COUNTERFACTUAL_ONLY_NOT_A_MODEL
