variant,games,mean_prediction,mean_actual,actual_minus_forecast_bias,median_actual_minus_forecast_residual,mae,rmse,crps,fixed_threshold_macro_brier,fixed_threshold_macro_log_loss,fixed_threshold_macro_ece,mean_prediction_shift_vs_raw,counterfactual_status
RAW_V1,126,8.05211873571176,8.61111111111111,0.558992375399351,0.20593154021862947,3.265726718124754,4.092129493546904,2.3138777181992336,0.22434798471609652,0.6408382598645952,0.06835425792700747,0.0,FROZEN_DIAGNOSTIC_CONTROL
V1_INTERCEPT,126,8.545668735711761,8.61111111111111,0.06544237539935047,-0.28761845978137135,3.266290745285745,4.054298215560832,2.2857381555052334,0.22041427354092377,0.6317162581747378,0.02543241455335314,0.4935500000000005,FROZEN_DIAGNOSTIC_CONTROL
TRAINING_MEAN,126,9.08358237908768,8.61111111111111,-0.47247126797656397,-0.8515371659113189,3.32285760918278,4.1027163887885125,2.304244069054535,0.22167371206944564,0.6343213926910051,0.022925803059101153,1.031463643375915,COUNTERFACTUAL_ONLY_NOT_A_MODEL
P95_CAP,126,8.716017686820656,8.61111111111111,-0.10490657570954416,-0.4888066507958069,3.2950987159228284,4.073781149724614,2.2942317098621943,0.2211294736711078,0.6331842175334115,0.016122950039712324,0.6638989511088952,COUNTERFACTUAL_ONLY_NOT_A_MODEL
COEFFICIENT_ZERO,126,9.08358237908768,8.61111111111111,-0.47247126797656397,-0.8515371659113189,3.32285760918278,4.1027163887885125,2.304244069054535,0.22167371206944564,0.6343213926910051,0.022925803059101153,1.031463643375915,COUNTERFACTUAL_ONLY_NOT_A_MODEL
