forecast_band,variant,games,mean_prediction,mean_actual,actual_minus_forecast_bias,median_actual_minus_forecast_residual,mae,rmse,crps,fixed_threshold_macro_brier,fixed_threshold_macro_log_loss,fixed_threshold_macro_ece,mean_prediction_shift_vs_raw,counterfactual_status
7.5-7.99,RAW_V1,60,7.759861712923583,8.2,0.4401382870764164,0.2844503039767168,2.9627540540626587,3.6318564194084124,2.0810036955722517,0.21822940613351735,0.6265803171128218,0.06187447590700076,0.0,FROZEN_DIAGNOSTIC_CONTROL
7.5-7.99,TRAINING_MEAN,60,8.785385371693156,8.2,-0.5853853716931549,-0.7328827908601445,2.969058602334657,3.6540205810789694,2.0711025055834003,0.2149511486981944,0.6199046847718086,0.03515904031442755,1.0255236587695715,COUNTERFACTUAL_ONLY_NOT_A_MODEL
7.5-7.99,P95_CAP,60,8.425365716165395,8.2,-0.22536571616539547,-0.37501465860269345,2.957996406931795,3.6136235802670433,2.057978517478671,0.21423473560227613,0.6180129963264253,0.02510878121727334,0.6655040032418121,COUNTERFACTUAL_ONLY_NOT_A_MODEL
7.5-7.99,COEFFICIENT_ZERO,60,8.785385371693156,8.2,-0.5853853716931549,-0.7328827908601445,2.969058602334657,3.6540205810789694,2.0711025055834003,0.2149511486981944,0.6199046847718086,0.03515904031442755,1.0255236587695715,COUNTERFACTUAL_ONLY_NOT_A_MODEL
8.0-8.49,RAW_V1,41,8.215875668612311,8.585365853658537,0.36949018504622494,-0.26503779560152196,3.9158509464890314,4.881672448948116,2.758652130806811,0.23223266399916645,0.6577889461844394,0.05064879411579883,0.0,FROZEN_DIAGNOSTIC_CONTROL
8.0-8.49,TRAINING_MEAN,41,9.316358053197938,8.585365853658537,-0.7309921995394019,-1.3709333240876607,4.029985562713251,4.918848864053574,2.7724011045401316,0.23158163432414824,0.6553558821637294,0.04628179838976063,1.100482384585627,COUNTERFACTUAL_ONLY_NOT_A_MODEL
8.0-8.49,P95_CAP,41,8.93457946578474,8.585365853658537,-0.3492136121262035,-0.9869182758483532,3.978179859592944,4.87804202735925,2.7516274836850134,0.229897777495211,0.6518198135207828,0.029679807813441577,0.7187037971724286,COUNTERFACTUAL_ONLY_NOT_A_MODEL
8.0-8.49,COEFFICIENT_ZERO,41,9.316358053197938,8.585365853658537,-0.7309921995394019,-1.3709333240876607,4.029985562713251,4.918848864053574,2.7724011045401316,0.23158163432414824,0.6553558821637294,0.04628179838976063,1.100482384585627,COUNTERFACTUAL_ONLY_NOT_A_MODEL
8.5-8.99,RAW_V1,11,8.750960132341326,8.727272727272727,-0.023687405068599465,0.04489049536121037,2.437896215616912,3.1425697430009105,1.8186682231148423,0.20292924676274157,0.5948067193047261,0.07432207475117829,0.0,FROZEN_DIAGNOSTIC_CONTROL
8.5-8.99,TRAINING_MEAN,11,9.919796576451189,8.727272727272727,-1.1925238491784607,-1.1591643590280682,2.7134010090088143,3.3580969244985353,1.9008263139926727,0.21231268378530474,0.6147607559512829,0.11721492737661636,1.168836444109861,COUNTERFACTUAL_ONLY_NOT_A_MODEL
8.5-8.99,P95_CAP,11,9.513289451804575,8.727272727272727,-0.7860167245318472,-0.7428480907887973,2.6002973084188317,3.2358971678623862,1.85077252831939,0.2069620034315367,0.6036742339139867,0.09633335766475459,0.7623293194632478,COUNTERFACTUAL_ONLY_NOT_A_MODEL
8.5-8.99,COEFFICIENT_ZERO,11,9.919796576451189,8.727272727272727,-1.1925238491784607,-1.1591643590280682,2.7134010090088143,3.3580969244985353,1.9008263139926727,0.21231268378530474,0.6147607559512829,0.11721492737661636,1.168836444109861,COUNTERFACTUAL_ONLY_NOT_A_MODEL
9.5-9.99,RAW_V1,4,9.788079149599357,13.75,3.9619208504006442,4.238051607034083,3.9619208504006442,4.587936196630476,2.8968755946145976,0.23432845734995703,0.6591059778930962,0.4354495465463168,0.0,FROZEN_DIAGNOSTIC_CONTROL
9.5-9.99,TRAINING_MEAN,4,10.084138674644029,13.75,3.6658613253559724,3.942782457637147,3.6658613253559724,4.335440162072872,2.7343949518463244,0.21484380488958246,0.6171465663937542,0.41301417772001175,0.2960595250446718,COUNTERFACTUAL_ONLY_NOT_A_MODEL
9.5-9.99,P95_CAP,4,9.788079149599357,13.75,3.9619208504006442,4.238051607034083,3.9619208504006442,4.587936196630476,2.8968755946145976,0.23432845734995703,0.6591059778930962,0.4354495465463168,0.0,COUNTERFACTUAL_ONLY_NOT_A_MODEL
9.5-9.99,COEFFICIENT_ZERO,4,10.084138674644029,13.75,3.6658613253559724,3.942782457637147,3.6658613253559724,4.335440162072872,2.7343949518463244,0.21484380488958246,0.6171465663937542,0.41301417772001175,0.2960595250446718,COUNTERFACTUAL_ONLY_NOT_A_MODEL
<7.5,RAW_V1,9,7.406928117087042,9.11111111111111,1.7041829940240687,0.5071414071854639,3.1614186952548824,4.005893399866732,2.3020642277562584,0.2566328224927989,0.7189965079693424,0.1426217079141857,0.0,FROZEN_DIAGNOSTIC_CONTROL
<7.5,TRAINING_MEAN,9,8.40335338802371,9.11111111111111,0.707757723087401,-0.500307218345851,3.1603553771774484,3.696715715857532,2.1311186281742347,0.2399329635764038,0.6751382750837407,0.05410960441066376,0.996425270936668,COUNTERFACTUAL_ONLY_NOT_A_MODEL
<7.5,P95_CAP,9,8.058989166758906,9.11111111111111,1.052121944352206,-0.15196988911618092,3.1219112610690782,3.776783492007268,2.17328387329976,0.2439125851051677,0.6853100292985331,0.08431598680598833,0.6520610496718627,COUNTERFACTUAL_ONLY_NOT_A_MODEL
<7.5,COEFFICIENT_ZERO,9,8.40335338802371,9.11111111111111,0.707757723087401,-0.500307218345851,3.1603553771774484,3.696715715857532,2.1311186281742347,0.2399329635764038,0.6751382750837407,0.05410960441066376,0.996425270936668,COUNTERFACTUAL_ONLY_NOT_A_MODEL
>=10.0,RAW_V1,1,10.049124403226593,8.0,-2.0491244032265925,-2.0491244032265925,2.0491244032265925,2.0491244032265925,1.2722025131611472,0.1733115360261208,0.5311885269592178,0.4009300479605911,0.0,FROZEN_DIAGNOSTIC_CONTROL
>=10.0,TRAINING_MEAN,1,10.353079750589703,8.0,-2.3530797505897034,-2.3530797505897034,2.3530797505897034,2.3530797505897034,1.373420164849215,0.18476037818409444,0.5534241672524232,0.41062144722882504,0.3039553473631109,COUNTERFACTUAL_ONLY_NOT_A_MODEL
>=10.0,P95_CAP,1,10.049124403226593,8.0,-2.0491244032265925,-2.0491244032265925,2.0491244032265925,2.0491244032265925,1.2722025131611472,0.1733115360261208,0.5311885269592178,0.4009300479605911,0.0,COUNTERFACTUAL_ONLY_NOT_A_MODEL
>=10.0,COEFFICIENT_ZERO,1,10.353079750589703,8.0,-2.3530797505897034,-2.3530797505897034,2.3530797505897034,2.3530797505897034,1.373420164849215,0.18476037818409444,0.5534241672524232,0.41062144722882504,0.3039553473631109,COUNTERFACTUAL_ONLY_NOT_A_MODEL
