period,variant,games,mean_prediction,mean_actual,actual_minus_forecast_bias,median_actual_minus_forecast_residual,mae,rmse,crps,fixed_threshold_macro_brier,fixed_threshold_macro_log_loss,fixed_threshold_macro_ece,mean_prediction_shift_vs_raw,counterfactual_status
FROZEN_2025_VALIDATION,RAW_V1,2433,8.673156463520883,8.888203863542952,0.21504740002206743,-0.37173782437372793,3.597206636166537,4.591661831793692,2.5315957786140326,0.22718558400314984,0.6462966570143279,0.01738059860811728,0.0,FROZEN_DIAGNOSTIC_CONTROL
FROZEN_2025_VALIDATION,TRAINING_MEAN,2433,9.235851193806841,8.888203863542952,-0.34764733026388966,-0.920321570239528,3.659545522264669,4.596443206249562,2.5356211493970937,0.2278068360088852,0.6474655747013629,0.03194458588149329,0.5626947302859571,COUNTERFACTUAL_ONLY_NOT_A_MODEL
FROZEN_2025_VALIDATION,P95_CAP,2433,8.898705987014011,8.888203863542952,-0.010502123471059626,-0.56601622643832,3.611528951555139,4.581887161042993,2.52641100302066,0.22667081277633616,0.6450496670057048,0.008678427136332415,0.225549523493127,COUNTERFACTUAL_ONLY_NOT_A_MODEL
FROZEN_2025_VALIDATION,COEFFICIENT_ZERO,2433,9.235851193806841,8.888203863542952,-0.34764733026388966,-0.920321570239528,3.659545522264669,4.596443206249562,2.5356211493970937,0.2278068360088852,0.6474655747013629,0.03194458588149329,0.5626947302859571,COUNTERFACTUAL_ONLY_NOT_A_MODEL
2026_SEQUENTIAL_EARLY,RAW_V1,1281,8.412418433529181,8.989851678376269,0.5774332448470871,0.0038004759765541962,3.5209459692414056,4.500767948230816,2.5051476024217507,0.22689948711410368,0.6460560815972384,0.04974880558097442,0.0,FROZEN_DIAGNOSTIC_CONTROL
2026_SEQUENTIAL_EARLY,TRAINING_MEAN,1281,9.292123079440021,8.989851678376269,-0.3022714010637517,-0.8166043121446371,3.5946066203428106,4.4921066909859295,2.4946094183493375,0.22569945304355468,0.643011053106156,0.023983646282809596,0.879704645910839,COUNTERFACTUAL_ONLY_NOT_A_MODEL
2026_SEQUENTIAL_EARLY,P95_CAP,1281,8.9253781890867,8.989851678376269,0.06447348928956936,-0.4543208338583131,3.546329860199141,4.4719404610653335,2.4859262139838076,0.22472606811557175,0.6409460627138818,0.006997249139178467,0.5129597555575178,COUNTERFACTUAL_ONLY_NOT_A_MODEL
2026_SEQUENTIAL_EARLY,COEFFICIENT_ZERO,1281,9.292123079440021,8.989851678376269,-0.3022714010637517,-0.8166043121446371,3.5946066203428106,4.4921066909859295,2.4946094183493375,0.22569945304355468,0.643011053106156,0.023983646282809596,0.879704645910839,COUNTERFACTUAL_ONLY_NOT_A_MODEL
2026_LATE_HOLDOUT,RAW_V1,439,8.266052304145697,8.927107061503417,0.6610547573577193,-0.3054890191271511,3.6782613120044236,4.68092949277268,2.6022766473304486,0.2305360291116105,0.6543558561017103,0.043694263572506754,0.0,FROZEN_DIAGNOSTIC_CONTROL
2026_LATE_HOLDOUT,TRAINING_MEAN,439,9.285809076358522,8.927107061503417,-0.358702014855105,-1.3339486692386249,3.830183723676822,4.656768506452531,2.5885686450121885,0.23091163967417352,0.653918741865334,0.042124319290158675,1.0197567722128245,COUNTERFACTUAL_ONLY_NOT_A_MODEL
2026_LATE_HOLDOUT,P95_CAP,439,8.91045822393427,8.927107061503417,0.016648837569145175,-0.9924286103971918,3.7623780519328833,4.640514524293486,2.5790527618858743,0.2291388948723887,0.6502759636736665,0.020977007517518798,0.644405919788574,COUNTERFACTUAL_ONLY_NOT_A_MODEL
2026_LATE_HOLDOUT,COEFFICIENT_ZERO,439,9.285809076358522,8.927107061503417,-0.358702014855105,-1.3339486692386249,3.830183723676822,4.656768506452531,2.5885686450121885,0.23091163967417352,0.653918741865334,0.042124319290158675,1.0197567722128245,COUNTERFACTUAL_ONLY_NOT_A_MODEL
