period,support_band,training_p95,training_p99,training_max,games,mean_prediction,mean_actual,actual_minus_forecast_bias,median_actual_minus_forecast_residual,mae,rmse,crps,fixed_threshold_macro_brier,fixed_threshold_macro_log_loss,fixed_threshold_macro_ece
FROZEN_2025_VALIDATION,AT_OR_BELOW_P95,153.0,159.0,161.0,166,9.593659899448904,9.355421686746988,-0.2382382127019147,-0.9799909168327146,3.4620623304693114,4.264841829807941,2.3793666780799474,0.22710497853503628,0.6456847475997914,0.018346124122357633
FROZEN_2025_VALIDATION,ABOVE_P95_TO_P99,153.0,159.0,161.0,2,8.701299061061487,9.5,0.7987009389385138,0.7987009389385138,1.6307360895090897,1.8158258130912945,1.3641516483727776,0.19999042882414253,0.5877280974713956,0.2266410084814345
FROZEN_2025_VALIDATION,ABOVE_P99_TO_MAX,153.0,159.0,161.0,12,8.874052330985181,7.333333333333333,-1.540718997651848,-1.427078154459747,2.783163820666774,3.574029671479777,2.0017768848283137,0.19093367400889397,0.5666603694519116,0.07889410070283258
FROZEN_2025_VALIDATION,ABOVE_TRAINING_MAX,153.0,159.0,161.0,2253,8.604239195003927,8.861517976031957,0.25727878102803065,-0.3454261055068226,3.613245433159458,4.621327795178799,2.5466702329746935,0.227408750331599,0.6468178951557606,0.018780578644568665
2026_SEQUENTIAL_EARLY,AT_OR_BELOW_P95,153.0,159.0,161.0,45,10.057321721617685,12.266666666666667,2.2093449450489833,0.9042910498022287,4.107265230347972,6.323356353649164,3.250074021772053,0.20722169727058418,0.6025763395563111,0.15345373893679218
2026_SEQUENTIAL_EARLY,ABOVE_P95_TO_P99,153.0,159.0,161.0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2026_SEQUENTIAL_EARLY,ABOVE_P99_TO_MAX,153.0,159.0,161.0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2026_SEQUENTIAL_EARLY,ABOVE_TRAINING_MAX,153.0,159.0,161.0,1236,8.352531177894893,8.870550161812298,0.5180189839174065,-0.010608782703158681,3.4995993942011183,4.420255929649376,2.4780264949211337,0.22761591150161045,0.6476390819142624,0.04597314053161213
2026_LATE_HOLDOUT,AT_OR_BELOW_P95,153.0,159.0,161.0,14,10.01645474915283,12.0,1.9835452508471687,0.043141732564958346,4.731561556597367,6.194697640283848,3.357580548134621,0.23107338987465909,0.6534298111304392,0.067212022280213
2026_LATE_HOLDOUT,ABOVE_P95_TO_P99,153.0,159.0,161.0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2026_LATE_HOLDOUT,ABOVE_P99_TO_MAX,153.0,159.0,161.0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2026_LATE_HOLDOUT,ABOVE_TRAINING_MAX,153.0,159.0,161.0,425,8.20839198831017,8.825882352941177,0.617490364631008,-0.3054890191271511,3.643564362770774,4.622638258243792,2.5773960482451344,0.23051832781588658,0.6543863611125286,0.04291956093272348
PROSPECTIVE_AUG06_15,AT_OR_BELOW_P95,153.0,159.0,161.0,5,9.840288200324803,12.6,2.759711799675197,2.27825871795584,3.579361560965834,4.204653255556449,2.571940978323908,0.22212507308518978,0.6335224877063205,0.30648009538387827
PROSPECTIVE_AUG06_15,ABOVE_P95_TO_P99,153.0,159.0,161.0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
PROSPECTIVE_AUG06_15,ABOVE_P99_TO_MAX,153.0,159.0,161.0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
PROSPECTIVE_AUG06_15,ABOVE_TRAINING_MAX,153.0,159.0,161.0,121,7.978227435521138,8.446280991735538,0.4680535562143987,0.14708105282588768,3.2527666006519818,4.087413104987049,2.303213947119702,0.22443984056861335,0.6411405644992346,0.0585143472882938
