slate_date,game_pk,player_mlb_id,player,prop_type,line,governing_run_tag,market_timestamp_utc,final_pregame_over_odds,final_pregame_under_odds,plate_appearances,total_bases,outcome,settlement_status,outcome_source,source_sha256
2026-07-30,823023,664023,Ian Happ,Total Bases,1.5,cleanroom_20260730T152752Z,2026-07-30T15:28:20+00:00,178,-238,5,2,OVER_WIN,SETTLED,/Users/jerrystrain/Projects/proppadia/backend/mlb/exports/cleanroom_v1/raw/MLB_STATS_API/2026-07-30/closeout_20260731T163125Z/game_823023.json,db83777a472e64c24aa1b06783bbdf01caad8ac97a593930bb2b4ab6ff8c6d73
2026-07-30,823023,671056,Iván Herrera,Total Bases,1.5,cleanroom_20260730T152752Z,2026-07-30T15:28:20+00:00,146,-192,4,1,OVER_LOSS,SETTLED,/Users/jerrystrain/Projects/proppadia/backend/mlb/exports/cleanroom_v1/raw/MLB_STATS_API/2026-07-30/closeout_20260731T163125Z/game_823023.json,db83777a472e64c24aa1b06783bbdf01caad8ac97a593930bb2b4ab6ff8c6d73
2026-07-30,823023,673548,Seiya Suzuki,Total Bases,1.5,cleanroom_20260730T152752Z,2026-07-30T15:28:20+00:00,126,-164,5,0,OVER_LOSS,SETTLED,/Users/jerrystrain/Projects/proppadia/backend/mlb/exports/cleanroom_v1/raw/MLB_STATS_API/2026-07-30/closeout_20260731T163125Z/game_823023.json,db83777a472e64c24aa1b06783bbdf01caad8ac97a593930bb2b4ab6ff8c6d73
2026-07-30,823023,676475,Alec Burleson,Total Bases,1.5,cleanroom_20260730T152752Z,2026-07-30T15:28:20+00:00,107,-139,5,1,OVER_LOSS,SETTLED,/Users/jerrystrain/Projects/proppadia/backend/mlb/exports/cleanroom_v1/raw/MLB_STATS_API/2026-07-30/closeout_20260731T163125Z/game_823023.json,db83777a472e64c24aa1b06783bbdf01caad8ac97a593930bb2b4ab6ff8c6d73
2026-07-30,823023,683737,Michael Busch,Total Bases,1.5,cleanroom_20260730T152752Z,2026-07-30T15:28:20+00:00,130,-169,5,2,OVER_WIN,SETTLED,/Users/jerrystrain/Projects/proppadia/backend/mlb/exports/cleanroom_v1/raw/MLB_STATS_API/2026-07-30/closeout_20260731T163125Z/game_823023.json,db83777a472e64c24aa1b06783bbdf01caad8ac97a593930bb2b4ab6ff8c6d73
2026-07-30,823023,691023,Jordan Walker,Total Bases,1.5,cleanroom_20260730T152752Z,2026-07-30T15:28:20+00:00,102,-132,5,1,OVER_LOSS,SETTLED,/Users/jerrystrain/Projects/proppadia/backend/mlb/exports/cleanroom_v1/raw/MLB_STATS_API/2026-07-30/closeout_20260731T163125Z/game_823023.json,db83777a472e64c24aa1b06783bbdf01caad8ac97a593930bb2b4ab6ff8c6d73
2026-07-30,823023,691026,Masyn Winn,Total Bases,1.5,cleanroom_20260730T152752Z,2026-07-30T15:28:20+00:00,164,-217,4,1,OVER_LOSS,SETTLED,/Users/jerrystrain/Projects/proppadia/backend/mlb/exports/cleanroom_v1/raw/MLB_STATS_API/2026-07-30/closeout_20260731T163125Z/game_823023.json,db83777a472e64c24aa1b06783bbdf01caad8ac97a593930bb2b4ab6ff8c6d73
2026-07-30,823023,691458,Blaze Jordan,Total Bases,1.5,cleanroom_20260730T152752Z,2026-07-30T15:28:20+00:00,164,-217,4,1,OVER_LOSS,SETTLED,/Users/jerrystrain/Projects/proppadia/backend/mlb/exports/cleanroom_v1/raw/MLB_STATS_API/2026-07-30/closeout_20260731T163125Z/game_823023.json,db83777a472e64c24aa1b06783bbdf01caad8ac97a593930bb2b4ab6ff8c6d73
2026-07-30,823023,691718,Pete Crow-Armstrong,Total Bases,1.5,cleanroom_20260730T152752Z,2026-07-30T15:28:20+00:00,109,-141,5,4,OVER_WIN,SETTLED,/Users/jerrystrain/Projects/proppadia/backend/mlb/exports/cleanroom_v1/raw/MLB_STATS_API/2026-07-30/closeout_20260731T163125Z/game_823023.json,db83777a472e64c24aa1b06783bbdf01caad8ac97a593930bb2b4ab6ff8c6d73
2026-07-30,823023,699393,Pedro Ramírez,Total Bases,1.5,cleanroom_20260730T152752Z,2026-07-30T15:28:20+00:00,164,-217,1,0,OVER_LOSS,SETTLED,/Users/jerrystrain/Projects/proppadia/backend/mlb/exports/cleanroom_v1/raw/MLB_STATS_API/2026-07-30/closeout_20260731T163125Z/game_823023.json,db83777a472e64c24aa1b06783bbdf01caad8ac97a593930bb2b4ab6ff8c6d73
2026-07-30,823023,701675,Nathan Church,Total Bases,1.5,cleanroom_20260730T152752Z,2026-07-30T15:28:20+00:00,178,-238,2,0,OVER_LOSS,SETTLED,/Users/jerrystrain/Projects/proppadia/backend/mlb/exports/cleanroom_v1/raw/MLB_STATS_API/2026-07-30/closeout_20260731T163125Z/game_823023.json,db83777a472e64c24aa1b06783bbdf01caad8ac97a593930bb2b4ab6ff8c6d73
2026-07-30,823023,802139,JJ Wetherholt,Total Bases,1.5,cleanroom_20260730T152752Z,2026-07-30T15:28:20+00:00,126,-164,5,5,OVER_WIN,SETTLED,/Users/jerrystrain/Projects/proppadia/backend/mlb/exports/cleanroom_v1/raw/MLB_STATS_API/2026-07-30/closeout_20260731T163125Z/game_823023.json,db83777a472e64c24aa1b06783bbdf01caad8ac97a593930bb2b4ab6ff8c6d73
2026-07-30,823271,592518,Manny Machado,Total Bases,1.5,cleanroom_20260731T004346Z,2026-07-31T00:44:00+00:00,113,-147,4,0,OVER_LOSS,SETTLED,/Users/jerrystrain/Projects/proppadia/backend/mlb/exports/cleanroom_v1/raw/MLB_STATS_API/2026-07-30/closeout_20260731T163125Z/game_823271.json,fb1dba5f26e04636b9cc795ef56f922957f9185c0d4d3208cf618ddb992ee92b
2026-07-30,823271,593428,Xander Bogaerts,Total Bases,1.5,cleanroom_20260731T004346Z,2026-07-31T00:44:00+00:00,174,-233,4,1,OVER_LOSS,SETTLED,/Users/jerrystrain/Projects/proppadia/backend/mlb/exports/cleanroom_v1/raw/MLB_STATS_API/2026-07-30/closeout_20260731T163125Z/game_823271.json,fb1dba5f26e04636b9cc795ef56f922957f9185c0d4d3208cf618ddb992ee92b
2026-07-30,823271,642715,Willy Adames,Total Bases,1.5,cleanroom_20260731T004346Z,2026-07-31T00:44:00+00:00,171,-227,5,1,OVER_LOSS,SETTLED,/Users/jerrystrain/Projects/proppadia/backend/mlb/exports/cleanroom_v1/raw/MLB_STATS_API/2026-07-30/closeout_20260731T163125Z/game_823271.json,fb1dba5f26e04636b9cc795ef56f922957f9185c0d4d3208cf618ddb992ee92b
2026-07-30,823271,646240,Rafael Devers,Total Bases,1.5,cleanroom_20260731T004346Z,2026-07-31T00:44:00+00:00,155,-204,5,3,OVER_WIN,SETTLED,/Users/jerrystrain/Projects/proppadia/backend/mlb/exports/cleanroom_v1/raw/MLB_STATS_API/2026-07-30/closeout_20260731T163125Z/game_823271.json,fb1dba5f26e04636b9cc795ef56f922957f9185c0d4d3208cf618ddb992ee92b
2026-07-30,823271,650333,Luis Arraez,Total Bases,1.5,cleanroom_20260731T004346Z,2026-07-31T00:44:00+00:00,128,-167,5,0,OVER_LOSS,SETTLED,/Users/jerrystrain/Projects/proppadia/backend/mlb/exports/cleanroom_v1/raw/MLB_STATS_API/2026-07-30/closeout_20260731T163125Z/game_823271.json,fb1dba5f26e04636b9cc795ef56f922957f9185c0d4d3208cf618ddb992ee92b
