population,variant,omitted_feature,mae,rmse,actual_minus_forecast_bias,mae_delta,rmse_delta,actual_minus_forecast_bias_delta,champion_mae,champion_rmse,champion_actual_minus_forecast_bias
FROZEN_2025_VALIDATION,CHAMPION,NONE,3.5972066361665362,4.591661831793692,0.21504740002206743,0.0,0.0,0.0,,,
FROZEN_2025_VALIDATION,RAW_MINUS_LEAGUE_TOTAL_REFIT_V1,league_total,3.593132102023139,4.595821073761835,0.2922408858116324,-0.0040745341433972015,0.004159241968142879,0.07719348578956495,3.5972066361665362,4.591661831793692,0.21504740002206743
FROZEN_2025_VALIDATION,RAW_MINUS_HOME_OFFENSE_REFIT_V1,home_offense,3.599066971090307,4.59633101120206,0.21296203470543923,0.00186033492377069,0.004669179408367974,-0.0020853653166282016,3.5972066361665362,4.591661831793692,0.21504740002206743
FROZEN_2025_VALIDATION,RAW_MINUS_HOME_PREVENTION_REFIT_V1,home_prevention,3.5966531604540473,4.590090087807309,0.213612862427296,-0.0005534757124889822,-0.0015717439863829341,-0.00143453759477144,3.5972066361665362,4.591661831793692,0.21504740002206743
FROZEN_2025_VALIDATION,RAW_MINUS_AWAY_OFFENSE_REFIT_V1,away_offense,3.5961254305922647,4.590141374731117,0.21337140023135842,-0.0010812055742714932,-0.0015204570625746427,-0.0016759997907090096,3.5972066361665362,4.591661831793692,0.21504740002206743
FROZEN_2025_VALIDATION,RAW_MINUS_AWAY_PREVENTION_REFIT_V1,away_prevention,3.597972902257863,4.591105579147269,0.21006402993054046,0.0007662660913267949,-0.0005562526464233386,-0.004983370091526967,3.5972066361665362,4.591661831793692,0.21504740002206743
FROZEN_2025_VALIDATION,RAW_MINUS_HOME_STARTER_RA9_REFIT_V1,home_starter_ra9,3.598386761876329,4.593932603739693,0.22036902993631516,0.0011801257097929785,0.0022707719460006714,0.0053216299142477275,3.5972066361665362,4.591661831793692,0.21504740002206743
FROZEN_2025_VALIDATION,RAW_MINUS_AWAY_STARTER_RA9_REFIT_V1,away_starter_ra9,3.5964255155581046,4.591409978806739,0.2191469534519211,-0.0007811206084316069,-0.0002518529869526276,0.0040995534298536584,3.5972066361665362,4.591661831793692,0.21504740002206743
FROZEN_2025_VALIDATION,RAW_MINUS_HOME_STARTER_PRIOR_STARTS_REFIT_V1,home_starter_prior_starts,3.5894261601167936,4.582546625245702,0.22255182489847689,-0.007780476049742635,-0.009115206547989807,0.0075044248764094545,3.5972066361665362,4.591661831793692,0.21504740002206743
FROZEN_2025_VALIDATION,RAW_MINUS_AWAY_STARTER_PRIOR_STARTS_REFIT_V1,away_starter_prior_starts,3.5972691667620142,4.591744562317175,0.21570190589164145,6.253059547800532e-05,8.27305234833986e-05,0.0006545058695740236,3.5972066361665362,4.591661831793692,0.21504740002206743
FROZEN_2025_VALIDATION,RAW_MINUS_HOME_EXPECTED_OUTS_REFIT_V1,home_expected_outs,3.597397401800818,4.59040533155783,0.21742902650421986,0.00019076563428166438,-0.0012565002358622124,0.002381626482152427,3.5972066361665362,4.591661831793692,0.21504740002206743
FROZEN_2025_VALIDATION,RAW_MINUS_AWAY_EXPECTED_OUTS_REFIT_V1,away_expected_outs,3.5948017782064423,4.589412927682796,0.2105623120017801,-0.0024048579600939313,-0.002248904110896177,-0.0044850880202873256,3.5972066361665362,4.591661831793692,0.21504740002206743
FROZEN_2025_VALIDATION,RAW_MINUS_HOME_WORKLOAD_UNCERTAINTY_OUTS_REFIT_V1,home_workload_uncertainty_outs,3.596036947166952,4.591186499765744,0.21171637004809973,-0.0011696889995840287,-0.00047533202794802776,-0.0033310299739676974,3.5972066361665362,4.591661831793692,0.21504740002206743
FROZEN_2025_VALIDATION,RAW_MINUS_AWAY_WORKLOAD_UNCERTAINTY_OUTS_REFIT_V1,away_workload_uncertainty_outs,3.5973735640784996,4.591680283495401,0.2142625246560191,0.00016692791196337708,1.845170170877708e-05,-0.000784875366048321,3.5972066361665362,4.591661831793692,0.21504740002206743
FROZEN_2025_VALIDATION,RAW_MINUS_HOME_BULLPEN_RA9_REFIT_V1,home_bullpen_ra9,3.596897194791108,4.5901701579384175,0.2099651657737401,-0.00030944137542832095,-0.001491673855274378,-0.005082234248327322,3.5972066361665362,4.591661831793692,0.21504740002206743
FROZEN_2025_VALIDATION,RAW_MINUS_AWAY_BULLPEN_RA9_REFIT_V1,away_bullpen_ra9,3.5977124675536802,4.590757855804946,0.20836117352469954,0.0005058313871439957,-0.0009039759887459198,-0.0066862264973678864,3.5972066361665362,4.591661831793692,0.21504740002206743
FROZEN_2025_VALIDATION,RAW_MINUS_HOME_BULLPEN_LIKELY_AVAILABLE_RELIEVER_COUNT_REFIT_V1,home_bullpen_likely_available_reliever_count,3.5910585602041984,4.586148588170711,0.2241756599750617,-0.006148075962337796,-0.005513243622981001,0.009128259952994267,3.5972066361665362,4.591661831793692,0.21504740002206743
