population,date_min,date_max,champion_rows,all_22_candidate_rows,row_count_parity,game_identity_unique,outcomes_complete,feature_state_authority,row_identity_outcome_hash,champion_mu_hash
FROZEN_2025_VALIDATION,2025-03-18,2025-09-30,2433,2433,True,True,True,FROZEN_GOVERNED_FEATURE_SPINE,f629c77ce0c39a0873afad8e3c4d50f33e68c3ffd027697322030470a0844be8,3bcea4983f2f776e891abae408999c5148614d22183478ec8969cfe51125e132
2026_SEQUENTIAL_EARLY,2026-03-25,2026-06-30,1281,1281,True,True,True,FROZEN_GOVERNED_FEATURE_SPINE,b4a38b93710a64b50fec2f8097b98321e15c18326ae0de9bf6539a364e0f3ca0,a6627aaebe67442b62be0e2d1368a3955d59b9c19dc9cdf076dd452c353e5bad
2026_LATE_HOLDOUT,2026-07-01,2026-08-05,439,439,True,True,True,FROZEN_GOVERNED_FEATURE_SPINE,3eef60ab36ad75f75d4bfdd41f459f3e9b3e435f834b88716e8cf0ec67588f24,97c1be1358cac943587b1aeb62b72fa34a8c999bc65498b8a5d0dacfb5bdaa6e
PROSPECTIVE_AUG17_28_CLEAN_RAW,2026-08-17,2026-08-28,156,156,True,True,True,ORIGINAL_IMMUTABLE_PROSPECTIVE_CONTEXT,7b9ccb01acc1ce3089779d62249f45aca7b2bbd7f92c6cfecf85418ecb8b85b6,c2b03ad3787a4d260ab87a0bad1501c05ade8ca09b0e42d91fc86b48d8473dce
