population,variant,omitted_feature,crps,brier,log_loss,ece,crps_delta,brier_delta,log_loss_delta,ece_delta,champion_crps,champion_brier,champion_log_loss,champion_ece
FROZEN_2025_VALIDATION,CHAMPION,NONE,2.5315957786140326,0.22718558400314987,0.6462966570143279,0.016467438652683374,0.0,0.0,0.0,0.0,,,,
FROZEN_2025_VALIDATION,RAW_MINUS_LEAGUE_TOTAL_REFIT_V1,league_total,2.533848915670693,0.22744096097997943,0.6469059266331868,0.021645815390256777,0.0022531370566603037,0.0002553769768295633,0.0006092696188588764,0.0051783767375734036,2.5315957786140326,0.22718558400314987,0.6462966570143279,0.016467438652683374
FROZEN_2025_VALIDATION,RAW_MINUS_HOME_OFFENSE_REFIT_V1,home_offense,2.5338220603806447,0.2273958880680087,0.6467678013627449,0.01618780055274942,0.0022262817666121038,0.00021030406485883502,0.00047114434841699637,-0.0002796380999339522,2.5315957786140326,0.22718558400314987,0.6462966570143279,0.016467438652683374
FROZEN_2025_VALIDATION,RAW_MINUS_HOME_PREVENTION_REFIT_V1,home_prevention,2.5308032664162403,0.22711106236716405,0.6461282557164715,0.0160238594935371,-0.0007925121977923055,-7.452163598581363e-05,-0.00016840129785644642,-0.00044357915914627205,2.5315957786140326,0.22718558400314987,0.6462966570143279,0.016467438652683374
FROZEN_2025_VALIDATION,RAW_MINUS_AWAY_OFFENSE_REFIT_V1,away_offense,2.530848090786292,0.22709274459169557,0.6460914206965663,0.015892618579264658,-0.0007476878277405952,-9.283941145429853e-05,-0.00020523631776159235,-0.0005748200734187157,2.5315957786140326,0.22718558400314987,0.6462966570143279,0.016467438652683374
FROZEN_2025_VALIDATION,RAW_MINUS_AWAY_PREVENTION_REFIT_V1,away_prevention,2.531402140705587,0.22718168552174303,0.6462740288803417,0.016017636409228365,-0.00019363790844550977,-3.898481406833243e-06,-2.2628133986235532e-05,-0.00044980224345500877,2.5315957786140326,0.22718558400314987,0.6462966570143279,0.016467438652683374
FROZEN_2025_VALIDATION,RAW_MINUS_HOME_STARTER_RA9_REFIT_V1,home_starter_ra9,2.532943348475802,0.22733828575983078,0.6466514752846652,0.016524015539040118,0.0013475698617693155,0.00015270175668091746,0.00035481827033723157,5.65768863567441e-05,2.5315957786140326,0.22718558400314987,0.6462966570143279,0.016467438652683374
FROZEN_2025_VALIDATION,RAW_MINUS_AWAY_STARTER_RA9_REFIT_V1,away_starter_ra9,2.531521327386108,0.2271663887696247,0.6462621643813764,0.01639132925061324,-7.4451227924488e-05,-1.919523352517105e-05,-3.449263295152161e-05,-7.610940207013195e-05,2.5315957786140326,0.22718558400314987,0.6462966570143279,0.016467438652683374
FROZEN_2025_VALIDATION,RAW_MINUS_HOME_STARTER_PRIOR_STARTS_REFIT_V1,home_starter_prior_starts,2.5260667645558272,0.2265041470928262,0.644745403072107,0.016137739121090157,-0.005529014058205384,-0.0006814369103236573,-0.001551253942220887,-0.00032969953159321663,2.5315957786140326,0.22718558400314987,0.6462966570143279,0.016467438652683374
FROZEN_2025_VALIDATION,RAW_MINUS_AWAY_STARTER_PRIOR_STARTS_REFIT_V1,away_starter_prior_starts,2.5316358549026154,0.22719204820636435,0.6463090825282534,0.016615157575454592,4.0076288582824304e-05,6.4642032144845984e-06,1.2425513925440335e-05,0.00014771892277121862,2.5315957786140326,0.22718558400314987,0.6462966570143279,0.016467438652683374
FROZEN_2025_VALIDATION,RAW_MINUS_HOME_EXPECTED_OUTS_REFIT_V1,home_expected_outs,2.531235693090211,0.22715336304877035,0.6462132210558293,0.01683086565428101,-0.00036008552382149617,-3.222095437951933e-05,-8.343595849857888e-05,0.0003634270015976382,2.5315957786140326,0.22718558400314987,0.6462966570143279,0.016467438652683374
FROZEN_2025_VALIDATION,RAW_MINUS_AWAY_EXPECTED_OUTS_REFIT_V1,away_expected_outs,2.530312504076792,0.22702285751214307,0.6459608191084041,0.01580218365697885,-0.0012832745372404197,-0.0001627264910067927,-0.00033583790592384144,-0.0006652549957045228,2.5315957786140326,0.22718558400314987,0.6462966570143279,0.016467438652683374
FROZEN_2025_VALIDATION,RAW_MINUS_HOME_WORKLOAD_UNCERTAINTY_OUTS_REFIT_V1,home_workload_uncertainty_outs,2.5309991804315666,0.2270706256401815,0.6460494366042295,0.015621785475444227,-0.000596598182466046,-0.00011495836296837592,-0.00024722041009839213,-0.000845653177239147,2.5315957786140326,0.22718558400314987,0.6462966570143279,0.016467438652683374
FROZEN_2025_VALIDATION,RAW_MINUS_AWAY_WORKLOAD_UNCERTAINTY_OUTS_REFIT_V1,away_workload_uncertainty_outs,2.5316118501711737,0.22718534971071236,0.6462964279526879,0.01685353318462693,1.607155714111741e-05,-2.342924375065003e-07,-2.2906163998914764e-07,0.0003860945319435552,2.5315957786140326,0.22718558400314987,0.6462966570143279,0.016467438652683374
FROZEN_2025_VALIDATION,RAW_MINUS_HOME_BULLPEN_RA9_REFIT_V1,home_bullpen_ra9,2.5307541682299513,0.2271097781800262,0.6461222447516307,0.016238525340801217,-0.0008416103840813705,-7.580582312366468e-05,-0.00017441226269721,-0.00022891331188215625,2.5315957786140326,0.22718558400314987,0.6462966570143279,0.016467438652683374
FROZEN_2025_VALIDATION,RAW_MINUS_AWAY_BULLPEN_RA9_REFIT_V1,away_bullpen_ra9,2.531189626259478,0.22715135827374403,0.6462117624633298,0.016195674257927395,-0.00040615235455465637,-3.422572940584012e-05,-8.489455099813803e-05,-0.00027176439475597863,2.5315957786140326,0.22718558400314987,0.6462966570143279,0.016467438652683374
