feature,population,metric,stage1_frozen_delta,stage3_refit_delta,fraction_stage1_loss_recovered,recovery_defined,interpretation
home_expected_outs,FROZEN_2025_VALIDATION,mae,0.005496147694631137,0.00019076563428166438,0.9652910283928483,True,positive frozen loss basis only
home_expected_outs,FROZEN_2025_VALIDATION,rmse,0.004745485977077024,-0.0012565002358622124,1.2647779894265228,True,positive frozen loss basis only
home_expected_outs,FROZEN_2025_VALIDATION,crps,0.0032800940088648645,-0.00036008552382149617,1.109779025493879,True,positive frozen loss basis only
home_expected_outs,FROZEN_2025_VALIDATION,brier,0.0003932764113105669,-3.222095437951933e-05,1.081929537223311,True,positive frozen loss basis only
home_expected_outs,FROZEN_2025_VALIDATION,log_loss,0.0008902723835184645,-8.343595849857888e-05,1.0937195852002393,True,positive frozen loss basis only
away_expected_outs,FROZEN_2025_VALIDATION,mae,-0.002439644442924216,-0.0024048579600939313,,False,not defined because frozen removal did not worsen metric
away_expected_outs,FROZEN_2025_VALIDATION,rmse,-0.0020650470952201516,-0.002248904110896177,,False,not defined because frozen removal did not worsen metric
away_expected_outs,FROZEN_2025_VALIDATION,crps,-0.00119533821072082,-0.0012832745372404197,,False,not defined because frozen removal did not worsen metric
away_expected_outs,FROZEN_2025_VALIDATION,brier,-0.0001441824539493708,-0.0001627264910067927,,False,not defined because frozen removal did not worsen metric
away_expected_outs,FROZEN_2025_VALIDATION,log_loss,-0.00030140897193209337,-0.00033583790592384144,,False,not defined because frozen removal did not worsen metric
home_workload_uncertainty_outs,FROZEN_2025_VALIDATION,mae,0.0006527672301355203,-0.0011696889995840287,2.791892952930849,True,positive frozen loss basis only
home_workload_uncertainty_outs,FROZEN_2025_VALIDATION,rmse,0.0005254049613778733,-0.00047533202794802776,1.9046964967774012,True,positive frozen loss basis only
home_workload_uncertainty_outs,FROZEN_2025_VALIDATION,crps,0.0001424603497861554,-0.000596598182466046,5.187819160640757,True,positive frozen loss basis only
home_workload_uncertainty_outs,FROZEN_2025_VALIDATION,brier,-2.0041326645042767e-05,-0.00011495836296837592,,False,not defined because frozen removal did not worsen metric
home_workload_uncertainty_outs,FROZEN_2025_VALIDATION,log_loss,-3.474540030934392e-05,-0.00024722041009839213,,False,not defined because frozen removal did not worsen metric
away_workload_uncertainty_outs,FROZEN_2025_VALIDATION,mae,0.0002398728370081038,0.00016692791196337708,0.304098312900107,True,positive frozen loss basis only
away_workload_uncertainty_outs,FROZEN_2025_VALIDATION,rmse,2.998450142577269e-05,1.845170170877708e-05,0.3846253620573054,True,positive frozen loss basis only
away_workload_uncertainty_outs,FROZEN_2025_VALIDATION,crps,2.641248594814627e-05,1.607155714111741e-05,0.3915166799267006,True,positive frozen loss basis only
