feature,replaceability_temporal_status,FROZEN_2025_VALIDATION_mae_delta,2026_SEQUENTIAL_EARLY_mae_delta,2026_LATE_HOLDOUT_mae_delta,PROSPECTIVE_AUG17_28_CLEAN_RAW_mae_delta,FROZEN_2025_VALIDATION_crps_delta,2026_SEQUENTIAL_EARLY_crps_delta,2026_LATE_HOLDOUT_crps_delta,PROSPECTIVE_AUG17_28_CLEAN_RAW_crps_delta,aggregate_mae_delta,aggregate_crps_delta,aggregate_mae_loss_recovery,aggregate_crps_loss_recovery
league_total,MIXED,-0.0040745341433972015,0.002285352220036785,-0.00011902934707563873,0.0002429816467013346,0.0022531370566603037,0.004311193887245324,0.0015747634737106608,0.0015136490816103354,-0.0016245426139476216,0.0027690815154572945,,0.6710878590290293
home_offense,MIXED,0.00186033492377069,-0.00037614644309202916,0.000206603169826014,-0.0026539061768762195,0.0022262817666121038,-0.0005586629498508522,0.0014570094057311245,-0.002014822278588735,0.0008635508711742901,0.0011664449183252934,-0.12208558021565495,-18.525388372416003
home_prevention,MOSTLY_STABLE,-0.0005534757124889822,0.0008508401989426595,-0.002169083466264432,0.0028620751946015766,-0.0007925121977923055,3.7744025777719514e-05,-0.0021702304419624063,0.000751734530257675,-0.00017693757831827028,-0.0006301445016267948,,
away_offense,STABLE,-0.0010812055742714932,-9.998549274081725e-05,-0.001487812859681359,0.0024841493970324535,-0.0007476878277405952,-3.0831658179408805e-05,-0.0004347386329475178,0.0018689025541971382,-0.0007018512689414003,-0.00040796502678830393,,
away_prevention,REGIME_DEPENDENT,0.0007662660913267949,-0.0012256899769385043,0.0023758290105364566,-0.0018438761263492864,-0.00019363790844550977,-0.0017680167134326297,-0.0007785405770945886,-0.0025170760865833586,0.00024357410063924334,-0.0008053826001410691,,
home_starter_ra9,REGIME_DEPENDENT,0.0011801257097929785,1.6644536163124002e-05,-0.0003825025156083406,0.0003969663786165256,0.0013475698617693155,0.00014684595155900482,-0.0006609948411666622,0.002327138602775669,0.0006466873180466237,0.0008214444243197505,0.7592277970663763,-0.2574294177346005
away_starter_ra9,STABLE,-0.0007811206084316069,0.0018962058401168491,0.0020036677362953448,0.001447347976802682,-7.4451227924488e-05,0.0002589761428164472,0.0018602628599295734,0.000179246004966771,0.0003791992716379866,0.0002309645796447768,0.7403887511030892,0.31873142757409356
home_starter_prior_starts,REGIME_DEPENDENT,-0.007780476049742635,0.0019120036138846608,0.0017475717884414266,0.020304908783216558,-0.005529014058205384,-0.0024462110728418196,-0.003979282787342608,0.008410982513408882,-0.002911550664731699,-0.0039499836294907276,,1.4451936569582358
away_starter_prior_starts,STABLE,6.253059547800532e-05,0.00024189300394805713,0.001809062846795051,0.001077082028892118,4.0076288582824304e-05,-1.49869202736852e-05,0.0006482839633639159,0.0003194395659926741,0.00033051874288814176,9.578477546146047e-05,,0.8730271310708826
home_expected_outs,REGIME_DEPENDENT,0.00019076563428166438,0.0017351768322519945,-0.006379193455244181,0.009032006934632353,-0.00036008552382149617,-2.1078394976559167e-05,-0.005476795626261577,0.0045975669538731445,0.00030063157699444787,-0.000601109848815895,0.9108616102602788,1.2737274807317458
away_expected_outs,MOSTLY_STABLE,-0.0024048579600939313,-0.003570292783509288,-0.006781345372645298,-0.0042338001036137385,-0.0012832745372404197,-0.0017980055376862758,-0.0028902752608139792,-0.0013375589424660106,-0.0032634132994524556,-0.0016019823804609423,,
