omitted_feature,absorber_rank,candidate_absorber,retained,absolute_coefficient_change,direct_contribution_correlation,source_concept_overlap,forecast_response_similarity,overlap_bonus,absorption_score,absorption_evidence,causal_claim,map
home_bullpen_ra9,2,strict_prior_total_run_factor,strict_prior_total_run_factor,0.0009077407210743085,0.775516776523588,OVERLAPPING_OFFICIAL_RUN_PREVENTION_SCORING_LINEAGE,0.8015304774917175,1.0,0.4200043027862218,WEAK,False,home_bullpen_ra9 -> strict_prior_total_run_factor
home_bullpen_ra9,3,home_offense,home_offense,0.0013831171237596116,-0.48063869347064964,OVERLAPPING_OFFICIAL_RUN_PREVENTION_SCORING_LINEAGE,-0.504452690701522,1.0,0.3398610528910828,NONE,False,home_bullpen_ra9 -> home_offense
home_bullpen_ra9,4,home_bullpen_likely_available_reliever_count,home_bullpen_likely_available_reliever_count,0.0007911149407040918,-0.11106953721043186,SAME_GOVERNED_STATE_FAMILY,-0.11297598419093878,1.0,0.17809233934263508,NONE,False,home_bullpen_ra9 -> home_bullpen_likely_available_reliever_count
home_bullpen_ra9,5,park_history_depth,park_history_depth,0.0011016157283706939,0.06103119586010924,OVERLAPPING_OFFICIAL_RUN_PREVENTION_SCORING_LINEAGE,-0.030070110567197713,1.0,0.17092903147677152,NONE,False,home_bullpen_ra9 -> park_history_depth
away_bullpen_ra9,1,away_prevention,away_prevention,0.008740509743290825,-0.9139191676077405,OVERLAPPING_OFFICIAL_RUN_PREVENTION_SCORING_LINEAGE,-0.9107612870432088,1.0,0.9693980265780294,CLEAR,False,away_bullpen_ra9 -> away_prevention
away_bullpen_ra9,2,away_offense,away_offense,0.00038883958968572406,-0.4811915616710924,OVERLAPPING_OFFICIAL_RUN_PREVENTION_SCORING_LINEAGE,-0.4788854235096946,1.0,0.2925390093832907,NONE,False,away_bullpen_ra9 -> away_offense
away_bullpen_ra9,3,home_prevention,home_prevention,0.0004040860464716179,0.08059367861848771,OVERLAPPING_OFFICIAL_RUN_PREVENTION_SCORING_LINEAGE,0.08657800852656379,1.0,0.15453270979189054,NONE,False,away_bullpen_ra9 -> home_prevention
away_bullpen_ra9,4,away_bullpen_likely_available_reliever_count,away_bullpen_likely_available_reliever_count,0.0003307925684325388,0.08947011656940432,SAME_GOVERNED_STATE_FAMILY,0.08924139154275323,1.0,0.1520954840135843,NONE,False,away_bullpen_ra9 -> away_bullpen_likely_available_reliever_count
away_bullpen_ra9,5,away_bullpen_recent_innings_burden,away_bullpen_recent_innings_burden,0.0004352660799997821,0.02634112807079879,SAME_GOVERNED_STATE_FAMILY,0.021130486561152382,1.0,0.13582708721318026,NONE,False,away_bullpen_ra9 -> away_bullpen_recent_innings_burden
home_bullpen_likely_available_reliever_count,1,away_bullpen_likely_available_reliever_count,away_bullpen_likely_available_reliever_count,0.004347902951895187,-0.3944233143865843,SAME_GOVERNED_STATE_FAMILY,-0.39382336863602596,1.0,0.7879581681727208,CLEAR,False,home_bullpen_likely_available_reliever_count -> away_bullpen_likely_available_reliever_count
