confidence_group,rows,mean_p_over,observed_hit_rate,brier
bottom20,1953,0.4658091065028162,0.4930875576036866,0.24869031601005992
second20,1953,0.5398373297491039,0.5734767025089605,0.2455060254793072
middle20,1952,0.5889409856557376,0.5840163934426229,0.2428388063313217
fourth20,1953,0.6348965207373273,0.593958013312852,0.24330716675957448
top20,1953,0.6979150133128521,0.6246799795186891,0.24104418971383154
top10,977,0.7222226775844423,0.6079836233367452,0.25091244459963563
