snapshot,rows,brier,log_loss,ece,accuracy,mean_probability,observed_rate,probability_sd,probability_min,probability_max,calibration_gap,mean_absolute_probability_change,median_absolute_probability_change,p90_absolute_probability_change,side_flip_rate
EARLIEST_VALID,12419,0.24394621143413397,0.6817832189108224,0.038651442145100225,0.5858764795877285,0.5987891738465254,0.5794347370963846,0.08507458411477786,0.292996,0.867983,-0.019354436750140813,,,,
LATEST_VALID,12419,0.24596949350711556,0.6858211813146663,0.04861193799822857,0.5699331669216523,0.5824835878895241,0.5794347370963846,0.08756350525803214,0.292996,0.867983,-0.003048850793139546,,,,
STABILITY_CHANGE,15498,,,,,,,,,,,0.016554205252290618,0.0,0.07228780000000007,0.07968770163892115
