group,rows,mean_signed_gap,model_brier,betonline_brier,observed_hit_rate,calibration_gap
PROPPADIA_HIGHER,4441,0.055042441846176744,0.24679365338684955,0.24138897168458598,0.5784733168205359,-0.06627464422427376
PROPPADIA_LOWER,5323,-0.06533865496748456,0.24217816821135396,0.24164968939402112,0.5699793349614879,0.033947863047153914
PROPPADIA_HIGHER_GE10PP,651,0.13141972881566594,0.2635748452740246,0.24312500738067147,0.5622119815668203,-0.1388645284178187
PROPPADIA_LOWER_GE10PP,1187,-0.13909494388070573,0.24735165009644655,0.2438104048072739,0.5560235888795282,0.08439847683235036
PROPPADIA_HIGHER_GE15PP,137,0.17600288614277834,0.28271276427039416,0.24460587940994566,0.5328467153284672,-0.195666817518248
PROPPADIA_LOWER_GE15PP,387,-0.1800720808121267,0.25435651792841085,0.25240173459138526,0.524547803617571,0.0901033049095607
