date,game_id,player_id,prediction_snapshots,multiplicity_class,side_changed,probability_changed,earliest_prediction_time,latest_valid_pregame_prediction_time,absolute_earliest_latest_change
2026-05-08,823225,663968,5,FOUR_PLUS,False,False,2026-05-08 12:49:20.053990+00:00,2026-05-08 23:44:50.027407+00:00,0.0
2026-05-08,823225,665833,5,FOUR_PLUS,False,False,2026-05-08 12:49:20.053990+00:00,2026-05-08 23:44:50.027407+00:00,0.0
2026-05-08,823225,668804,5,FOUR_PLUS,False,False,2026-05-08 12:49:20.053990+00:00,2026-05-08 23:44:50.027407+00:00,0.0
2026-05-08,823225,669477,5,FOUR_PLUS,False,False,2026-05-08 12:49:20.053990+00:00,2026-05-08 23:44:50.027407+00:00,0.0
2026-05-08,823225,669707,5,FOUR_PLUS,False,False,2026-05-08 12:49:20.053990+00:00,2026-05-08 23:44:50.027407+00:00,0.0
2026-05-08,823225,671218,5,FOUR_PLUS,False,False,2026-05-08 12:49:20.053990+00:00,2026-05-08 23:44:50.027407+00:00,0.0
2026-05-08,823225,672275,5,FOUR_PLUS,False,False,2026-05-08 12:49:20.053990+00:00,2026-05-08 23:44:50.027407+00:00,0.0
2026-05-08,823225,683679,5,FOUR_PLUS,False,False,2026-05-08 12:49:20.053990+00:00,2026-05-08 23:44:50.027407+00:00,0.0
2026-05-08,823225,687551,5,FOUR_PLUS,False,False,2026-05-08 12:49:20.053990+00:00,2026-05-08 23:44:50.027407+00:00,0.0
2026-05-08,823225,693304,5,FOUR_PLUS,False,False,2026-05-08 12:49:20.053990+00:00,2026-05-08 23:44:50.027407+00:00,0.0
2026-05-08,823225,695257,4,FOUR_PLUS,False,False,2026-05-08 16:48:13.011070+00:00,2026-05-08 23:44:50.027407+00:00,0.0
2026-05-08,823225,804606,5,FOUR_PLUS,False,False,2026-05-08 12:49:20.053990+00:00,2026-05-08 23:44:50.027407+00:00,0.0
2026-05-08,823225,805811,5,FOUR_PLUS,False,False,2026-05-08 12:49:20.053990+00:00,2026-05-08 23:44:50.027407+00:00,0.0
2026-05-08,823225,808982,5,FOUR_PLUS,False,False,2026-05-08 12:49:20.053990+00:00,2026-05-08 23:44:50.027407+00:00,0.0
2026-05-08,823303,592518,5,FOUR_PLUS,False,False,2026-05-08 12:49:20.053990+00:00,2026-05-08 23:44:50.027407+00:00,0.0
2026-05-08,823303,593428,5,FOUR_PLUS,False,False,2026-05-08 12:49:20.053990+00:00,2026-05-08 23:44:50.027407+00:00,0.0
2026-05-08,823303,609280,5,FOUR_PLUS,False,False,2026-05-08 12:49:20.053990+00:00,2026-05-08 23:44:50.027407+00:00,0.0
2026-05-08,823303,657757,5,FOUR_PLUS,False,False,2026-05-08 12:49:20.053990+00:00,2026-05-08 23:44:50.027407+00:00,0.0
2026-05-08,823303,665487,5,FOUR_PLUS,False,False,2026-05-08 12:49:20.053990+00:00,2026-05-08 23:44:50.027407+00:00,0.0
2026-05-08,823303,666023,5,FOUR_PLUS,False,False,2026-05-08 12:49:20.053990+00:00,2026-05-08 23:44:50.027407+00:00,0.0
2026-05-08,823303,669357,5,FOUR_PLUS,False,False,2026-05-08 12:49:20.053990+00:00,2026-05-08 23:44:50.027407+00:00,0.0
