separation_band,rows,mean_signed_separation,mean_absolute_separation,median_absolute_separation,separation_sd,absolute_p10,absolute_p25,absolute_p75,absolute_p90,absolute_p95,model_brier,betonline_brier,model_closer,betonline_closer,observed_hit_rate,mean_model_probability,mean_betonline_probability
OVERALL_DISTRIBUTION,9764,-0.010585229020181218,0.0606555862997533,0.05159760247716305,0.07553929491896445,0.009467699236641237,0.024207788910734107,0.08702368578550934,0.12437048750746693,0.15173688879215125,,,,,,,
<2.5pp,2523,,,,,,,,,,0.2418333432038398,0.24161492898192466,1258.0,1265.0,0.5794688862465319,0.596226803012287,0.5962764579088835
2.5-4.99pp,2245,,,,,,,,,,0.24102546129037372,0.23967708753738112,1114.0,1131.0,0.5817371937639199,0.594347008908686,0.5959242614535595
5.0-7.49pp,1874,,,,,,,,,,0.24386598859253572,0.23993539654246565,912.0,962.0,0.5784418356456777,0.5933625645677696,0.5974432704745349
7.5-9.99pp,1284,,,,,,,,,,0.24274051637038552,0.24402175165200338,681.0,603.0,0.5646417445482866,0.5839958714953271,0.5937227150225993
10.0-14.99pp,1314,,,,,,,,,,0.2496392783824452,0.24085757499621208,636.0,678.0,0.5707762557077626,0.5694698942161339,0.5953267854297312
>=15pp,524,,,,,,,,,,0.2617702693575172,0.2503635052786806,257.0,267.0,0.5267175572519084,0.5113289599236641,0.5983051047189549
