feature_order,feature_name,definition,expected_direction,coefficient,sign,empirical_raw_min,empirical_raw_max,contribution_q01,contribution_q25,contribution_median,contribution_q75,contribution_q99,max_absolute_contribution,scale_dominance_share,sign_plausible
1,diff_std_goal_diff_pg,Season-to-date home-minus-away goal differential rate,POSITIVE,0.0449264245768112,POSITIVE,-14,9,-0.095210303635622,-0.0176725013243888,0.00221163501362645,0.0210792615462536,0.0933803141840952,0.42726430570967,0.0108562109726792,True
2,diff_r10_goal_diff_pg,Prior-10 home-minus-away goal differential rate,POSITIVE,0.024591622992364,POSITIVE,-14,9,-0.0512948916517208,-0.0143877379734492,0.000795927953550542,0.0154418390456357,0.0524203921053496,0.211775395024446,0.00427739197346191,True
3,diff_std_shot_diff_pg,Season-to-date home-minus-away shot differential rate,POSITIVE,0.380218141561234,POSITIVE,-26.5,38,-0.707767059269661,-0.201703232812077,0.000593411914027192,0.202293424040404,0.750367919994739,2.06100544882417,0.833588702741447,True
4,diff_days_rest,Home-minus-away rest days,POSITIVE_OR_NEAR_ZERO,0.0906627232822018,POSITIVE,-10,14,-0.256324678029774,-0.00734047576805819,-0.00734047576805819,0.0756542583191804,0.241643726493657,1.15458580145328,0.0915630985544936,True
5,home_back_to_back,Home back-to-back indicator,NEGATIVE_OR_NEAR_ZERO,-0.0444787387651908,NEGATIVE,0,1,-0.13045804190574,0.0151647086928647,0.0151647086928647,0.0151647086928647,0.0151647086928647,0.13045804190574,0.0146688178192319,True
6,away_back_to_back,Away back-to-back indicator,POSITIVE_OR_NEAR_ZERO,0.0676392173167916,POSITIVE,0,1,-0.0294951043836711,-0.0294951043836711,-0.0294951043836711,-0.0294951043836711,0.155112647160557,0.155112647160557,0.0450457779386863,True
