team,appearance,games,mean_home_probability,actual_home_win_rate,correctness,brier_contribution_mean,brier_contribution_sum,calibration_gap,material_calibration_class,franchise_transition_flag
NSH,away,64,0.52918467538362,0.625,0.6875,0.234792590977788,15.0267258225785,-0.0958153246163798,WITHIN_0_10,False
NYI,away,63,0.54268444465714,0.587301587301587,0.587301587301587,0.243992639324971,15.3715362774732,-0.0446171426444475,WITHIN_0_10,False
NYR,away,67,0.542526375211467,0.447761194029851,0.567164179104478,0.245231410535166,16.4305045058561,0.094765181181616,WITHIN_0_10,False
OTT,away,68,0.509453740298972,0.544117647058823,0.5,0.248271877726103,16.882487685375,-0.0346639067598514,WITHIN_0_10,False
PHI,away,58,0.527259438063953,0.706896551724138,0.53448275862069,0.247313376471174,14.3441758353281,-0.179637113660184,UNDERPREDICTED,False
PIT,away,61,0.564115989822922,0.704918032786885,0.622950819672131,0.227445917914395,13.8742009927781,-0.140802042963963,UNDERPREDICTED,False
SEA,away,57,0.5586100749529,0.578947368421053,0.614035087719298,0.231294195918758,13.1837691673692,-0.0203372934681531,WITHIN_0_10,False
SJS,away,57,0.639206472379938,0.789473684210526,0.771929824561403,0.190011016994437,10.8306279686829,-0.150267211830589,UNDERPREDICTED,False
STL,away,65,0.574505484998721,0.538461538461538,0.538461538461538,0.239851939533213,15.5903760696588,0.036043946537183,WITHIN_0_10,False
TBL,away,65,0.545933675836253,0.523076923076923,0.584615384615385,0.240665889980017,15.6432828487011,0.0228567527593294,WITHIN_0_10,False
TOR,away,70,0.535840969113284,0.4,0.471428571428571,0.252091097646047,17.6463768352233,0.135840969113284,OVERPREDICTED,False
UTA,away,41,0.567268269099429,0.51219512195122,0.634146341463415,0.228652433502622,9.3747497736075,0.0550731471482091,WITHIN_0_10,True
VAN,away,63,0.568665875664523,0.476190476190476,0.555555555555556,0.24309100436302,15.3147332748703,0.092475399474047,WITHIN_0_10,False
VGK,away,70,0.508026514568409,0.5,0.571428571428571,0.241865798176162,16.9306058723313,0.00802651456840919,WITHIN_0_10,False
WPG,away,71,0.52061582042648,0.464788732394366,0.605633802816901,0.239569851300374,17.0094594423266,0.0558270880321135,WITHIN_0_10,False
WSH,away,69,0.562083381773262,0.492753623188406,0.565217391304348,0.236563499781017,16.3228814848902,0.0693297585848563,WITHIN_0_10,False
