perturbation_type,excluded_segment,rows,home_wins,predicted_home_wins,accuracy,brier_score,log_loss,roc_auc,mean_home_probability,observed_home_win_rate,calibration_gap,reference_predicted_home_wins,reference_accuracy,reference_brier_score,reference_log_loss,reference_roc_auc,reference_mean_home_probability,reference_observed_home_win_rate,reference_calibration_gap,accuracy_delta_vs_reference,brier_improvement_vs_reference,log_loss_improvement_vs_reference
none,NONE,2097,1165,1497,0.590844062947067,0.236589152627613,0.665683055326584,0.620750059864798,0.544160937033211,0.555555555555556,-0.0113946185223441,2097,0.555555555555556,0.24722872856271,0.687596775877993,,0.537803138373752,0.555555555555556,-0.0177524171818038,0.0352885073915117,0.0106395759350979,0.0219137205514092
missingness,MINIMUM_HISTORY_LIMITED_IMPUTED,2077,1159,1477,0.593644679826673,0.236291151701042,0.66507969550925,0.621274068058822,0.544231847275082,0.558016369764083,-0.0137845224890006,2077,0.558016369764083,0.247042675562636,0.687223958411767,,0.537803138373752,0.558016369764083,-0.0202132313903309,0.0356283100625903,0.0107515238615944,0.0221442629025178
season_phase,POSTSEASON,1923,1071,1382,0.59074362974519,0.236469298059875,0.665403657327449,0.619790639260399,0.545126030598031,0.556942277691108,-0.0118162470930769,1923,0.556942277691108,0.247123883665158,0.687386685156335,,0.537803138373752,0.556942277691108,-0.0191391393173557,0.0338013520540822,0.0106545856052834,0.0219830278288866
leave_one_month_out,2024-01,2018,1122,1444,0.592666005946482,0.236122452972357,0.664721378368671,0.623793409409218,0.543882744242313,0.55599603567889,-0.0121132914365771,2018,0.55599603567889,0.247195425500604,0.687530042402977,,0.537803138373752,0.55599603567889,-0.0181928973051382,0.0366699702675917,0.0110729725282464,0.0228086640343063
leave_one_month_out,2024-02,1925,1080,1380,0.586493506493507,0.237288237247563,0.667133744946433,0.613498794652641,0.544028531065676,0.561038961038961,-0.0170104299732848,1925,0.561038961038961,0.246814148690213,0.686766030780891,,0.537803138373752,0.561038961038961,-0.0232358226652092,0.0254545454545455,0.00952591144265036,0.0196322858344586
leave_one_month_out,2024-03,1869,1035,1342,0.58533975387908,0.237481762360815,0.667534818667843,0.615818070181536,0.543923714281368,0.553772070626003,-0.00984835634463477,1869,0.553772070626003,0.247363571217869,0.687866976826193,,0.537803138373752,0.553772070626003,-0.0159689322522515,0.0315676832530766,0.00988180885705392,0.0203321581583505
leave_one_month_out,2024-04,1928,1074,1378,0.594398340248963,0.236339582826122,0.665182380005441,0.621018844390948,0.544137233781361,0.557053941908714,-0.0129167081273526,1928,0.557053941908714,0.247115441149419,0.687369767840704,,0.537803138373752,0.557053941908714,-0.019250803534962,0.0373443983402489,0.0107758583232967,0.0221873878352623
leave_one_month_out,2024-05,2055,1146,1473,0.592700729927007,0.236205147484834,0.664874191701801,0.622197647338905,0.544370935413192,0.557664233576642,-0.0132932981634506,2055,0.557664233576642,0.247069299268677,0.687277307632815,,0.537803138373752,0.557664233576642,-0.0198610952028905,0.035036496350365,0.0108641517838431,0.0224031159310143
leave_one_month_out,2024-06,2088,1158,1488,0.590038314176245,0.236681205632215,0.665867525705303,0.620553605586198,0.544123451074149,0.554597701149425,-0.0104742500752766,2088,0.554597701149425,0.247301148368024,0.687741892421725,,0.537803138373752,0.554597701149425,-0.0167945627756735,0.0354406130268199,0.0106199427358091,0.0218743667164217
leave_one_month_out,2024-10,1931,1077,1377,0.597099948213361,0.23562675112589,0.663731136508501,0.626908382422333,0.544144361369624,0.557742102537545,-0.013597741167921,1931,0.557742102537545,0.247063411886469,0.687265510355068,,0.537803138373752,0.557742102537545,-0.0199389641637934,0.0393578456758157,0.011436660760579,0.0235343738465672
leave_one_month_out,2024-11,1877,1047,1338,0.593500266382525,0.236296724686771,0.665087002052429,0.621831739565713,0.544313629060343,0.557805007991476,-0.0134913789311328,1877,0.557805007991476,0.24705865583931,0.687255980073641,,0.537803138373752,0.557805007991476,-0.020001869617724,0.0356952583910495,0.0107619311525385,0.0221689780212126
leave_one_month_out,2024-12,1883,1045,1350,0.585236325013277,0.23774250670532,0.668067783812079,0.612475591234541,0.54437108593904,0.554965480616038,-0.0105943946769982,1883,0.554965480616038,0.247273341931889,0.687686173217732,,0.537803138373752,0.554965480616038,-0.0171623422422864,0.0302708443972385,0.00953083522656908,0.0196183894056529
leave_one_month_out,2025-01,1873,1040,1334,0.591030432461292,0.236240557978115,0.664938944144835,0.623215440022163,0.544412234084154,0.555258942872397,-0.0108467087882437,1873,0.555258942872397,0.24725115434332,0.687641713195326,,0.537803138373752,0.555258942872397,-0.0174558044986454,0.0357714895888949,0.011010596365205,0.0227027690504905
leave_one_month_out,2025-02,1975,1098,1407,0.595443037974684,0.235886302583137,0.664244377409396,0.625000778859874,0.544239227315029,0.555949367088608,-0.0117101397735789,1975,0.555949367088608,0.247198953938956,0.687537112772419,,0.537803138373752,0.555949367088608,-0.0181462287148557,0.0394936708860759,0.0113126513558194,0.0232927353630228
