slate_date,game_pk,batter_mlb_id,player_name,game,result,total_bases,resolution_reason_code,outcome_source,outcome_source_path,resolution_method,source_revision,resolved_timestamp_utc
2026-07-27,822868,663728,Cal Raleigh,SEA @ TEX,NO_ACTION,,NOT_IN_FINAL_LINEUP_NO_ACTION,OFFICIAL_LINEUP_AND_PARTICIPATION,STATSAPI_REFRESH,NO_ACTION_FINAL_LINEUP,CERTIFIED_COMPLETE_RUN_SNAPSHOTS,2026-07-28T18:16:16.049600+00:00
2026-07-27,822868,668227,Randy Arozarena,SEA @ TEX,WIN,4,MARKET_BACKED_RECONCILIATION,RECONCILE_ROWS,artifacts/analysis/mlb/execution_vs_model/2026-07-27/reconcile_rows.csv,EXACT_ID_MARKET_BACKED,CERTIFIED_COMPLETE_RUN_SNAPSHOTS,2026-07-28T18:16:16.049618+00:00
2026-07-27,822868,669394,Jake Burger,SEA @ TEX,WIN,4,MARKET_BACKED_RECONCILIATION,RECONCILE_ROWS,artifacts/analysis/mlb/execution_vs_model/2026-07-27/reconcile_rows.csv,EXACT_ID_MARKET_BACKED,CERTIFIED_COMPLETE_RUN_SNAPSHOTS,2026-07-28T18:16:16.049636+00:00
2026-07-27,822868,670042,Luke Raley,SEA @ TEX,LOSS,0,EXACT_ID_PLAYER_STATS_FALLBACK,MLB_PLAYER_STATS,mlb.player_stats,EXACT_ID_OFFICIAL_PLAYER_GAME,CERTIFIED_COMPLETE_RUN_SNAPSHOTS,2026-07-28T18:16:16.049650+00:00
2026-07-27,822868,677594,Julio Rodríguez,SEA @ TEX,LOSS,1,NOT_IN_FINAL_LINEUP_LATER_APPEARANCE_ACTION,MLB_PLAYER_STATS,mlb.player_stats,EXACT_ID_OFFICIAL_PLAYER_GAME,CERTIFIED_COMPLETE_RUN_SNAPSHOTS,2026-07-28T18:16:16.049665+00:00
2026-07-27,822868,677649,Ezequiel Duran,SEA @ TEX,WIN,5,MARKET_BACKED_RECONCILIATION,RECONCILE_ROWS,artifacts/analysis/mlb/execution_vs_model/2026-07-27/reconcile_rows.csv,EXACT_ID_MARKET_BACKED,CERTIFIED_COMPLETE_RUN_SNAPSHOTS,2026-07-28T18:16:16.049700+00:00
2026-07-27,822868,686527,Dominic Canzone,SEA @ TEX,LOSS,1,MARKET_BACKED_RECONCILIATION,RECONCILE_ROWS,artifacts/analysis/mlb/execution_vs_model/2026-07-27/reconcile_rows.csv,EXACT_ID_MARKET_BACKED,CERTIFIED_COMPLETE_RUN_SNAPSHOTS,2026-07-28T18:16:16.049715+00:00
2026-07-27,822868,694671,Wyatt Langford,SEA @ TEX,LOSS,0,MARKET_BACKED_RECONCILIATION,RECONCILE_ROWS,artifacts/analysis/mlb/execution_vs_model/2026-07-27/reconcile_rows.csv,EXACT_ID_MARKET_BACKED,CERTIFIED_COMPLETE_RUN_SNAPSHOTS,2026-07-28T18:16:16.049730+00:00
2026-07-27,822868,702284,Cole Young,SEA @ TEX,LOSS,1,MARKET_BACKED_RECONCILIATION,RECONCILE_ROWS,artifacts/analysis/mlb/execution_vs_model/2026-07-27/reconcile_rows.csv,EXACT_ID_MARKET_BACKED,CERTIFIED_COMPLETE_RUN_SNAPSHOTS,2026-07-28T18:16:16.049750+00:00
2026-07-27,823025,608324,Alex Bregman,CHC @ STL,WIN,9,MARKET_BACKED_RECONCILIATION,RECONCILE_ROWS,artifacts/analysis/mlb/execution_vs_model/2026-07-27/reconcile_rows.csv,EXACT_ID_MARKET_BACKED,CERTIFIED_COMPLETE_RUN_SNAPSHOTS,2026-07-28T18:16:16.049765+00:00
