fit_id,fit_timestamp,training_cutoff_exclusive,training_start,training_end,training_rows,train_rows,validation_rows,training_population_hash,artifact_path,fitted_artifact_sha256,auc_lr,auc_rf,weight_lr,weight_rf,feature_contract_hash,estimator_config_hash
FIT_20260325,2026-03-25T09:00:00 America/New_York,2026-03-25,2025-04-01,2025-09-28,47263,37810,9453,37e037342aaa4321d750ec07f477d716895f0835d31ccd4d83148c9dd682fd87,artifacts/analysis/model_development/mlb_hits05_2026_first_principles_season_rebuild_v1/2026-08-14/fitted_models/FIT_20260325.joblib,3f9fe03fcc8f8a714dffa3764ef698b8295f21f517e83e54337dc4caccb1f946,0.553018166901601,0.5190556053854912,0.053018166901600994,0.019055605385491226,3190375c4f8f01f12a57b104edb3401407f5dfea73422deafce204b4de841625,61c9bb36ce227e90cdaa1a8789aa706d9493c09dfa8c96363ce98d981918b60a
FIT_20260330,2026-03-30T09:00:00 America/New_York,2026-03-30,2025-04-01,2026-03-29,48213,38570,9643,f5c1e21f50c280549913225d1033338fe1568e11c24d60c47d8970346bbd4e09,artifacts/analysis/model_development/mlb_hits05_2026_first_principles_season_rebuild_v1/2026-08-14/fitted_models/FIT_20260330.joblib,8cf5b96427d369acd2e4a635b18994ec955d4524c86b208fe4a523c5edcff10b,0.5472843421736897,0.5173492888427951,0.04728434217368971,0.017349288842795074,3190375c4f8f01f12a57b104edb3401407f5dfea73422deafce204b4de841625,61c9bb36ce227e90cdaa1a8789aa706d9493c09dfa8c96363ce98d981918b60a
FIT_20260406,2026-04-06T09:00:00 America/New_York,2026-04-06,2025-04-01,2026-04-05,50070,40056,10014,9eddd78aa0b559b818f445a9404a3b10415bdae6b008c64e769a2a7051904569,artifacts/analysis/model_development/mlb_hits05_2026_first_principles_season_rebuild_v1/2026-08-14/fitted_models/FIT_20260406.joblib,79acee0d1857dcdf6f336f296a0ffc05879455ec6252d142a616b515e64fa50f,0.5455872325573413,0.5239489514039667,0.04558723255734132,0.02394895140396669,3190375c4f8f01f12a57b104edb3401407f5dfea73422deafce204b4de841625,61c9bb36ce227e90cdaa1a8789aa706d9493c09dfa8c96363ce98d981918b60a
FIT_20260413,2026-04-13T09:00:00 America/New_York,2026-04-13,2025-04-01,2026-04-12,51955,41564,10391,78fd34cfc0b8906e60ad29f3f77aa62d20d38d98f1c27fdb69b9ed31b2cede04,artifacts/analysis/model_development/mlb_hits05_2026_first_principles_season_rebuild_v1/2026-08-14/fitted_models/FIT_20260413.joblib,c6e7402d3ef7b17a94b8cb1213b844fdbc2d176fea90d0f21a2d9901561fc80f,0.5455873807182059,0.5218415194492203,0.045587380718205894,0.021841519449220304,3190375c4f8f01f12a57b104edb3401407f5dfea73422deafce204b4de841625,61c9bb36ce227e90cdaa1a8789aa706d9493c09dfa8c96363ce98d981918b60a
FIT_20260420,2026-04-20T09:00:00 America/New_York,2026-04-20,2025-04-01,2026-04-19,53897,43117,10780,179773eba86c14b36e3db1d62aae4732915579c6d099c275a0d17d445ab2f0bb,artifacts/analysis/model_development/mlb_hits05_2026_first_principles_season_rebuild_v1/2026-08-14/fitted_models/FIT_20260420.joblib,e8f1e56bba78ae215d8494e9a81244c109915da8a68c139ab373c7d379c078e3,0.5442493142068388,0.5247201265004455,0.04424931420683875,0.024720126500445527,3190375c4f8f01f12a57b104edb3401407f5dfea73422deafce204b4de841625,61c9bb36ce227e90cdaa1a8789aa706d9493c09dfa8c96363ce98d981918b60a
FIT_20260427,2026-04-27T09:00:00 America/New_York,2026-04-27,2025-04-01,2026-04-26,55779,44623,11156,84bd64943996343cb344952e33710b78017adf394ee87ea3d91f17cf94b500e5,artifacts/analysis/model_development/mlb_hits05_2026_first_principles_season_rebuild_v1/2026-08-14/fitted_models/FIT_20260427.joblib,85839a798d5c7bbea08a69da833bcac57d80d0890a812038db5a79843d9cdc0b,0.5444409674507599,0.5231916950681118,0.04444096745075987,0.023191695068111806,3190375c4f8f01f12a57b104edb3401407f5dfea73422deafce204b4de841625,61c9bb36ce227e90cdaa1a8789aa706d9493c09dfa8c96363ce98d981918b60a
FIT_20260504,2026-05-04T09:00:00 America/New_York,2026-05-04,2025-04-01,2026-05-03,57643,46114,11529,21f30154ee24cf645a2d0fd51da5ed41bb595298ddf1e8563e6123721bb4c569,artifacts/analysis/model_development/mlb_hits05_2026_first_principles_season_rebuild_v1/2026-08-14/fitted_models/FIT_20260504.joblib,8a485a1516e73a8f3cd0da0673d566ff4f286c86ec8a259b9cb28de9d5c5021c,0.5442925772413214,0.5273295962901845,0.04429257724132141,0.0273295962901845,3190375c4f8f01f12a57b104edb3401407f5dfea73422deafce204b4de841625,61c9bb36ce227e90cdaa1a8789aa706d9493c09dfa8c96363ce98d981918b60a
FIT_20260511,2026-05-11T09:00:00 America/New_York,2026-05-11,2025-04-01,2026-05-10,59543,47634,11909,19bff61e3ec87a7586c1b1e9c7baca152b5c9e38015d80a4f886a5701b7b245a,artifacts/analysis/model_development/mlb_hits05_2026_first_principles_season_rebuild_v1/2026-08-14/fitted_models/FIT_20260511.joblib,0ccd2f1313712eef69165164e45070d7b17321bb4cd30823aa1e0015f88ba21c,0.5485830676615701,0.5276107586715154,0.048583067661570056,0.027610758671515412,3190375c4f8f01f12a57b104edb3401407f5dfea73422deafce204b4de841625,61c9bb36ce227e90cdaa1a8789aa706d9493c09dfa8c96363ce98d981918b60a
FIT_20260518,2026-05-18T09:00:00 America/New_York,2026-05-18,2025-04-01,2026-05-17,61393,49114,12279,c7e9720fc7d92b3e25a1c7165dfd7890558f0e3c923a348af6d784c5e650c1ce,artifacts/analysis/model_development/mlb_hits05_2026_first_principles_season_rebuild_v1/2026-08-14/fitted_models/FIT_20260518.joblib,997fe7d473882fdcf6eb266ca8978f25e8495070f21cd1895422a2153e23c298,0.5508453646847266,0.528092681203885,0.05084536468472656,0.028092681203884973,3190375c4f8f01f12a57b104edb3401407f5dfea73422deafce204b4de841625,61c9bb36ce227e90cdaa1a8789aa706d9493c09dfa8c96363ce98d981918b60a
FIT_20260525,2026-05-25T09:00:00 America/New_York,2026-05-25,2025-04-01,2026-05-24,63319,50655,12664,9159d3481683e234526ff286e14b1a06e5fe631761d4d3b4052687c59a9c1f19,artifacts/analysis/model_development/mlb_hits05_2026_first_principles_season_rebuild_v1/2026-08-14/fitted_models/FIT_20260525.joblib,73f36d1fad68ae7199c346bd7b2c62120530346f6353df22cebda7f66cb4fb20,0.5526455686416207,0.5268361159728028,0.05264556864162073,0.026836115972802776,3190375c4f8f01f12a57b104edb3401407f5dfea73422deafce204b4de841625,61c9bb36ce227e90cdaa1a8789aa706d9493c09dfa8c96363ce98d981918b60a
