through_date,slates,predictions,resolved,n,brier,log_loss,mean_predicted,observed_rate,probability_sd,accuracy_50,ece,model_minus_baseline_a_brier,model_minus_baseline_a_log_loss,model_minus_baseline_b_brier,model_minus_baseline_b_log_loss
2026-03-25,1,26,18,18,0.24134261275022872,0.6763028288848205,0.70430906022483,0.6111111111111112,0.06047656478982886,0.6111111111111112,0.16237295410837366,0.0023095460472956075,0.005211059021915321,0.0033857249568535197,0.007804789867632889
2026-03-26,2,312,242,242,0.25986037622214164,0.7175788235511841,0.6488446045152809,0.5743801652892562,0.10143859427544029,0.5413223140495868,0.12338531798229903,0.015392557850184868,0.03553717169553772,0.014049937391951456,0.03247872337723223
2026-03-27,3,519,399,399,0.27340354131509165,0.7462264269514705,0.648127601714338,0.5288220551378446,0.09973355325697406,0.49373433583959897,0.16688239811017636,0.02219481831364195,0.05060326722365194,0.020197719616159182,0.046036051806487954
2026-03-28,4,909,706,706,0.2619460748200538,0.7204035072779221,0.646363839970373,0.5424929178470255,0.0993587195854105,0.5254957507082153,0.13039955545018844,0.012764629500013419,0.02886502035407601,0.015025956710920385,0.03323030686402373
2026-03-29,5,1221,950,950,0.26382882959786796,0.7251101850349156,0.6465025915046202,0.5452631578947369,0.09989518671762762,0.5273684210526316,0.12860142370440167,0.015061030008109683,0.03440521880885494,0.015606126717402441,0.035075316451613325
2026-03-30,6,1611,1250,1250,0.2611173180415921,0.7200884614240948,0.6488198704322721,0.552,0.09829060981961216,0.5368,0.1205017922939285,0.013344455465701177,0.031388029032574205,0.014100957594201768,0.03238138285819536
2026-03-31,7,1975,1524,1524,0.26062731991967764,0.7188579665651352,0.6496474172137012,0.5531496062992126,0.09743041221023167,0.5387139107611548,0.11901580177452123,0.013026546182932475,0.030504315923971292,0.013618423524518142,0.031216900359371635
2026-04-01,8,2365,1827,1827,0.2592004630149073,0.7156718425100661,0.6496361589683339,0.5528188286808976,0.09596445197044468,0.5446086480569239,0.11274421053751246,0.011554237648638915,0.027226719485682116,0.012747174468548561,0.02925723876789721
2026-04-02,9,2443,1889,1889,0.25831626033075444,0.713774925148135,0.6497512724882455,0.5558496559025939,0.09555360921043173,0.547908946532557,0.10956249749874258,0.011114388887832005,0.026224961172927386,0.012393140590891222,0.028504054199555595
2026-04-03,10,2806,2171,2171,0.2587904146173306,0.7151143550484796,0.6495743662077854,0.5545831414094887,0.09536346607658035,0.5481345002303086,0.1091205914929729,0.01140514168308035,0.027194993460582406,0.012637827017895759,0.02932729890432806
