metric,point,ci_low,ci_high,cluster,replicates
model_brier,0.25082013784401713,0.24877175674996882,0.25298165428094094,date,1000
model_log_loss,0.6979224994655917,0.693530560863235,0.7026465642981687,date,1000
brier_improvement_vs_a,-0.004981596855562598,-0.006419531409831073,-0.0035749164461468664,date,1000
log_improvement_vs_a,-0.013120000320154257,-0.01632752335930831,-0.009949625001738167,date,1000
brier_improvement_vs_b,-0.008782917416923858,-0.00988540792068155,-0.007653204705443937,date,1000
log_improvement_vs_b,-0.020757740175950445,-0.023283438032929562,-0.018307932419370645,date,1000
calibration_gap,0.08223890969044156,0.07623055506394595,0.08841642270536076,date,1000
