dataset,source,endpoint,requested_range,raw_path,acquired_at,sha256,files,rows,parser_version
MLB_2025_REGULAR_SCHEDULE,MLB StatsAPI,/api/v1/schedule,2025 regular season,artifacts/analysis/model_development/mlb_hits05_2026_first_principles_season_rebuild_v1/2026-08-14/raw/mlb_statsapi/schedule_2025_regular.json,2026-08-15T00:44:38.281151+00:00,a2f100fafc76a9c7c94f990315480c816819827fcf210ae90fcee2b5842f32d7,1,2430,hits05_first_principles_v1
MLB_2026_SCHEDULE,MLB StatsAPI,/api/v1/schedule,through 2026-08-13,artifacts/analysis/model_development/mlb_hits05_2026_first_principles_season_rebuild_v1/2026-08-14/raw/mlb_statsapi/schedule_2026_through_0813.json,2026-08-15T00:44:39.078776+00:00,be14ca53437ccb4f6482c1737a39cca9705a34441bc91bbfbc031eb336f33852,1,1825,hits05_first_principles_v1
MLB_OFFICIAL_BOXSCORES,MLB StatsAPI,/api/v1/game/{gamePk}/boxscore,2025 regular + 2026 through Aug13,artifacts/analysis/model_development/mlb_hits05_2026_first_principles_season_rebuild_v1/2026-08-14/raw/mlb_statsapi/boxscores,2026-08-15T05:02:06.247005+00:00,5aea4ece166a75ddf8a8c9b679c92fed7d7ca75393f2b3829511ea22fa458198,4261,89547,hits05_first_principles_v1
MLB_DATED_ACTIVE_ROSTERS,MLB StatsAPI,/api/v1/teams/{teamId}/roster?rosterType=active&date={date},2025 regular + 2026 through Aug13,artifacts/analysis/model_development/mlb_hits05_2026_first_principles_season_rebuild_v1/2026-08-14/raw/mlb_statsapi/rosters,2026-08-15T05:02:14.683762+00:00,1337bd3b1e9b685d27c55379f4687c8ddec2638d0d231b3b273099da26af8c46,8432,110957,hits05_first_principles_v1
