date,games,denominator_hitters,complete_feature_rows,fallback_rows,blocked_rows,predictions,resolved,coverage,blocker_categories
2026-07-27,11,286,286,286,0,286,218,1.0,
2026-07-28,15,389,389,389,0,389,312,1.0,
2026-07-29,16,416,416,416,0,416,331,1.0,
2026-07-30,10,259,259,259,0,259,205,1.0,
2026-07-31,15,388,388,388,0,388,310,1.0,
2026-08-01,15,388,388,388,0,388,302,1.0,
2026-08-02,15,373,373,373,0,373,286,1.0,
2026-08-03,8,203,203,203,0,203,155,1.0,
2026-08-04,15,391,391,391,0,391,308,1.0,
2026-08-05,15,391,391,391,0,391,310,1.0,
2026-08-06,11,286,286,286,0,286,229,1.0,
2026-08-07,15,390,390,390,0,390,305,1.0,
2026-08-08,15,390,390,390,0,390,308,1.0,
2026-08-09,15,389,389,389,0,389,306,1.0,
2026-08-10,10,259,259,259,0,259,205,1.0,
2026-08-11,15,390,390,390,0,390,301,1.0,
2026-08-12,15,389,389,389,0,389,311,1.0,
2026-08-13,9,236,236,236,0,236,180,1.0,
