date,games,denominator_hitters,predictions,resolved,coverage,n,brier,log_loss,mean_predicted,observed_rate,probability_sd,accuracy_50,ece,baseline_population_brier,baseline_hitter_brier
2026-03-25,1,26,26,18,1.0,18,0.24134261275022872,0.6763028288848205,0.70430906022483,0.6111111111111112,0.06047656478982886,0.6111111111111112,,0.23903306670293312,0.2379568877933752
2026-03-26,11,286,286,224,1.0,224,0.26134841078684895,0.7208956445511598,0.644387639324335,0.5714285714285714,0.10274083563921546,0.5357142857142857,0.12581108869495283,0.2449045394882176,0.24644152775279138
2026-03-27,8,207,207,157,1.0,157,0.2942789932418043,0.7903838793264342,0.6470224126835853,0.4585987261146497,0.09703636801174723,0.42038216560509556,0.23392885282957968,0.2615991619844898,0.26460507427368174
2026-03-28,15,390,390,307,1.0,307,0.24705510045028142,0.686842123076796,0.6440715242184447,0.5602605863192183,0.09882240242843336,0.5667752442996743,0.09172631490995756,0.2465466446852444,0.23875075090284728
2026-03-29,12,312,312,244,1.0,244,0.2692764725205599,0.738728687069495,0.6469040611078107,0.5532786885245902,0.10143037368597145,0.5327868852459017,0.12339863266946127,0.2475709394029586,0.2519916571778446
2026-03-30,15,390,390,300,1.0,300,0.25253086478005193,0.704186336656495,0.6561579203698361,0.5733333333333334,0.09264544735880398,0.5666666666666667,0.09485295949409703,0.24462222869864425,0.2431962760759857
2026-03-31,14,364,364,274,1.0,274,0.25839192702773195,0.7132443951282764,0.6534227218735063,0.5583941605839416,0.09331263602593756,0.5474452554744526,0.12163474856736504,0.24681569691582475,0.24697484506198947
2026-04-01,15,390,390,303,1.0,303,0.2520237966027952,0.6996465848865492,0.6495795333381699,0.5511551155115512,0.08822247574107796,0.5742574257425742,0.10939416185184683,0.24787483356228626,0.24365874609892535
2026-04-02,3,78,78,62,1.0,62,0.23226080381547606,0.6578770538538095,0.6531434079862829,0.6451612903225806,0.08246187601319382,0.6451612903225806,0.06975256690629959,0.2341077647017443,0.2303002421678093
2026-04-03,14,363,363,282,1.0,282,0.26196657577811916,0.7240866354802219,0.6483893450595969,0.5460992907801419,0.0940712906003659,0.549645390070922,0.10635682214463688,0.24861380278218723,0.24768969677223926
