exact_field_name,raw_ordinal,c_ordinal,contract_status,raw_coefficient,c_coefficient,c_minus_raw_coefficient,scaler_mean_scale_unchanged,support_shrinkage_role_in_c,new_direct_feature_added_in_c
league_total,1,1,RETAINED_DIRECT_FEATURE_REFIT_COEFFICIENT,-0.01265250483616578,-0.007650561803718463,0.0050019430324473165,TRUE,UNCHANGED_UPSTREAM_CONSTRUCTION,FALSE
home_offense,2,2,RETAINED_DIRECT_FEATURE_REFIT_COEFFICIENT,0.01438300487029133,0.015165920655995545,0.0007829157857042156,TRUE,UNCHANGED_UPSTREAM_CONSTRUCTION,FALSE
home_prevention,3,3,RETAINED_DIRECT_FEATURE_REFIT_COEFFICIENT,-0.013582351836678185,-0.011540466649533098,0.002041885187145086,TRUE,UNCHANGED_UPSTREAM_CONSTRUCTION,FALSE
away_offense,4,4,RETAINED_DIRECT_FEATURE_REFIT_COEFFICIENT,0.013564475744245507,0.013775102685456396,0.00021062694121088896,TRUE,UNCHANGED_UPSTREAM_CONSTRUCTION,FALSE
away_prevention,5,5,RETAINED_DIRECT_FEATURE_REFIT_COEFFICIENT,-0.013586090275206979,-0.011846246357311912,0.0017398439178950668,TRUE,UNCHANGED_UPSTREAM_CONSTRUCTION,FALSE
home_starter_ra9,6,6,RETAINED_DIRECT_FEATURE_REFIT_COEFFICIENT,0.013753975761015624,0.014260987454727389,0.000507011693711765,TRUE,UNCHANGED_UPSTREAM_CONSTRUCTION,FALSE
away_starter_ra9,7,7,RETAINED_DIRECT_FEATURE_REFIT_COEFFICIENT,0.006799765020473005,0.007002475915133584,0.0002027108946605783,TRUE,UNCHANGED_UPSTREAM_CONSTRUCTION,FALSE
home_starter_prior_starts,8,,REMOVED_FROM_C_DIRECT_LOCATION_RETAINED_UPSTREAM_ONLY,0.012677233712015375,,,NOT_APPLICABLE_REMOVED,RETAINED_FOR_STARTER_FALLBACK_GATING,FALSE
away_starter_prior_starts,9,,REMOVED_FROM_C_DIRECT_LOCATION_RETAINED_UPSTREAM_ONLY,0.0008268356527004493,,,NOT_APPLICABLE_REMOVED,RETAINED_FOR_STARTER_FALLBACK_GATING,FALSE
home_expected_outs,10,8,RETAINED_DIRECT_FEATURE_REFIT_COEFFICIENT,-0.011065970207803344,-0.007361001572272555,0.003704968635530789,TRUE,UNCHANGED_UPSTREAM_CONSTRUCTION,FALSE
away_expected_outs,11,9,RETAINED_DIRECT_FEATURE_REFIT_COEFFICIENT,0.007419496809107899,0.0076670565942527575,0.0002475597851448585,TRUE,UNCHANGED_UPSTREAM_CONSTRUCTION,FALSE
home_workload_uncertainty_outs,12,10,RETAINED_DIRECT_FEATURE_REFIT_COEFFICIENT,0.010362819278096425,0.010736750416472023,0.0003739311383755984,TRUE,UNCHANGED_UPSTREAM_CONSTRUCTION,FALSE
away_workload_uncertainty_outs,13,11,RETAINED_DIRECT_FEATURE_REFIT_COEFFICIENT,0.0014323801126656583,0.0019722974722490407,0.0005399173595833824,TRUE,UNCHANGED_UPSTREAM_CONSTRUCTION,FALSE
home_bullpen_ra9,14,12,RETAINED_DIRECT_FEATURE_REFIT_COEFFICIENT,0.015070549615556185,0.011500430968169254,-0.003570118647386931,TRUE,UNCHANGED_UPSTREAM_CONSTRUCTION,FALSE
away_bullpen_ra9,15,13,RETAINED_DIRECT_FEATURE_REFIT_COEFFICIENT,0.010854280711089645,0.008867486409897794,-0.001986794301191851,TRUE,UNCHANGED_UPSTREAM_CONSTRUCTION,FALSE
home_bullpen_likely_available_reliever_count,16,14,RETAINED_DIRECT_FEATURE_REFIT_COEFFICIENT,-0.01084444912895344,-0.013262985030833062,-0.0024185359018796208,TRUE,UNCHANGED_UPSTREAM_CONSTRUCTION,FALSE
away_bullpen_likely_available_reliever_count,17,15,RETAINED_DIRECT_FEATURE_REFIT_COEFFICIENT,0.003558827664027518,0.0020310716464405666,-0.0015277560175869513,TRUE,UNCHANGED_UPSTREAM_CONSTRUCTION,FALSE
home_bullpen_recent_innings_burden,18,16,RETAINED_DIRECT_FEATURE_REFIT_COEFFICIENT,-0.000834537374008508,-0.0025168109530165667,-0.0016822735790080587,TRUE,UNCHANGED_UPSTREAM_CONSTRUCTION,FALSE
away_bullpen_recent_innings_burden,19,17,RETAINED_DIRECT_FEATURE_REFIT_COEFFICIENT,0.007154814495771844,0.006379359474389643,-0.0007754550213822011,TRUE,UNCHANGED_UPSTREAM_CONSTRUCTION,FALSE
strict_prior_total_run_factor,20,18,RETAINED_DIRECT_FEATURE_REFIT_COEFFICIENT,0.04347158492532503,0.04519379965478723,0.0017222147294621987,TRUE,UNCHANGED_UPSTREAM_CONSTRUCTION,FALSE
park_history_depth,21,,REMOVED_FROM_C_DIRECT_LOCATION_RETAINED_UPSTREAM_ONLY,-0.02681303790069205,,,NOT_APPLICABLE_REMOVED,RETAINED_FOR_PARK_FACTOR_SHRINKAGE,FALSE
game_number,22,19,RETAINED_DIRECT_FEATURE_REFIT_COEFFICIENT,0.003839049993724805,0.00341793920317846,-0.0004211107905463447,TRUE,UNCHANGED_UPSTREAM_CONSTRUCTION,FALSE
