game_pk,player_mlb_id,player,team,opponent,team_id,is_home,position,official_role,batting_order,plate_appearances,at_bats,hits,singles,doubles,triples,home_runs,total_bases,walks,strikeouts_batting,runs_scored,rbis,stolen_bases,hit_by_pitch,sacrifice_flies,sacrifice_hits,catcher_interference,local_row_count,decision,mismatch_fields
824807,547180,Bryce Harper,PHI,BAL,143,False,1B,STARTED,3,4,3,1,0,0,0,1,4,1,2,1,1,0,0,0,0,0,1,COMPLETE_EXACT,
824807,592663,J.T. Realmuto,PHI,BAL,143,False,C,STARTED,6,3,2,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,COMPLETE_EXACT,
824807,607208,Trea Turner,PHI,BAL,143,False,SS,STARTED,1,4,3,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,COMPLETE_EXACT,
824807,621493,Taylor Ward,BAL,PHI,110,True,DH,STARTED,4,2,2,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,COMPLETE_EXACT,
824807,624413,Pete Alonso,BAL,PHI,110,True,1B,STARTED,2,2,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,COMPLETE_EXACT,
824807,650559,Bryan De La Cruz,PHI,BAL,143,False,RF,STARTED,9,3,2,1,0,0,0,1,4,0,0,1,3,0,0,1,0,0,1,COMPLETE_EXACT,
824807,656941,Kyle Schwarber,PHI,BAL,143,False,DH,STARTED,2,4,2,0,0,0,0,0,0,1,2,0,1,0,0,1,0,0,1,COMPLETE_EXACT,
824807,664761,Alec Bohm,PHI,BAL,143,False,3B,STARTED,4,4,4,2,2,0,0,0,2,0,0,1,0,0,0,0,0,0,1,COMPLETE_EXACT,
824807,665750,Leody Taveras,BAL,PHI,110,True,RF,STARTED,7,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,COMPLETE_EXACT,
824807,668670,Jake Rogers,BAL,PHI,110,True,C,STARTED,9,2,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,COMPLETE_EXACT,
824807,669016,Brandon Marsh,PHI,BAL,143,False,LF,STARTED,5,3,3,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,COMPLETE_EXACT,
824807,681082,Bryson Stott,PHI,BAL,143,False,2B,STARTED,7,3,1,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,1,COMPLETE_EXACT,
824807,681297,Colton Cowser,BAL,PHI,110,True,CF,STARTED,8,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,COMPLETE_EXACT,
824807,683002,Gunnar Henderson,BAL,PHI,110,True,SS,STARTED,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,COMPLETE_EXACT,
824807,687637,Dylan Beavers,BAL,PHI,110,True,LF,STARTED,1,3,3,1,1,0,0,0,1,0,2,0,0,0,0,0,0,0,1,COMPLETE_EXACT,
824807,687952,Christian Encarnacion-Strand,BAL,PHI,110,True,3B,STARTED,6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,COMPLETE_EXACT,
824807,689147,Orion Kerkering,PHI,BAL,143,False,P,ROLE_AMBIGUOUS_TECHNICAL_UNRESOLVED,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,COMPLETE_EXACT,
824807,702222,Justin Crawford,PHI,BAL,143,False,CF,STARTED,8,3,3,2,1,1,0,0,3,0,0,2,2,0,0,0,0,0,1,COMPLETE_EXACT,
824807,702616,Jackson Holliday,BAL,PHI,110,True,2B,STARTED,5,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,COMPLETE_EXACT,
