game_pk,player_mlb_id,player,team,opponent,team_id,is_home,position,official_role,batting_order,plate_appearances,at_bats,hits,singles,doubles,triples,home_runs,total_bases,walks,strikeouts_batting,runs_scored,rbis,stolen_bases,hit_by_pitch,sacrifice_flies,sacrifice_hits,catcher_interference,canonical_player_id,canonical_game_id,canonical_game_date,canonical_team,canonical_opponent,canonical_is_home,canonical_position,canonical_at_bats,canonical_hits,canonical_total_bases,canonical_rbis,canonical_runs_scored,canonical_strikeouts_batting,canonical_walks,canonical_singles,canonical_doubles,canonical_triples,canonical_home_runs,canonical_stolen_bases,canonical_strikeouts_pitching,canonical_walks_allowed,canonical_hits_allowed,canonical_outs_recorded,canonical_earned_runs,canonical_is_starter,canonical_plate_appearances,canonical_hit_by_pitch,canonical_sacrifice_flies,canonical_sacrifice_hits,canonical_catcher_interference,canonical_pa_source,canonical_pa_backfilled_at,existing_local_row_count,repair_action,official_payload_path,official_payload_sha256,arithmetic_verified
824807,547180,Bryce Harper,PHI,BAL,143,False,1B,STARTED,3,4,3,1,0,0,0,1,4,1,2,1,1,0,0,0,0,0,547180,824807,2026-08-02,PHI,BAL,False,1B,3,1,4,1,1,2,1,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,statsapi,2026-08-03 16:33:34.082695+00:00,0,INSERT_MISSING_OFFICIAL_PARTICIPANT,artifacts/analysis/model_development/mlb_normal_player_stats_partial_game_repair/2026-08-03/sources/game_824807_live_feed_a0cd38aed697474e2952803598f16cba81ed62cefce309a86adc95b1155fac95.json,a0cd38aed697474e2952803598f16cba81ed62cefce309a86adc95b1155fac95,True
824807,592663,J.T. Realmuto,PHI,BAL,143,False,C,STARTED,6,3,2,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,592663,824807,2026-08-02,PHI,BAL,False,C,2,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,statsapi,2026-08-03 16:33:34.082753+00:00,0,INSERT_MISSING_OFFICIAL_PARTICIPANT,artifacts/analysis/model_development/mlb_normal_player_stats_partial_game_repair/2026-08-03/sources/game_824807_live_feed_a0cd38aed697474e2952803598f16cba81ed62cefce309a86adc95b1155fac95.json,a0cd38aed697474e2952803598f16cba81ed62cefce309a86adc95b1155fac95,True
824807,607208,Trea Turner,PHI,BAL,143,False,SS,STARTED,1,4,3,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,607208,824807,2026-08-02,PHI,BAL,False,SS,3,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,statsapi,2026-08-03 16:33:34.082788+00:00,0,INSERT_MISSING_OFFICIAL_PARTICIPANT,artifacts/analysis/model_development/mlb_normal_player_stats_partial_game_repair/2026-08-03/sources/game_824807_live_feed_a0cd38aed697474e2952803598f16cba81ed62cefce309a86adc95b1155fac95.json,a0cd38aed697474e2952803598f16cba81ed62cefce309a86adc95b1155fac95,True
824807,621493,Taylor Ward,BAL,PHI,110,True,DH,STARTED,4,2,2,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,621493,824807,2026-08-02,BAL,PHI,True,DH,2,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,statsapi,2026-08-03 16:33:34.082823+00:00,0,INSERT_MISSING_OFFICIAL_PARTICIPANT,artifacts/analysis/model_development/mlb_normal_player_stats_partial_game_repair/2026-08-03/sources/game_824807_live_feed_a0cd38aed697474e2952803598f16cba81ed62cefce309a86adc95b1155fac95.json,a0cd38aed697474e2952803598f16cba81ed62cefce309a86adc95b1155fac95,True
824807,624413,Pete Alonso,BAL,PHI,110,True,1B,STARTED,2,2,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,624413,824807,2026-08-02,BAL,PHI,True,1B,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,statsapi,2026-08-03 16:33:34.082856+00:00,0,INSERT_MISSING_OFFICIAL_PARTICIPANT,artifacts/analysis/model_development/mlb_normal_player_stats_partial_game_repair/2026-08-03/sources/game_824807_live_feed_a0cd38aed697474e2952803598f16cba81ed62cefce309a86adc95b1155fac95.json,a0cd38aed697474e2952803598f16cba81ed62cefce309a86adc95b1155fac95,True
824807,650559,Bryan De La Cruz,PHI,BAL,143,False,RF,STARTED,9,3,2,1,0,0,0,1,4,0,0,1,3,0,0,1,0,0,650559,824807,2026-08-02,PHI,BAL,False,RF,2,1,4,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,1,0,0,statsapi,2026-08-03 16:33:34.082899+00:00,0,INSERT_MISSING_OFFICIAL_PARTICIPANT,artifacts/analysis/model_development/mlb_normal_player_stats_partial_game_repair/2026-08-03/sources/game_824807_live_feed_a0cd38aed697474e2952803598f16cba81ed62cefce309a86adc95b1155fac95.json,a0cd38aed697474e2952803598f16cba81ed62cefce309a86adc95b1155fac95,True
824807,656941,Kyle Schwarber,PHI,BAL,143,False,DH,STARTED,2,4,2,0,0,0,0,0,0,1,2,0,1,0,0,1,0,0,656941,824807,2026-08-02,PHI,BAL,False,DH,2,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,statsapi,2026-08-03 16:33:34.082933+00:00,0,INSERT_MISSING_OFFICIAL_PARTICIPANT,artifacts/analysis/model_development/mlb_normal_player_stats_partial_game_repair/2026-08-03/sources/game_824807_live_feed_a0cd38aed697474e2952803598f16cba81ed62cefce309a86adc95b1155fac95.json,a0cd38aed697474e2952803598f16cba81ed62cefce309a86adc95b1155fac95,True
824807,664761,Alec Bohm,PHI,BAL,143,False,3B,STARTED,4,4,4,2,2,0,0,0,2,0,0,1,0,0,0,0,0,0,664761,824807,2026-08-02,PHI,BAL,False,3B,4,2,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,statsapi,2026-08-03 16:33:34.082979+00:00,0,INSERT_MISSING_OFFICIAL_PARTICIPANT,artifacts/analysis/model_development/mlb_normal_player_stats_partial_game_repair/2026-08-03/sources/game_824807_live_feed_a0cd38aed697474e2952803598f16cba81ed62cefce309a86adc95b1155fac95.json,a0cd38aed697474e2952803598f16cba81ed62cefce309a86adc95b1155fac95,True
824807,665750,Leody Taveras,BAL,PHI,110,True,RF,STARTED,7,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,665750,824807,2026-08-02,BAL,PHI,True,RF,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,statsapi,2026-08-03 16:33:34.083013+00:00,0,INSERT_MISSING_OFFICIAL_PARTICIPANT,artifacts/analysis/model_development/mlb_normal_player_stats_partial_game_repair/2026-08-03/sources/game_824807_live_feed_a0cd38aed697474e2952803598f16cba81ed62cefce309a86adc95b1155fac95.json,a0cd38aed697474e2952803598f16cba81ed62cefce309a86adc95b1155fac95,True
824807,668670,Jake Rogers,BAL,PHI,110,True,C,STARTED,9,2,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,668670,824807,2026-08-02,BAL,PHI,True,C,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,statsapi,2026-08-03 16:33:34.083045+00:00,0,INSERT_MISSING_OFFICIAL_PARTICIPANT,artifacts/analysis/model_development/mlb_normal_player_stats_partial_game_repair/2026-08-03/sources/game_824807_live_feed_a0cd38aed697474e2952803598f16cba81ed62cefce309a86adc95b1155fac95.json,a0cd38aed697474e2952803598f16cba81ed62cefce309a86adc95b1155fac95,True
