game_pk,player_mlb_id,player,existed_in_original_ingestion_payload,exists_in_preserved_final_payload,current_parser_extracted,original_final_game_selection,entered_original_write_candidate_set,reached_original_upsert,original_commit,later_deleted_or_superseded,repair_action,repair_committed,post_repair_exact
824807,547180,Bryce Harper,NOT_PROVABLE_ORIGINAL_PAYLOAD_NOT_PRESERVED,YES,YES,EXCLUDED_DETAILED_STATE_NOT_LITERAL_FINAL,NO_GAME_EXCLUDED,NO,NO,NO_EVIDENCE_GAME_INFO_AND_ALL_DOWNSTREAM_ROWS_ABSENT,INSERT_MISSING_OFFICIAL_PARTICIPANT,YES,YES
824807,592663,J.T. Realmuto,NOT_PROVABLE_ORIGINAL_PAYLOAD_NOT_PRESERVED,YES,YES,EXCLUDED_DETAILED_STATE_NOT_LITERAL_FINAL,NO_GAME_EXCLUDED,NO,NO,NO_EVIDENCE_GAME_INFO_AND_ALL_DOWNSTREAM_ROWS_ABSENT,INSERT_MISSING_OFFICIAL_PARTICIPANT,YES,YES
824807,607208,Trea Turner,NOT_PROVABLE_ORIGINAL_PAYLOAD_NOT_PRESERVED,YES,YES,EXCLUDED_DETAILED_STATE_NOT_LITERAL_FINAL,NO_GAME_EXCLUDED,NO,NO,NO_EVIDENCE_GAME_INFO_AND_ALL_DOWNSTREAM_ROWS_ABSENT,INSERT_MISSING_OFFICIAL_PARTICIPANT,YES,YES
824807,621493,Taylor Ward,NOT_PROVABLE_ORIGINAL_PAYLOAD_NOT_PRESERVED,YES,YES,EXCLUDED_DETAILED_STATE_NOT_LITERAL_FINAL,NO_GAME_EXCLUDED,NO,NO,NO_EVIDENCE_GAME_INFO_AND_ALL_DOWNSTREAM_ROWS_ABSENT,INSERT_MISSING_OFFICIAL_PARTICIPANT,YES,YES
824807,624413,Pete Alonso,NOT_PROVABLE_ORIGINAL_PAYLOAD_NOT_PRESERVED,YES,YES,EXCLUDED_DETAILED_STATE_NOT_LITERAL_FINAL,NO_GAME_EXCLUDED,NO,NO,NO_EVIDENCE_GAME_INFO_AND_ALL_DOWNSTREAM_ROWS_ABSENT,INSERT_MISSING_OFFICIAL_PARTICIPANT,YES,YES
824807,650559,Bryan De La Cruz,NOT_PROVABLE_ORIGINAL_PAYLOAD_NOT_PRESERVED,YES,YES,EXCLUDED_DETAILED_STATE_NOT_LITERAL_FINAL,NO_GAME_EXCLUDED,NO,NO,NO_EVIDENCE_GAME_INFO_AND_ALL_DOWNSTREAM_ROWS_ABSENT,INSERT_MISSING_OFFICIAL_PARTICIPANT,YES,YES
824807,656941,Kyle Schwarber,NOT_PROVABLE_ORIGINAL_PAYLOAD_NOT_PRESERVED,YES,YES,EXCLUDED_DETAILED_STATE_NOT_LITERAL_FINAL,NO_GAME_EXCLUDED,NO,NO,NO_EVIDENCE_GAME_INFO_AND_ALL_DOWNSTREAM_ROWS_ABSENT,INSERT_MISSING_OFFICIAL_PARTICIPANT,YES,YES
824807,664761,Alec Bohm,NOT_PROVABLE_ORIGINAL_PAYLOAD_NOT_PRESERVED,YES,YES,EXCLUDED_DETAILED_STATE_NOT_LITERAL_FINAL,NO_GAME_EXCLUDED,NO,NO,NO_EVIDENCE_GAME_INFO_AND_ALL_DOWNSTREAM_ROWS_ABSENT,INSERT_MISSING_OFFICIAL_PARTICIPANT,YES,YES
824807,665750,Leody Taveras,NOT_PROVABLE_ORIGINAL_PAYLOAD_NOT_PRESERVED,YES,YES,EXCLUDED_DETAILED_STATE_NOT_LITERAL_FINAL,NO_GAME_EXCLUDED,NO,NO,NO_EVIDENCE_GAME_INFO_AND_ALL_DOWNSTREAM_ROWS_ABSENT,INSERT_MISSING_OFFICIAL_PARTICIPANT,YES,YES
824807,668670,Jake Rogers,NOT_PROVABLE_ORIGINAL_PAYLOAD_NOT_PRESERVED,YES,YES,EXCLUDED_DETAILED_STATE_NOT_LITERAL_FINAL,NO_GAME_EXCLUDED,NO,NO,NO_EVIDENCE_GAME_INFO_AND_ALL_DOWNSTREAM_ROWS_ABSENT,INSERT_MISSING_OFFICIAL_PARTICIPANT,YES,YES
824807,669016,Brandon Marsh,NOT_PROVABLE_ORIGINAL_PAYLOAD_NOT_PRESERVED,YES,YES,EXCLUDED_DETAILED_STATE_NOT_LITERAL_FINAL,NO_GAME_EXCLUDED,NO,NO,NO_EVIDENCE_GAME_INFO_AND_ALL_DOWNSTREAM_ROWS_ABSENT,INSERT_MISSING_OFFICIAL_PARTICIPANT,YES,YES
824807,681082,Bryson Stott,NOT_PROVABLE_ORIGINAL_PAYLOAD_NOT_PRESERVED,YES,YES,EXCLUDED_DETAILED_STATE_NOT_LITERAL_FINAL,NO_GAME_EXCLUDED,NO,NO,NO_EVIDENCE_GAME_INFO_AND_ALL_DOWNSTREAM_ROWS_ABSENT,INSERT_MISSING_OFFICIAL_PARTICIPANT,YES,YES
824807,681297,Colton Cowser,NOT_PROVABLE_ORIGINAL_PAYLOAD_NOT_PRESERVED,YES,YES,EXCLUDED_DETAILED_STATE_NOT_LITERAL_FINAL,NO_GAME_EXCLUDED,NO,NO,NO_EVIDENCE_GAME_INFO_AND_ALL_DOWNSTREAM_ROWS_ABSENT,INSERT_MISSING_OFFICIAL_PARTICIPANT,YES,YES
824807,683002,Gunnar Henderson,NOT_PROVABLE_ORIGINAL_PAYLOAD_NOT_PRESERVED,YES,YES,EXCLUDED_DETAILED_STATE_NOT_LITERAL_FINAL,NO_GAME_EXCLUDED,NO,NO,NO_EVIDENCE_GAME_INFO_AND_ALL_DOWNSTREAM_ROWS_ABSENT,INSERT_MISSING_OFFICIAL_PARTICIPANT,YES,YES
824807,687637,Dylan Beavers,NOT_PROVABLE_ORIGINAL_PAYLOAD_NOT_PRESERVED,YES,YES,EXCLUDED_DETAILED_STATE_NOT_LITERAL_FINAL,NO_GAME_EXCLUDED,NO,NO,NO_EVIDENCE_GAME_INFO_AND_ALL_DOWNSTREAM_ROWS_ABSENT,INSERT_MISSING_OFFICIAL_PARTICIPANT,YES,YES
824807,687952,Christian Encarnacion-Strand,NOT_PROVABLE_ORIGINAL_PAYLOAD_NOT_PRESERVED,YES,YES,EXCLUDED_DETAILED_STATE_NOT_LITERAL_FINAL,NO_GAME_EXCLUDED,NO,NO,NO_EVIDENCE_GAME_INFO_AND_ALL_DOWNSTREAM_ROWS_ABSENT,INSERT_MISSING_OFFICIAL_PARTICIPANT,YES,YES
824807,689147,Orion Kerkering,NOT_PROVABLE_ORIGINAL_PAYLOAD_NOT_PRESERVED,YES,YES,EXCLUDED_DETAILED_STATE_NOT_LITERAL_FINAL,NO_GAME_EXCLUDED,NO,NO,NO_EVIDENCE_GAME_INFO_AND_ALL_DOWNSTREAM_ROWS_ABSENT,INSERT_MISSING_OFFICIAL_PARTICIPANT,YES,YES
824807,702222,Justin Crawford,NOT_PROVABLE_ORIGINAL_PAYLOAD_NOT_PRESERVED,YES,YES,EXCLUDED_DETAILED_STATE_NOT_LITERAL_FINAL,NO_GAME_EXCLUDED,NO,NO,NO_EVIDENCE_GAME_INFO_AND_ALL_DOWNSTREAM_ROWS_ABSENT,INSERT_MISSING_OFFICIAL_PARTICIPANT,YES,YES
824807,702616,Jackson Holliday,NOT_PROVABLE_ORIGINAL_PAYLOAD_NOT_PRESERVED,YES,YES,EXCLUDED_DETAILED_STATE_NOT_LITERAL_FINAL,NO_GAME_EXCLUDED,NO,NO,NO_EVIDENCE_GAME_INFO_AND_ALL_DOWNSTREAM_ROWS_ABSENT,INSERT_MISSING_OFFICIAL_PARTICIPANT,YES,YES
