scope,side,frozen_rows,actionable_rows,wins,losses,no_action,total_stake,net,roi
AUGUST2_ALL_BOARD_INCLUDING_GAME_824807,OVER,120,110,28,82,10,550,-224.720456,-0.408582647
AUGUST2_ALL_BOARD_INCLUDING_GAME_824807,UNDER,120,110,82,28,10,550,92.627438,0.168413524
AUGUST2_ALL_BOARD_EXCLUDING_GAME_824807,OVER,111,101,26,75,10,505,-203.220456,-0.402416744
AUGUST2_ALL_BOARD_EXCLUDING_GAME_824807,UNDER,111,101,75,26,10,505,83.374805,0.165098625
AUGUST2_RETIRED_89_ROW_COHORT_INCLUDING_GAME_824807,OVER,89,87,21,66,2,435,-181.250000,-0.416666667
AUGUST2_RETIRED_89_ROW_COHORT_INCLUDING_GAME_824807,UNDER,89,87,66,21,2,435,76.345545,0.175507001
AUGUST2_RETIRED_89_ROW_COHORT_EXCLUDING_GAME_824807,OVER,80,78,19,59,2,390,-159.750000,-0.409615385
AUGUST2_RETIRED_89_ROW_COHORT_EXCLUDING_GAME_824807,UNDER,80,78,59,19,2,390,67.092912,0.172033109
