variant,line_policy,games,crps,proper_score_rows,brier,log_loss,ece
RAW_MEAN,FROZEN_GOVERNED_TOTAL_LINE,156,2.597321439591524,152,0.25219329512288324,0.6977856793036655,0.03353315435088883
RAW_V1_INTERCEPT,FROZEN_GOVERNED_TOTAL_LINE,156,2.5863766909104946,152,0.25245260730360297,0.6983250310225106,0.031942872580608656
C,FROZEN_GOVERNED_TOTAL_LINE,156,2.605592794617103,152,0.2557882934613361,0.7052458816111965,0.05153644458278212
STRICT_PRIOR_LEAGUE_BASELINE,COMMON_RAW_ALPHA_COMPARATIVE_BASELINE,156,2.6250817866495435,0,nan,nan,nan
TEAM_SHRUNK_BASELINE,COMMON_RAW_ALPHA_COMPARATIVE_BASELINE,156,2.607371967458433,0,nan,nan,nan
