table,variant,metric,frozen_value,recomputed_value,absolute_difference,tolerance,reproduced
point,RAW_MEAN,games,104.0,104.0,0.0,1e-12,True
point,RAW_MEAN,mae,3.5453423739065895,3.5453423739065895,0.0,1e-12,True
point,RAW_MEAN,rmse,4.469027101526925,4.469027101526925,0.0,1e-12,True
point,RAW_MEAN,actual_minus_forecast_bias,0.5294968225079729,0.5294968225079729,0.0,1e-12,True
point,RAW_V1_INTERCEPT,games,104.0,104.0,0.0,1e-12,True
point,RAW_V1_INTERCEPT,mae,3.5984990165508615,3.5984990165508615,0.0,1e-12,True
point,RAW_V1_INTERCEPT,rmse,4.437694054707302,4.437694054707302,0.0,1e-12,True
point,RAW_V1_INTERCEPT,actual_minus_forecast_bias,0.035946822507972195,0.035946822507972195,0.0,1e-12,True
point,C_MEAN,games,104.0,104.0,0.0,1e-12,True
point,C_MEAN,mae,3.673620077356929,3.673620077356929,0.0,1e-12,True
point,C_MEAN,rmse,4.490754308929137,4.490754308929137,0.0,1e-12,True
point,C_MEAN,actual_minus_forecast_bias,-0.16827215538819656,-0.16827215538819656,0.0,1e-12,True
point,C_MEDIAN,games,104.0,104.0,0.0,1e-12,True
point,C_MEDIAN,mae,3.605769230769231,3.605769230769231,0.0,1e-12,True
point,C_MEDIAN,rmse,4.511736830841226,4.511736830841226,0.0,1e-12,True
point,C_MEDIAN,actual_minus_forecast_bias,0.41346153846153844,0.41346153846153844,0.0,1e-12,True
point,STRICT_PRIOR_LEAGUE_BASELINE,games,104.0,104.0,0.0,1e-12,True
point,STRICT_PRIOR_LEAGUE_BASELINE,mae,3.69959285055823,3.69959285055823,0.0,1e-12,True
point,STRICT_PRIOR_LEAGUE_BASELINE,rmse,4.544206782933769,4.544206782933769,0.0,1e-12,True
point,STRICT_PRIOR_LEAGUE_BASELINE,actual_minus_forecast_bias,-0.2100916726416053,-0.2100916726416053,0.0,1e-12,True
point,TEAM_SHRUNK_BASELINE,games,104.0,104.0,0.0,1e-12,True
point,TEAM_SHRUNK_BASELINE,mae,3.6788505488260057,3.6788505488260057,0.0,1e-12,True
point,TEAM_SHRUNK_BASELINE,rmse,4.514067587756435,4.514067587756435,0.0,1e-12,True
point,TEAM_SHRUNK_BASELINE,actual_minus_forecast_bias,-0.21038426919409153,-0.21038426919409153,0.0,1e-12,True
distribution,RAW_MEAN,games,104.0,104.0,0.0,1e-12,True
distribution,RAW_MEAN,crps,2.4780741465066374,2.4780741465066374,0.0,1e-12,True
distribution,RAW_MEAN,proper_score_rows,101.0,101.0,0.0,1e-12,True
distribution,RAW_MEAN,brier,0.247355341133771,0.247355341133771,0.0,1e-12,True
distribution,RAW_MEAN,log_loss,0.6877613184077835,0.6877613184077835,0.0,1e-12,True
distribution,RAW_MEAN,ece,0.04508656736141217,0.04508656736141217,0.0,1e-12,True
distribution,RAW_V1_INTERCEPT,games,104.0,104.0,0.0,1e-12,True
distribution,RAW_V1_INTERCEPT,crps,2.4662461417389334,2.4662461417389334,0.0,1e-12,True
distribution,RAW_V1_INTERCEPT,proper_score_rows,101.0,101.0,0.0,1e-12,True
distribution,RAW_V1_INTERCEPT,brier,0.24699736169041162,0.24699736169041162,0.0,1e-12,True
distribution,RAW_V1_INTERCEPT,log_loss,0.6872413880557438,0.6872413880557438,0.0,1e-12,True
distribution,RAW_V1_INTERCEPT,ece,0.03200668102292778,0.03200668102292778,0.0,1e-12,True
distribution,C,games,104.0,104.0,0.0,1e-12,True
distribution,C,crps,2.501614637037153,2.501614637037153,0.0,1e-12,True
distribution,C,proper_score_rows,101.0,101.0,0.0,1e-12,True
distribution,C,brier,0.25249260226534725,0.25249260226534725,0.0,1e-12,True
distribution,C,log_loss,0.6986094670970873,0.6986094670970873,0.0,1e-12,True
distribution,C,ece,0.05714148894375809,0.05714148894375809,0.0,1e-12,True
distribution,STRICT_PRIOR_LEAGUE_BASELINE,games,104.0,104.0,0.0,1e-12,True
distribution,STRICT_PRIOR_LEAGUE_BASELINE,crps,2.5373025606184423,2.5373025606184423,0.0,1e-12,True
distribution,STRICT_PRIOR_LEAGUE_BASELINE,proper_score_rows,0.0,0.0,0.0,1e-12,True
distribution,STRICT_PRIOR_LEAGUE_BASELINE,brier,nan,nan,nan,1e-12,True
distribution,STRICT_PRIOR_LEAGUE_BASELINE,log_loss,nan,nan,nan,1e-12,True
distribution,STRICT_PRIOR_LEAGUE_BASELINE,ece,nan,nan,nan,1e-12,True
distribution,TEAM_SHRUNK_BASELINE,games,104.0,104.0,0.0,1e-12,True
distribution,TEAM_SHRUNK_BASELINE,crps,2.516099675663952,2.516099675663952,0.0,1e-12,True
distribution,TEAM_SHRUNK_BASELINE,proper_score_rows,0.0,0.0,0.0,1e-12,True
distribution,TEAM_SHRUNK_BASELINE,brier,nan,nan,nan,1e-12,True
distribution,TEAM_SHRUNK_BASELINE,log_loss,nan,nan,nan,1e-12,True
distribution,TEAM_SHRUNK_BASELINE,ece,nan,nan,nan,1e-12,True
