scope,start_date,end_date,games,raw_mae,c_mean_mae,c_median_mae,raw_v1_intercept_mae,c_mean_minus_raw_mae,c_median_minus_raw_mae,raw_rmse,c_rmse,raw_v1_intercept_rmse,c_minus_raw_rmse,raw_bias,c_bias,c_median_bias,raw_v1_intercept_bias,c_minus_raw_absolute_bias,raw_crps,c_crps,raw_v1_intercept_crps,c_minus_raw_crps,raw_brier,c_brier,raw_v1_intercept_brier,c_minus_raw_brier,raw_log_loss,c_log_loss,raw_v1_intercept_log_loss,c_minus_raw_log_loss,raw_ece,c_ece,raw_v1_intercept_ece,cluster_number,through_date
THROUGH_2026-08-17,2026-08-17,2026-08-17,11,4.305699441351029,4.011951164582302,4.363636363636363,4.0813585322601185,-0.29374827676872695,0.05793692228533409,4.439594853343444,4.221183089035704,4.236485508840363,-0.21841176430774034,2.0319973637110844,1.2889367179706472,2.0,1.5384473637110836,-0.7430606457404372,2.7931469366027377,2.615832955237452,2.639387251506747,-0.17731398136528576,0.28618132496558296,0.25040391023515735,0.25874536614238375,-0.035777414730425616,0.76710922388609,0.694023412133296,0.7108913251675631,-0.07308581175279405,0.31105954643741657,0.23816328207623372,0.26198194289319054,1,2026-08-17
THROUGH_2026-08-18,2026-08-17,2026-08-18,26,4.034794996100947,4.021333969620509,4.038461538461538,3.996829611485562,-0.013461026480438676,0.003666542360591052,4.77259723149348,4.732047856044798,4.69244320373943,-0.040549375448681424,1.0153507407951214,0.3272627321759901,0.9615384615384616,0.5218007407951205,-0.6880880086191313,2.7182628871296917,2.6943281291193006,2.668003674830399,-0.023934758010391022,0.24781667920786618,0.24064838493954102,0.23977472177773596,-0.007168294268325159,0.6891741143804015,0.6742644256596945,0.6726713154951585,-0.014909688720707082,0.14043517534520228,0.11573455436944007,0.10165568239681572,2,2026-08-18
THROUGH_2026-08-19,2026-08-17,2026-08-19,41,3.7181011102828285,3.7829214510699867,3.7560975609756095,3.730138915160878,0.06482034078715815,0.037996450692781014,4.4512154543750615,4.475131817028156,4.404472741755118,0.023916362653094936,0.6661234838451404,-0.019070040451762384,0.5853658536585366,0.17257348384513976,-0.647053443393378,2.5311056781969317,2.543628215940819,2.501062909703486,0.01252253774388734,0.24016760652872873,0.24142107075863986,0.23747917942786909,0.0012534642299111276,0.6734419478404079,0.6758547288321284,0.6679818337856595,0.0024127809917204868,0.07611304958265369,0.083792347646885,0.08603068626291158,3,2026-08-19
THROUGH_2026-08-20,2026-08-17,2026-08-20,50,3.9038939031612654,3.99696715278411,3.94,3.9405556845177654,0.09307324962284458,0.03610609683873456,4.858096675908779,4.855390498134254,4.804230716800113,-0.002706177774525642,0.774047345486991,0.08258712142121205,0.7,0.2804973454869903,-0.6914602240657789,2.7300037696158355,2.736101435688072,2.700777106986613,0.006097666072236496,0.2436866635093529,0.24666129754539207,0.24248642955023444,0.0029746340360391754,0.6805877371662977,0.6863855504180771,0.6780316153368658,0.005797813251779416,0.06560399625122215,0.04436664006565363,0.02354674425641053,4,2026-08-20
THROUGH_2026-08-21,2026-08-17,2026-08-21,65,3.557832424850188,3.664327543708764,3.6,3.5940457755249016,0.1064951188585761,0.042167575149812286,4.492156871225135,4.529792540396939,4.467806551968238,0.037635669171804054,0.46780424717341684,-0.2216040947763616,0.36923076923076925,-0.025745752826583784,-0.24620015239705526,2.500508757648385,2.5289572216768343,2.488985347613817,0.02844846402844947,0.24841671772661145,0.25208713200964805,0.24658398229206824,0.003670414283036605,0.6901772413014349,0.6980540915363833,0.6866938783275269,0.00787685023494844,0.06377388363087022,0.05538758312227808,0.035476339914889535,5,2026-08-21
THROUGH_2026-08-22,2026-08-17,2026-08-22,80,3.5345658718152437,3.6660715352493183,3.5875,3.594836094238448,0.13150566343407455,0.05293412818475618,4.3975055900564985,4.442685493990011,4.382130513883853,0.04517990393351212,0.38352667041453997,-0.31971455007704386,0.2625,-0.11002332958546068,-0.06381212033749611,2.448119554578505,2.4830090789201265,2.4439617464690557,0.0348895243416214,0.24482408897448318,0.25020628709957826,0.24491471304687648,0.005382198125095078,0.6827434044274697,0.6939660728409245,0.6830620300483274,0.011222668413454762,0.053424351724325574,0.04363461236600152,0.023898115210528925,6,2026-08-22
THROUGH_2026-08-23,2026-08-17,2026-08-23,94,3.530076925374059,3.6504786141112233,3.5851063829787235,3.578387466171976,0.12040168873716439,0.0550294576046646,4.511451004157802,4.532625221740935,4.478832604664032,0.021174217583133093,0.5438560073091342,-0.1656406278240998,0.4148936170212766,0.050306007309133496,-0.37821537948503436,2.4958190543292327,2.5183647859237195,2.482843516312905,0.022545731594486806,0.24478195799858932,0.24816895650418094,0.24312953401926055,0.0033869985055916263,0.6825727313404971,0.6898066973580731,0.6794087537496005,0.007233966017575977,0.04861087194871127,0.05030463119652745,0.030387337080828927,7,2026-08-23
THROUGH_2026-08-24,2026-08-17,2026-08-24,104,3.5453423739065895,3.673620077356929,3.605769230769231,3.5984990165508615,0.1282777034503395,0.060426856862641376,4.469027101526925,4.490754308929137,4.437694054707302,0.021727207402212123,0.5294968225079729,-0.16827215538819656,0.41346153846153844,0.035946822507972195,-0.36122466711977635,2.4780741465066374,2.501614637037153,2.4662461417389334,0.023540490530515434,0.247355341133771,0.25249260226534725,0.24699736169041162,0.005137261131576254,0.6877613184077835,0.6986094670970873,0.6872413880557438,0.010848148689303727,0.04508656736141217,0.05714148894375809,0.03200668102292778,8,2026-08-24
THROUGH_2026-08-25,2026-08-17,2026-08-25,119,3.6130578282904646,3.7379479218020077,3.6554621848739495,3.6754597360291275,0.12489009351154312,0.04240435658348485,4.528329964249552,4.541561519083413,4.502299032750361,0.013231554833861736,0.48492279132357785,-0.21162784740751772,0.36134453781512604,-0.008627208676422944,-0.27329494391606013,2.5215908184118025,2.5403036069020057,2.512916039471429,0.01871278849020319,0.24515142869350637,0.2508041927894862,0.24604220330370835,0.005652764095979812,0.6833374364154277,0.6951141225012095,0.6853060198579395,0.011776686085781862,0.04215982221543289,0.053409983843389956,0.034322167425701836,9,2026-08-25
THROUGH_2026-08-26,2026-08-17,2026-08-26,134,3.715459155187393,3.8185626568440028,3.7611940298507465,3.7671925657911314,0.10310350165660997,0.045734874663353686,4.611348773059269,4.618056713168236,4.584505960641281,0.0067079401089671364,0.49684348712368914,-0.20720255762047218,0.3880597014925373,0.0032934871236884513,-0.28964092950321696,2.5875403002708968,2.5985934753458686,2.5762602360852846,0.011053175074971833,0.2502607816347618,0.2538778922805213,0.25024277807091383,0.003617110645759536,0.6937601089330904,0.7013323886934892,0.6937863150777005,0.00757227976039887,0.03630726584014262,0.04491313494883338,0.026386802683529824,10,2026-08-26
