separation_band,n,nonpush_n,c_brier,c_log_loss,market_brier,market_log_loss,mean_actual_total,c_absolute_error,market_line_absolute_error,c_only_correct,market_only_correct
<0.5,50,49,0.2534341722009223,0.7000884894491858,0.25542627211435603,0.704006044509005,8.9,3.3609375596589786,3.31,17,6
0.5-0.99,64,60,0.24922394831599767,0.6914638407031227,0.24850842602263395,0.6901601128702912,8.84375,3.8352047657431396,3.765625,13,14
1.0-1.49,21,19,0.27048495461923955,0.7346005594740876,0.24643624998675148,0.6860137932928136,8.0,4.4687387003008965,4.095238095238095,2,6
1.5-1.99,14,14,0.2426820595545974,0.678228604409908,0.24486943385685703,0.6828746952181591,9.285714285714286,3.8441097591743474,4.071428571428571,2,2
>=2.0,6,6,0.33210069416015675,0.8670377576129203,0.24890124212515963,0.6909408905532483,5.0,4.411074109840167,3.0,0,1
