scope,start_date,end_date,games,raw_mae,c_mean_mae,c_median_mae,raw_v1_intercept_mae,c_mean_minus_raw_mae,c_median_minus_raw_mae,raw_rmse,c_rmse,raw_v1_intercept_rmse,c_minus_raw_rmse,raw_bias,c_bias,c_median_bias,raw_v1_intercept_bias,c_minus_raw_absolute_bias,raw_crps,c_crps,raw_v1_intercept_crps,c_minus_raw_crps,raw_brier,c_brier,raw_v1_intercept_brier,c_minus_raw_brier,raw_log_loss,c_log_loss,raw_v1_intercept_log_loss,c_minus_raw_log_loss,raw_ece,c_ece,raw_v1_intercept_ece,regime,watches_A_to_I
2026-08-17,2026-08-17,2026-08-17,11,4.305699441351029,4.011951164582302,4.363636363636363,4.0813585322601185,-0.29374827676872695,0.05793692228533409,4.439594853343444,4.221183089035704,4.236485508840363,-0.21841176430774034,2.0319973637110844,1.2889367179706472,2.0,1.5384473637110836,-0.7430606457404372,2.7931469366027377,2.615832955237452,2.639387251506747,-0.17731398136528576,0.28618132496558296,0.25040391023515735,0.25874536614238375,-0.035777414730425616,0.76710922388609,0.694023412133296,0.7108913251675631,-0.07308581175279405,0.31105954643741657,0.23816328207623372,0.26198194289319054,NORMAL_COMPETITIVE_REGIME,PASS|PASS|WATCH|WATCH|WATCH|PASS|PASS|WATCH|PASS
2026-08-18,2026-08-18,2026-08-18,15,3.836131736250887,4.028214693315194,3.8,3.934841736250888,0.192082957064307,-0.03613173625088706,5.002731024852793,5.07409726832653,5.000457976329575,0.07136624347373655,0.26980988399008177,-0.3779648574067585,0.2,-0.22374011600991886,0.10815497341667674,2.663347917516123,2.751891256632656,2.6889890519344095,0.08854333911653312,0.21968260565220715,0.23349433305608905,0.22586291591032753,0.013811727403881896,0.6320217007428968,0.65977450224572,0.6446433084020615,0.02775280150282322,0.22547199439744742,0.19041145314227637,0.18034195319038943,NORMAL_COMPETITIVE_REGIME,PASS|PASS|WATCH|WATCH|WATCH|PASS|PASS|WATCH|PASS
2026-08-19,2026-08-19,2026-08-19,15,3.169165041531423,3.369673085582415,3.2666666666666666,3.2678750415314233,0.20050804405099187,0.09750162513524341,3.830807462197519,3.9908211039963084,3.8546939499705064,0.1600136417987894,0.06079623846517338,-0.6193801796731999,-0.06666666666666667,-0.4327537615348271,0.5585839412080266,2.2066998493801484,2.2824150330981188,2.2116989168168373,0.07571518371797037,0.22690921388489058,0.24276039284507772,0.23350023935476646,0.015851178960187146,0.6461728591710855,0.678611254331014,0.659853398822528,0.032438395159928524,0.041229934915619174,0.10698839377048466,0.08927775054954937,NORMAL_COMPETITIVE_REGIME,PASS|PASS|WATCH|WATCH|WATCH|PASS|PASS|WATCH|PASS
2026-08-20,2026-08-20,2026-08-20,9,4.750283292940815,4.972064238370674,4.777777777777778,4.899120967143587,0.2217809454298587,0.027494484836962485,6.391914039122953,6.303807037530157,6.312747716282494,-0.08810700159279605,1.2657004929665325,0.5456919699536509,1.2222222222222223,0.7721504929665317,-0.7200085230128817,3.636095074968617,3.612923881203334,3.610586227943078,-0.023171193765282982,0.26172183053505177,0.2735174598274972,0.26814858642735734,0.011795629292445431,0.7172099074614824,0.7403560110460647,0.7295367457867982,0.023146103584582356,0.0517787039820229,0.1576901112881568,0.296683458526908,NORMAL_COMPETITIVE_REGIME,PASS|PASS|PASS|PASS|WATCH|PASS|PASS|PASS|PASS
2026-08-21,2026-08-21,2026-08-21,15,2.4042941638132604,2.5555288467909407,2.466666666666667,2.4390127455486876,0.15123468297768028,0.06237250285340634,2.962100634081505,3.2145034387776996,3.0924915636142982,0.2524028046961946,-0.5530060805384973,-1.2355748154349402,-0.7333333333333333,-1.0465560805384977,0.6825687348964429,1.7355253844235514,1.838476508306042,1.7830128163711636,0.1029511238824905,0.263868228169656,0.26981152459288416,0.25996932124872507,0.0059432964232281615,0.72150295480955,0.7361713258561835,0.71499060409702,0.014668371046633544,0.1917235326556171,0.17084782743950616,0.15509025129237164,NORMAL_COMPETITIVE_REGIME,PASS|PASS|WATCH|PASS|WATCH|PASS|PASS|WATCH|PASS
2026-08-22,2026-08-22,2026-08-22,15,3.4337441419971535,3.67362883192506,3.533333333333333,3.598260808663821,0.23988468992790635,0.09958919133617972,3.961301680391305,4.043595941266608,3.9896635378545096,0.08229426087530278,0.01832383779274013,-0.7448598563800005,-0.2,-0.4752261622072603,0.7265360185872604,2.2210996746090244,2.283900460307726,2.2488594748417583,0.06280078569870184,0.22949553963206942,0.24218134881661413,0.23779249760072546,0.012685809184544705,0.6510257004318852,0.6765238597403003,0.6675661440570767,0.025498159308415036,0.17514001831529846,0.1401186257970023,0.14782721232589807,NORMAL_COMPETITIVE_REGIME,PASS|PASS|WATCH|WATCH|WATCH|PASS|PASS|WATCH|PASS
2026-08-23,2026-08-23,2026-08-23,14,3.5044258028529955,3.5613762076078173,3.5714285714285716,3.484395305792135,0.056950404754821715,0.06700276857557608,5.11409426520679,5.015722706727127,4.995634335523035,-0.09837155847966272,1.4600236467068153,0.7147817850498662,1.2857142857142858,0.9664736467068143,-0.7452418616569491,2.7683876243333905,2.7203973973728215,2.7050250582777564,-0.04799022696056898,0.24450459574062136,0.2347565300844819,0.2313771054207884,-0.009748065656139449,0.6814491335179275,0.6624241420959674,0.6553580181163144,-0.019024991421960014,0.23739985244928596,0.12418736990103418,0.17494145084365736,NORMAL_COMPETITIVE_REGIME,PASS|PASS|WATCH|WATCH|WATCH|PASS|PASS|WATCH|PASS
2026-08-24,2026-08-24,2026-08-24,10,3.6888375901123824,3.8911498318665627,3.8,3.787547590112383,0.20231224175418028,0.11116240988761739,4.04857087181141,4.076198372228584,4.030519387804022,0.027627500417173323,0.39452048537705664,-0.19300851449070536,0.4,-0.09902951462294407,-0.20151197088635128,2.3112720129742375,2.3441632375034263,2.310230820743605,0.0328912245291888,0.27077312766392414,0.29183777869196115,0.2821945934978862,0.021064651028037007,0.7349774607200916,0.778714671722117,0.7585183602416471,0.04373721100202532,0.24989084859379357,0.1782437012501028,0.25735216674650413,NORMAL_COMPETITIVE_REGIME,PASS|PASS|WATCH|WATCH|WATCH|PASS|PASS|PASS|PASS
2026-08-25,2026-08-25,2026-08-25,15,4.082551645351997,4.183954309954553,4.0,4.209054057745102,0.10140266460255543,-0.08255164535199722,4.9198764428548865,4.879296529852544,4.926983706387269,-0.040579913002342316,0.17587617511177095,-0.5122273120748109,0.0,-0.3176738248882295,0.3363511369630399,2.82330641028762,2.808547131298318,2.8364939970833984,-0.014759278989302071,0.23031175159572406,0.2394355689853545,0.2396108034999065,0.009123817389630445,0.653549964333563,0.6715788022222989,0.6722745406593912,0.018028837888735882,0.2596910837700843,0.29766447548816155,0.12681617523321917,NORMAL_COMPETITIVE_REGIME,PASS|PASS|WATCH|WATCH|WATCH|PASS|PASS|PASS|PASS
2026-08-26,2026-08-26,2026-08-26,15,4.527843015236362,4.4581062215105,4.6,4.494939681903029,-0.06973679372586261,0.07215698476363741,5.223416036536749,5.185081569570079,5.190749618096611,-0.038334466966669645,0.5914143404712395,-0.17209525864324451,0.6,0.09786434047123897,-0.41931908182799504,3.1107395230197072,3.0610264316671802,3.078790862555204,-0.049713091352526995,0.28977311104713716,0.2776478350111929,0.28272722293730296,-0.012125276035944266,0.7743621097363493,0.7494203139137849,0.7593672647771855,-0.024941795822564394,0.2390449609440651,0.20965673144606056,0.2197463299430497,NORMAL_COMPETITIVE_REGIME,PASS|PASS|PASS|WATCH|WATCH|PASS|PASS|PASS|PASS
