population,month,predictions,unresolved,tier_a,tier_b,strict_pregame,resolved,brier,log_loss,ece,accuracy_at_50,mean_probability,observed_rate,probability_sd,probability_min,probability_max
RECOVERABLE_SEASON_EVIDENCE,2026-03,1126,43,0,1126,0,1083,0.27216467945172756,0.7398889097558358,0.1472205087719298,0.46537396121883656,0.43331479501385045,0.5614035087719298,0.09561483119269647,0.122785,0.728683
RECOVERABLE_SEASON_EVIDENCE,2026-04,4131,173,0,4131,0,3958,0.25093958100816294,0.6959536316052601,0.08887522814552803,0.5452248610409297,0.5162266379484589,0.5884284992420414,0.11921569984946963,0.126669,0.875777
RECOVERABLE_SEASON_EVIDENCE,2026-05,5286,462,0,5286,3514,4824,0.24563195120805079,0.685151833890198,0.04813971040630185,0.5785655058043118,0.5707091938225539,0.568407960199005,0.10149549474565547,0.272112,0.884085
RECOVERABLE_SEASON_EVIDENCE,2026-06,6627,657,0,6627,6627,5970,0.2433765835577995,0.6806977941579847,0.034386288944723606,0.5855946398659967,0.6111064514237856,0.5839195979899497,0.0825103890302347,0.356159,0.867983
RECOVERABLE_SEASON_EVIDENCE,2026-07,6722,601,0,6722,6722,6121,0.24328498367581944,0.6800281795232441,0.0349420681261232,0.5838915209933018,0.5868897917007025,0.5770298970756412,0.07965963426535357,0.3599489999999999,0.82182
RECOVERABLE_SEASON_EVIDENCE,2026-08,3275,264,2682,593,3275,3011,0.24381066474564808,0.6806975983808862,0.030220800323765704,0.5692460976419794,0.5586567912070611,0.5742278312852873,0.07470622449019043,0.3674509999999999,0.786483
STRICT_PREGAME_SEASON_EVIDENCE,2026-05,3514,297,0,3514,3514,3217,0.24547886531435437,0.6850004322783134,0.04217811190550204,0.5800435188063413,0.5787792085794218,0.5579732670189618,0.10223133980550218,0.2796149999999999,0.884085
STRICT_PREGAME_SEASON_EVIDENCE,2026-06,6627,657,0,6627,6627,5970,0.2433765835577995,0.6806977941579847,0.034386288944723606,0.5855946398659967,0.6111064514237856,0.5839195979899497,0.0825103890302347,0.356159,0.867983
STRICT_PREGAME_SEASON_EVIDENCE,2026-07,6722,601,0,6722,6722,6121,0.24328498367581944,0.6800281795232441,0.0349420681261232,0.5838915209933018,0.5868897917007025,0.5770298970756412,0.07965963426535357,0.3599489999999999,0.82182
STRICT_PREGAME_SEASON_EVIDENCE,2026-08,3275,264,2682,593,3275,3011,0.24381066474564808,0.6806975983808862,0.030220800323765704,0.5692460976419794,0.5586567912070611,0.5742278312852873,0.07470622449019043,0.3674509999999999,0.786483
