population,predictions,unresolved,resolved,brier,log_loss,ece,accuracy_at_50,mean_probability,observed_rate,probability_sd,probability_min,probability_max
RECOVERABLE_SEASON_EVIDENCE,27167,2200,24967,0.24628995244014368,0.6863802377760764,0.04899460762631518,0.570232707173469,0.5682853220380687,0.5778026995634237,0.10125295290756814,0.122785,0.884085
STRICT_PREGAME_SEASON_EVIDENCE,20138,1819,18319,0.24378650636962593,0.6812296073666209,0.03383911303052623,0.5813636115508488,0.58871697376082,0.5754680932365304,0.08615084974884293,0.2796149999999999,0.884085
CURRENT_MODEL_PROSPECTIVE_EVIDENCE,2682,199,2483,0.24476007006018055,0.6826697435205488,0.03198179999016754,0.5666532420459122,0.5549920017416274,0.5739025372533226,0.0723662632336114,0.3738101757804691,0.759531869021303
