separation_band,rows,proppadia_brier,betonline_brier,model_closer,market_closer,ties,historical_large_separation_behavior
<2.5pp,2640,0.24254703315282183,0.24234703328710028,1314,1326,1,NOT_APPLICABLE
2.5-4.99pp,2356,0.24151435718236308,0.24013027338643544,1163,1193,0,NOT_APPLICABLE
5.0-7.49pp,1989,0.24366615754090204,0.23999763035872668,967,1022,0,NOT_APPLICABLE
7.5-9.99pp,1358,0.24273295528156957,0.24382122688976177,715,643,0,NOT_APPLICABLE
10.0-14.99pp,1412,0.25013620776055084,0.24259263053215674,686,726,0,NOT_APPLICABLE
>=15pp,564,0.2606919725551578,0.2543216563076654,282,282,0,MIXED
