population,probability_bin,rows,mean_probability,observed_rate,calibration_gap,brier
STRICT_PREGAME_SEASON_EVIDENCE,<35%,28,0.3278837499999999,0.39285714285714285,-0.06497339285714293,0.24408052070832142
STRICT_PREGAME_SEASON_EVIDENCE,35-39.99%,243,0.3826911988140972,0.4444444444444444,-0.06175324563034723,0.2504736589333462
STRICT_PREGAME_SEASON_EVIDENCE,40-44.99%,721,0.4304778212192336,0.4549237170596394,-0.024445895840405796,0.24865203882831374
STRICT_PREGAME_SEASON_EVIDENCE,45-49.99%,1974,0.47782960896399546,0.49746707193515705,-0.01963746297116159,0.24999835267175172
STRICT_PREGAME_SEASON_EVIDENCE,50-54.99%,3117,0.5264244134645432,0.5482836060314404,-0.02185919256689728,0.24828258146965382
STRICT_PREGAME_SEASON_EVIDENCE,55-59.99%,3716,0.5744763199903994,0.5871905274488698,-0.012714207458470406,0.24252492778205959
STRICT_PREGAME_SEASON_EVIDENCE,60-64.99%,3954,0.6239912135170184,0.5998988366211432,0.02409237689587518,0.24060030233950833
STRICT_PREGAME_SEASON_EVIDENCE,65-69.99%,2778,0.6730098733079678,0.6184305255579554,0.054579347750012386,0.23917134071738633
STRICT_PREGAME_SEASON_EVIDENCE,70-74.99%,1281,0.7207599693992889,0.6315378610460578,0.08922210835323108,0.24026960018366755
STRICT_PREGAME_SEASON_EVIDENCE,>=75%,507,0.7753969819901801,0.6370808678500987,0.1383161141400815,0.2500875984963558
CURRENT_MODEL_PROSPECTIVE_EVIDENCE,<35%,0,,,,
CURRENT_MODEL_PROSPECTIVE_EVIDENCE,35-39.99%,54,0.3903617835523265,0.5740740740740741,-0.1837122905217476,0.27940962014066933
CURRENT_MODEL_PROSPECTIVE_EVIDENCE,40-44.99%,156,0.4331249749940223,0.4807692307692308,-0.04764425577520848,0.25093600784112313
CURRENT_MODEL_PROSPECTIVE_EVIDENCE,45-49.99%,380,0.47517178972349233,0.5210526315789473,-0.04588084185545499,0.25154655712441026
CURRENT_MODEL_PROSPECTIVE_EVIDENCE,50-54.99%,521,0.525278738520117,0.5758157389635317,-0.05053700044341469,0.24636085917618222
CURRENT_MODEL_PROSPECTIVE_EVIDENCE,55-59.99%,507,0.5676812131840714,0.5700197238658777,-0.0023385106818063495,0.24524231913564387
CURRENT_MODEL_PROSPECTIVE_EVIDENCE,60-64.99%,667,0.6197312192598063,0.6206896551724138,-0.0009584359126074693,0.2344084451044121
CURRENT_MODEL_PROSPECTIVE_EVIDENCE,65-69.99%,171,0.6713093219271018,0.5906432748538012,0.0806660470733006,0.24800848086495497
CURRENT_MODEL_PROSPECTIVE_EVIDENCE,70-74.99%,26,0.7090031077111176,0.6153846153846154,0.09361849232650221,0.24645592593123686
CURRENT_MODEL_PROSPECTIVE_EVIDENCE,>=75%,1,0.759531869021303,1.0,-0.24046813097869701,0.05782492201638778
