comparison_population,predictions,unresolved,resolved,brier,log_loss,ece,accuracy_at_50,mean_probability,observed_rate,probability_sd,probability_min,probability_max,august_continuity
AUG3_AUG13,2682,199,2483,0.24476007006018055,0.6826697435205488,0.03198179999016754,0.5666532420459122,0.5549920017416274,0.5739025372533226,0.0723662632336114,0.3738101757804691,0.759531869021303,AUGUST_CONTINUITY_CONSISTENT
PRIOR_WHOLE_RECOVERABLE,24485,2001,22484,0.24645890360316844,0.6867900028195062,0.050951656689201236,0.5706280021348514,0.5697533577210461,0.5782334104251913,0.10384771845473222,0.122785,0.884085,AUGUST_CONTINUITY_CONSISTENT
PRIOR_STRICT_PREGAME,17456,1620,15836,0.24363385679627117,0.6810038017294523,0.03424143672644611,0.5836701187168477,0.594004868779995,0.575713564031321,0.08693839098101369,0.2796149999999999,0.884085,AUGUST_CONTINUITY_CONSISTENT
JULY,6722,601,6121,0.24328498367581944,0.6800281795232441,0.0349420681261232,0.5838915209933018,0.5868897917007025,0.5770298970756412,0.07965963426535357,0.3599489999999999,0.82182,AUGUST_CONTINUITY_CONSISTENT
SAME_MODEL_GENERATION_PRIOR,5352,487,4865,0.24355501197127521,0.6804286574135078,0.034254463309352494,0.578622816032888,0.5793625101747174,0.5697841726618705,0.08090564234590722,0.3599489999999999,0.82182,AUGUST_CONTINUITY_CONSISTENT
