side_identity,pitcher_identity,target_game_identity,required_field_count,admitted_field_count,identity_check,temporal_check,version_check,grain_check,certification_result,fail_closed_reason,source_admission_result
2026-07-01|823767|CIN|MIL,671096.0,823767,5,12,PASS_EXPECTED_STARTER_CONFIRMED_ACTUAL_STARTER_CONVENTIONAL,PASS_STRICT_PRIOR,PASS,PASS_SIDE_TO_ROW_DETERMINISTIC,STARTER_LEDGER_REPAIR_SIDE_CERTIFIED,,PASS_ALL_REQUIRED_FIELDS_ADMITTED
2026-07-03|824904|ATL|NYM,656550.0,824904,5,12,PASS_EXPECTED_STARTER_CONFIRMED_ACTUAL_STARTER_CONVENTIONAL,PASS_STRICT_PRIOR,PASS,PASS_SIDE_TO_ROW_DETERMINISTIC,STARTER_LEDGER_REPAIR_SIDE_CERTIFIED,,PASS_ALL_REQUIRED_FIELDS_ADMITTED
2026-07-06|822958|NYY|TB,693645.0,822958,5,12,PASS_EXPECTED_STARTER_CONFIRMED_ACTUAL_STARTER_CONVENTIONAL,PASS_STRICT_PRIOR,PASS,PASS_SIDE_TO_ROW_DETERMINISTIC,STARTER_LEDGER_REPAIR_SIDE_CERTIFIED,,PASS_ALL_REQUIRED_FIELDS_ADMITTED
