iteration,status,observed_signature,expected_signature
1,PASS,"{""admitted_fields"": 36, ""child_state"": {""fully_qualified_hits"": 1523, ""fully_qualified_hits_0_5"": 1383, ""fully_qualified_hits_1_5"": 140, ""primary_bundle_blocked"": 36, ""primary_multiple_downstream_blocked"": 3, ""primary_outcome_blocked"": 363, ""primary_pa_blocked"": 36, ""primary_starter_blocked"": 85, ""qualified_but_not_matrix_hits_1_5_queue"": 41}, ""governed_rows"": 26, ""governed_sides"": 3, ""movement_counts"": {""STARTER_LEDGER_REPAIR_TO_FULLY_QUALIFIED"": 23, ""STARTER_LEDGER_REPAIR_TO_PA_BLOCKED"": 3}}","{""admitted_fields"": 36, ""child_state"": {""fully_qualified_hits"": 1523, ""fully_qualified_hits_0_5"": 1383, ""fully_qualified_hits_1_5"": 140, ""primary_bundle_blocked"": 36, ""primary_multiple_downstream_blocked"": 3, ""primary_outcome_blocked"": 363, ""primary_pa_blocked"": 36, ""primary_starter_blocked"": 85, ""qualified_but_not_matrix_hits_1_5_queue"": 41}, ""governed_rows"": 26, ""governed_sides"": 3, ""movement_counts"": {""STARTER_LEDGER_REPAIR_TO_FULLY_QUALIFIED"": 23, ""STARTER_LEDGER_REPAIR_TO_PA_BLOCKED"": 3}}"
2,PASS,"{""admitted_fields"": 36, ""child_state"": {""fully_qualified_hits"": 1523, ""fully_qualified_hits_0_5"": 1383, ""fully_qualified_hits_1_5"": 140, ""primary_bundle_blocked"": 36, ""primary_multiple_downstream_blocked"": 3, ""primary_outcome_blocked"": 363, ""primary_pa_blocked"": 36, ""primary_starter_blocked"": 85, ""qualified_but_not_matrix_hits_1_5_queue"": 41}, ""governed_rows"": 26, ""governed_sides"": 3, ""movement_counts"": {""STARTER_LEDGER_REPAIR_TO_FULLY_QUALIFIED"": 23, ""STARTER_LEDGER_REPAIR_TO_PA_BLOCKED"": 3}}","{""admitted_fields"": 36, ""child_state"": {""fully_qualified_hits"": 1523, ""fully_qualified_hits_0_5"": 1383, ""fully_qualified_hits_1_5"": 140, ""primary_bundle_blocked"": 36, ""primary_multiple_downstream_blocked"": 3, ""primary_outcome_blocked"": 363, ""primary_pa_blocked"": 36, ""primary_starter_blocked"": 85, ""qualified_but_not_matrix_hits_1_5_queue"": 41}, ""governed_rows"": 26, ""governed_sides"": 3, ""movement_counts"": {""STARTER_LEDGER_REPAIR_TO_FULLY_QUALIFIED"": 23, ""STARTER_LEDGER_REPAIR_TO_PA_BLOCKED"": 3}}"
3,PASS,"{""admitted_fields"": 36, ""child_state"": {""fully_qualified_hits"": 1523, ""fully_qualified_hits_0_5"": 1383, ""fully_qualified_hits_1_5"": 140, ""primary_bundle_blocked"": 36, ""primary_multiple_downstream_blocked"": 3, ""primary_outcome_blocked"": 363, ""primary_pa_blocked"": 36, ""primary_starter_blocked"": 85, ""qualified_but_not_matrix_hits_1_5_queue"": 41}, ""governed_rows"": 26, ""governed_sides"": 3, ""movement_counts"": {""STARTER_LEDGER_REPAIR_TO_FULLY_QUALIFIED"": 23, ""STARTER_LEDGER_REPAIR_TO_PA_BLOCKED"": 3}}","{""admitted_fields"": 36, ""child_state"": {""fully_qualified_hits"": 1523, ""fully_qualified_hits_0_5"": 1383, ""fully_qualified_hits_1_5"": 140, ""primary_bundle_blocked"": 36, ""primary_multiple_downstream_blocked"": 3, ""primary_outcome_blocked"": 363, ""primary_pa_blocked"": 36, ""primary_starter_blocked"": 85, ""qualified_but_not_matrix_hits_1_5_queue"": 41}, ""governed_rows"": 26, ""governed_sides"": 3, ""movement_counts"": {""STARTER_LEDGER_REPAIR_TO_FULLY_QUALIFIED"": 23, ""STARTER_LEDGER_REPAIR_TO_PA_BLOCKED"": 3}}"
4,PASS,"{""admitted_fields"": 36, ""child_state"": {""fully_qualified_hits"": 1523, ""fully_qualified_hits_0_5"": 1383, ""fully_qualified_hits_1_5"": 140, ""primary_bundle_blocked"": 36, ""primary_multiple_downstream_blocked"": 3, ""primary_outcome_blocked"": 363, ""primary_pa_blocked"": 36, ""primary_starter_blocked"": 85, ""qualified_but_not_matrix_hits_1_5_queue"": 41}, ""governed_rows"": 26, ""governed_sides"": 3, ""movement_counts"": {""STARTER_LEDGER_REPAIR_TO_FULLY_QUALIFIED"": 23, ""STARTER_LEDGER_REPAIR_TO_PA_BLOCKED"": 3}}","{""admitted_fields"": 36, ""child_state"": {""fully_qualified_hits"": 1523, ""fully_qualified_hits_0_5"": 1383, ""fully_qualified_hits_1_5"": 140, ""primary_bundle_blocked"": 36, ""primary_multiple_downstream_blocked"": 3, ""primary_outcome_blocked"": 363, ""primary_pa_blocked"": 36, ""primary_starter_blocked"": 85, ""qualified_but_not_matrix_hits_1_5_queue"": 41}, ""governed_rows"": 26, ""governed_sides"": 3, ""movement_counts"": {""STARTER_LEDGER_REPAIR_TO_FULLY_QUALIFIED"": 23, ""STARTER_LEDGER_REPAIR_TO_PA_BLOCKED"": 3}}"
5,PASS,"{""admitted_fields"": 36, ""child_state"": {""fully_qualified_hits"": 1523, ""fully_qualified_hits_0_5"": 1383, ""fully_qualified_hits_1_5"": 140, ""primary_bundle_blocked"": 36, ""primary_multiple_downstream_blocked"": 3, ""primary_outcome_blocked"": 363, ""primary_pa_blocked"": 36, ""primary_starter_blocked"": 85, ""qualified_but_not_matrix_hits_1_5_queue"": 41}, ""governed_rows"": 26, ""governed_sides"": 3, ""movement_counts"": {""STARTER_LEDGER_REPAIR_TO_FULLY_QUALIFIED"": 23, ""STARTER_LEDGER_REPAIR_TO_PA_BLOCKED"": 3}}","{""admitted_fields"": 36, ""child_state"": {""fully_qualified_hits"": 1523, ""fully_qualified_hits_0_5"": 1383, ""fully_qualified_hits_1_5"": 140, ""primary_bundle_blocked"": 36, ""primary_multiple_downstream_blocked"": 3, ""primary_outcome_blocked"": 363, ""primary_pa_blocked"": 36, ""primary_starter_blocked"": 85, ""qualified_but_not_matrix_hits_1_5_queue"": 41}, ""governed_rows"": 26, ""governed_sides"": 3, ""movement_counts"": {""STARTER_LEDGER_REPAIR_TO_FULLY_QUALIFIED"": 23, ""STARTER_LEDGER_REPAIR_TO_PA_BLOCKED"": 3}}"
