feature,control_coefficient,park_only_coefficient,c_coefficient,c_minus_control,c_minus_park_only,sign_flip_vs_control,max_abs_training_correlation_with_removed_depth,max_abs_current_correlation_with_removed_depth,feature_risk,notes
league_total,-0.01265250483616578,-0.009121384581001273,-0.007650561803718463,0.0050019430324473165,0.0014708227772828103,False,0.25837898003762744,0,LOW,
home_offense,0.01438300487029133,0.015087237812546086,0.015165920655995545,0.0007829157857042156,7.868284344945964e-05,False,0.03680090798584076,0.24133740289172842,LOW,
home_prevention,-0.013582351836678185,-0.012296395860512854,-0.011540466649533098,0.002041885187145086,0.0007559292109797552,False,0.057186034591233253,0.40003413025730433,LOW,
away_offense,0.013564475744245507,0.01422722503703608,0.013775102685456396,0.00021062694121088896,-0.00045212235157968475,False,0.04970837871632411,0.17922232508033514,LOW,
away_prevention,-0.013586090275206979,-0.012712933632803715,-0.011846246357311912,0.0017398439178950668,0.0008666872754918026,False,0.06924649599947505,0.11691454095161734,LOW,
home_starter_ra9,0.013753975761015624,0.014250473464018296,0.014260987454727389,0.000507011693711765,1.0513990709093077e-05,False,0.1026147488220363,0.20390255218771622,LOW,
away_starter_ra9,0.006799765020473005,0.00701805004626481,0.007002475915133584,0.0002027108946605783,-1.5574131131226507e-05,False,0.09251473561107038,0.11660936158801445,LOW,
home_expected_outs,-0.011065970207803344,-0.007414313935690596,-0.007361001572272555,0.003704968635530789,5.3312363418041124e-05,False,0.28257348271716565,0.39174992110523715,LOW,
away_expected_outs,0.007419496809107899,0.010418727359514813,0.0076670565942527575,0.0002475597851448585,-0.0027516707652620554,False,0.28541016442991346,0.2671910881867383,LOW,
home_workload_uncertainty_outs,0.010362819278096425,0.010388781746984557,0.010736750416472023,0.0003739311383755984,0.00034796866948746605,False,0.1151186117711605,0.07867481610526378,LOW,
away_workload_uncertainty_outs,0.0014323801126656583,0.0013164015179776812,0.0019722974722490407,0.0005399173595833824,0.0006558959542713595,False,0.11354543194734223,0.04966294910504122,LOW,
home_bullpen_ra9,0.015070549615556185,0.01284178156967175,0.011500430968169254,-0.003570118647386931,-0.001341350601502497,False,0.0602102103262412,0.31519752265464807,LOW,
away_bullpen_ra9,0.010854280711089645,0.009848791942991162,0.008867486409897794,-0.001986794301191851,-0.000981305533093368,False,0.03299019713676318,0.08984124660426432,LOW,
home_bullpen_likely_available_reliever_count,-0.01084444912895344,-0.012382836433609365,-0.013262985030833062,-0.0024185359018796208,-0.0008801485972236966,False,0.14270504747934054,0.1748011552220107,LOW,
away_bullpen_likely_available_reliever_count,0.003558827664027518,0.0021600145225947357,0.0020310716464405666,-0.0015277560175869513,-0.00012894287615416913,False,0.126796373751619,0.20597023021224017,LOW,
home_bullpen_recent_innings_burden,-0.000834537374008508,-0.0022483806124508248,-0.0025168109530165667,-0.0016822735790080587,-0.0002684303405657419,False,0.04279191108907627,0.11926447351188699,LOW,
away_bullpen_recent_innings_burden,0.007154814495771844,0.006149485167285061,0.006379359474389643,-0.0007754550213822011,0.00022987430710458192,False,0.03968564726736552,0.119011434381496,LOW,
strict_prior_total_run_factor,0.04347158492532503,0.0443690137870892,0.04519379965478723,0.0017222147294621987,0.000824785867698033,False,0.08924576805123069,0.5592551359550907,LOW,park-factor/depth correlation is expected from governed n/(n+50) shrinkage and is not coefficient reassignment
game_number,0.003839049993724805,0.003112184877286818,0.00341793920317846,-0.0004211107905463447,0.0003057543258916423,False,0.04348074050654265,0,LOW,
