feature,period,support_segment,training_p01,training_p99,games,mae,rmse,actual_minus_forecast_bias,median_mae,crps,ladder_brier,ladder_log_loss,result
home_bullpen_recent_innings_burden,FROZEN_2025_VALIDATION,INSIDE_TRAIN_P01_P99,0.0,18.0,2421,3.6059893261682205,4.565165617368129,-0.10772072915985155,3.567121024370095,2.5162415432357004,0.22634846997377278,0.644280534875725,MEASURED
home_bullpen_recent_innings_burden,FROZEN_2025_VALIDATION,OUTSIDE_TRAIN_P01_P99,0.0,18.0,12,5.577319162143943,6.598037196092623,3.176542450663566,5.666666666666667,4.122520130700966,0.24034677919059147,0.674868433541953,MEASURED
home_bullpen_recent_innings_burden,2026_SEQUENTIAL_EARLY,INSIDE_TRAIN_P01_P99,0.0,18.0,1265,3.542794414694225,4.47418413973281,0.013395532476633882,3.524110671936759,2.4825467484297103,0.22448216000561477,0.6403528106744376,MEASURED
home_bullpen_recent_innings_burden,2026_SEQUENTIAL_EARLY,OUTSIDE_TRAIN_P01_P99,0.0,18.0,16,4.516247265853139,4.863374103057811,-0.013420298490260274,4.625,2.934602571897307,0.26223320795976174,0.7205845179940668,MEASURED
home_bullpen_recent_innings_burden,2026_LATE_HOLDOUT,INSIDE_TRAIN_P01_P99,0.0,18.0,433,3.7394944288335794,4.609337785958837,-0.047142236674412114,3.644341801385681,2.5613305462008538,0.22852525543722324,0.6490069595442701,MEASURED
home_bullpen_recent_innings_burden,2026_LATE_HOLDOUT,OUTSIDE_TRAIN_P01_P99,0.0,18.0,6,5.633202558978147,6.710368654911562,2.7578896063636864,5.833333333333333,3.976399282785364,0.27080084470375787,0.7385422326984578,MEASURED
home_bullpen_recent_innings_burden,PROSPECTIVE_AUG06_15,INSIDE_TRAIN_P01_P99,0.0,18.0,126,3.27124467203617,4.047216838694606,-0.15533428351781042,3.2698412698412698,2.2785095216433855,0.21963848293349914,0.6299698474858353,MEASURED
home_bullpen_recent_innings_burden,PROSPECTIVE_AUG06_15,OUTSIDE_TRAIN_P01_P99,0.0,18.0,0,nan,nan,nan,nan,nan,nan,nan,NOT_TESTABLE_NO_ROWS
away_bullpen_recent_innings_burden,FROZEN_2025_VALIDATION,INSIDE_TRAIN_P01_P99,0.0,17.0,2421,3.6125160692598697,4.575014359551009,-0.08681898970136415,3.5753820735233375,2.5225195233127233,0.2263588773444226,0.6443092788699506,MEASURED
away_bullpen_recent_innings_burden,FROZEN_2025_VALIDATION,OUTSIDE_TRAIN_P01_P99,0.0,17.0,12,4.260548743403715,5.037132705050776,-1.0403834850862712,4.0,2.8559376501615765,0.23824709216199658,0.669069332706915,MEASURED
away_bullpen_recent_innings_burden,2026_SEQUENTIAL_EARLY,INSIDE_TRAIN_P01_P99,0.0,17.0,1270,3.546960765655734,4.465041622426866,0.01209856176474107,3.530708661417323,2.481259288866295,0.22501675469404092,0.6414907990347959,MEASURED
away_bullpen_recent_innings_burden,2026_SEQUENTIAL_EARLY,OUTSIDE_TRAIN_P01_P99,0.0,17.0,11,4.4777016780966585,5.894066564964204,0.12413185144332285,4.363636363636363,3.2887255503405113,0.2176713884569913,0.625667546988895,MEASURED
away_bullpen_recent_innings_burden,2026_LATE_HOLDOUT,INSIDE_TRAIN_P01_P99,0.0,17.0,434,3.7715005686986167,4.655302045823242,0.0006286090067860989,3.6820276497695854,2.587635963543128,0.2290947133438197,0.650214667092388,MEASURED
away_bullpen_recent_innings_burden,2026_LATE_HOLDOUT,OUTSIDE_TRAIN_P01_P99,0.0,17.0,5,3.2338112447218514,3.5808581747433967,-0.8276134301566991,3.0,1.976102804792821,0.22982701626449084,0.6516202721526733,MEASURED
away_bullpen_recent_innings_burden,PROSPECTIVE_AUG06_15,INSIDE_TRAIN_P01_P99,0.0,17.0,126,3.27124467203617,4.047216838694606,-0.15533428351781042,3.2698412698412698,2.2785095216433855,0.21963848293349914,0.6299698474858353,MEASURED
away_bullpen_recent_innings_burden,PROSPECTIVE_AUG06_15,OUTSIDE_TRAIN_P01_P99,0.0,17.0,0,nan,nan,nan,nan,nan,nan,nan,NOT_TESTABLE_NO_ROWS
