feature,coefficient,standardized_center_shift,center_shift_log_location_contribution,implied_multiplicative_location_ratio,support_status,absolute_impact_rank
home_bullpen_likely_available_reliever_count,-0.013262985030833062,1.2648782170916044,-0.016776060859112762,0.9833638736405637,MODERATE_DRIFT,1
away_bullpen_recent_innings_burden,0.006379359474389643,-2.4172288560090327,-0.015420371804349261,0.9846979133481046,SEVERE_DRIFT,2
league_total,-0.007650561803718463,-1.3545100148748848,0.01036276258255592,1.0104166419589578,MODERATE_DRIFT,3
strict_prior_total_run_factor,0.04519379965478723,-0.22533728900114505,-0.01018384829387064,0.9898678315072998,IN_SUPPORT,4
home_bullpen_recent_innings_burden,-0.0025168109530165667,-2.478287556529939,0.006237381266999214,1.0062568742368212,SEVERE_DRIFT,5
away_bullpen_likely_available_reliever_count,0.0020310716464405666,1.1134578242054831,0.0022615126162511615,1.0022640717647264,MODERATE_DRIFT,6
home_offense,0.015165920655995545,-0.14281106481949962,-0.0021658612778507683,0.9978364825072769,IN_SUPPORT,7
away_offense,0.013775102685456396,-0.10725737706258545,-0.0014774813828098302,0.9985236095554619,IN_SUPPORT,8
home_prevention,-0.011540466649533098,-0.12722129557296938,0.001468193118670246,1.0014692714418514,IN_SUPPORT,9
home_workload_uncertainty_outs,0.010736750416472023,-0.1348351493568715,-0.0014476913460124575,0.9985533560536061,IN_SUPPORT,10
home_starter_ra9,0.014260987454727389,-0.09907233631762746,-0.001412869345336218,0.9985881282846617,IN_SUPPORT,11
away_prevention,-0.011846246357311912,-0.10873615909000163,0.0012881153285280204,1.0012889453054081,IN_SUPPORT,12
away_starter_ra9,0.007002475915133584,-0.12296160478483459,-0.0008610356759919787,0.9991393349088558,IN_SUPPORT,13
away_expected_outs,0.0076670565942527575,0.08248886301208713,0.0006324467811092351,1.0006326468177433,IN_SUPPORT,14
game_number,0.00341793920317846,-0.11553024151667364,-0.0003948753416325146,0.9996052026113743,IN_SUPPORT,15
home_expected_outs,-0.007361001572272555,-0.04120007512414007,0.0003032738177665424,1.00030331980992,IN_SUPPORT,16
home_bullpen_ra9,0.011500430968169254,-0.01185567450961537,-0.00013634536627891544,0.9998636639283282,IN_SUPPORT,17
away_workload_uncertainty_outs,0.0019722974722490407,-0.03988927474529694,-7.867351574999665e-05,0.9999213295789299,IN_SUPPORT,18
away_bullpen_ra9,0.008867486409897794,0.007304173486506621,6.476965912713325e-05,1.0000647717567268,IN_SUPPORT,19
