feature,training_mean,training_median,training_sd,training_min,training_p01,training_p05,training_p25,training_p50,training_p75,training_p95,training_p99,training_max,current_mean,current_median,current_sd,current_min,current_p01,current_p05,current_p25,current_p50,current_p75,current_p95,current_p99,current_max,current_pct_above_training_p95,current_pct_above_training_p99,current_pct_above_training_max,current_pct_below_training_min,standardized_mean_shift,support_status,current_population,current_games
league_total,9.12713348290902,9.125289256198347,0.11622389197806818,8.0,8.6,9.035539476484358,9.06523630037692,9.125289256198347,9.185882352941176,9.257461024498886,9.394594594594595,9.441441441441441,8.96970705725699,8.96970705725699,0.0,8.96970705725699,8.96970705725699,8.96970705725699,8.96970705725699,8.96970705725699,8.96970705725699,8.96970705725699,8.96970705725699,8.96970705725699,0.0,0.0,0.0,0.0,-1.3545100148748848,MODERATE_DRIFT,FROZEN_LIVE_CONTEXT_AUG06_16,141
home_offense,4.570371380309777,4.512195121951219,0.6330104783604718,0.0,3.268153846153846,3.6587624662861447,4.2419868502157385,4.512195121951219,4.8838247508305646,5.609682539682538,6.267181818181821,13.5,4.479970479853217,4.43261231281198,0.32099341620674365,3.8864774624373957,3.8864774624373957,4.09,4.224625623960066,4.43261231281198,4.750830564784053,4.908485856905158,5.252911813643927,5.252911813643927,0.0,0.0,0.0,0.0,-0.14281106481949962,IN_SUPPORT,FROZEN_LIVE_CONTEXT_AUG06_16,141
home_prevention,4.558559917513907,4.4480519480519485,0.6423759599340648,0.0,3.017058823529412,3.8821176470588235,4.176066627703097,4.4480519480519485,4.875431034482759,5.7570659869725285,6.333333333333333,10.0,4.476836015646166,4.3993344425956735,0.3513466567820395,3.9166666666666665,3.9166666666666665,4.059800664451827,4.179700499168053,4.3993344425956735,4.747088186356073,5.172757475083056,5.256666666666667,5.256666666666667,0.0,0.0,0.0,0.0,-0.12722129557296938,IN_SUPPORT,FROZEN_LIVE_CONTEXT_AUG06_16,141
away_offense,4.559919885143778,4.51304347826087,0.6138253712323717,0.0,3.119862700228833,3.658488063660477,4.2368421052631575,4.51304347826087,4.874269549062658,5.585997596153846,6.295053763440861,10.0,4.494082585850926,4.48671096345515,0.27019800814937706,3.8864774624373957,3.8864774624373957,4.104825291181364,4.249584026622296,4.48671096345515,4.673333333333333,4.8887043189368775,5.252911813643927,5.252911813643927,0.0,0.0,0.0,0.0,-0.10725737706258545,IN_SUPPORT,FROZEN_LIVE_CONTEXT_AUG06_16,141
away_prevention,4.567582879203796,4.449367088607595,0.672491566445702,0.0,2.8494586894586895,3.909090909090909,4.18348623853211,4.449367088607595,4.863790970933827,5.748043478260868,6.820029325513197,13.5,4.4944587292480715,4.36,0.4859894041688509,3.9166666666666665,3.9166666666666665,4.02828618968386,4.179700499168053,4.36,4.555740432612313,5.938435940099834,5.938435940099834,5.938435940099834,0.06382978723404255,0.0,0.0,0.0,-0.10873615909000163,IN_SUPPORT,FROZEN_LIVE_CONTEXT_AUG06_16,141
home_starter_ra9,4.621325646023378,4.405263157894737,2.3152757588117585,0.0,0.0,2.1144940880015506,3.652458430180583,4.405263157894737,5.236599819423427,7.397856827220501,11.385000000000023,54.0,4.391945867378329,4.356472795497186,1.3934059292444592,0.8181818181818182,0.828409090909091,2.6937716262975777,3.7726027397260276,4.356472795497186,4.878020713463751,6.306569343065694,7.902439024390244,13.5,0.02127659574468085,0.0070921985815602835,0.0,0.0,-0.09907233631762746,IN_SUPPORT,FROZEN_LIVE_CONTEXT_AUG06_16,141
away_starter_ra9,4.567044285917361,4.4,2.1739521611910138,0.0,0.0,2.188808129278103,3.6346153846153846,4.4,5.183517857142857,7.332040229885057,11.205000000000005,81.0,4.2997316394518545,4.180473372781065,1.4101337642437062,0.0,1.22625,2.793103448275862,3.682600382409178,4.180473372781065,4.7958041958041955,5.909090909090909,9.493783783783758,13.5,0.014184397163120567,0.014184397163120567,0.0,0.0,-0.12296160478483459,IN_SUPPORT,FROZEN_LIVE_CONTEXT_AUG06_16,141
home_expected_outs,15.678414157977553,16.0,3.0192965685908484,3.0,4.0,10.333333333333334,14.333333333333334,16.0,17.666666666666668,19.666666666666668,21.0,25.666666666666668,15.554018912529552,16.0,3.1020493878540454,3.0,4.733333333333333,11.0,14.333333333333334,16.0,17.666666666666668,20.0,21.199999999999996,23.0,0.05673758865248227,0.014184397163120567,0.0,0.0,-0.04120007512414007,IN_SUPPORT,FROZEN_LIVE_CONTEXT_AUG06_16,141
away_expected_outs,15.801231001162217,16.0,3.011490034385665,3.0,4.0,10.666666666666666,14.333333333333334,16.0,17.666666666666668,20.0,21.333333333333332,24.666666666666668,16.04964539007092,16.666666666666668,2.8464613592738046,3.0,7.533333333333334,11.666666666666666,14.666666666666666,16.666666666666668,18.0,20.0,21.199999999999996,23.0,0.04964539007092199,0.0070921985815602835,0.0,0.0,0.08248886301208713,IN_SUPPORT,FROZEN_LIVE_CONTEXT_AUG06_16,141
home_workload_uncertainty_outs,2.5668069657264914,2.449489742783178,1.5663261696556983,0.0,0.0,0.4714045207910317,1.4142135623730951,2.449489742783178,3.681787005729087,5.312459150169743,6.9984412878742805,9.8770215933527,2.355611142699389,2.160246899469287,1.5804829406341456,0.0,0.0,0.0,1.4142135623730951,2.160246899469287,2.8674417556808756,5.0990195135927845,8.07923825945287,8.48528137423857,0.04964539007092199,0.02127659574468085,0.0,0.0,-0.1348351493568715,IN_SUPPORT,FROZEN_LIVE_CONTEXT_AUG06_16,141
