through_date,completed_date_clusters,resolved_rows,model_brier,population_brier,hitter_brier,model_minus_population_brier,model_minus_hitter_brier,model_log_loss,population_log_loss,hitter_log_loss,model_minus_population_log_loss,model_minus_hitter_log_loss,ece
2026-08-03,1,94,0.25194207284215053,0.23962327483549073,0.25249609163233566,0.012318798006659804,-0.000554018790185129,0.6970790543992498,0.6722775196261809,0.6994672832677025,0.0248015347730689,-0.002388228868452691,0.1042323428790185
2026-08-04,2,350,0.24351381359051077,0.24318572459599178,0.2504890317164191,0.0003280889945189991,-0.0069752181259083446,0.6799214438930271,0.6794576392841296,0.6950292656524734,0.0004638046088975001,-0.01510782175944625,0.04514733039848424
2026-08-05,3,616,0.24636688829762235,0.2478661994633825,0.2532672560291149,-0.0014993111657601588,-0.006900367731492524,0.68597481980994,0.6888911392246766,0.7006429529704656,-0.002916319414736579,-0.01466813316052562,0.025204329894197866
2026-08-06,4,815,0.24421157714560082,0.24523483490036269,0.2474143809670435,-0.0010232577547618638,-0.003202803821442668,0.6816455913784119,0.6835876223482696,0.6886129318623803,-0.0019420309698577887,-0.0069673404839684094,0.027634798423486606
2026-08-07,5,1083,0.2460231693795134,0.2450361676963378,0.24811275106866462,0.0009870016831756145,-0.0020895816891512153,0.6852706917843124,0.6831872084777851,0.690030483403765,0.0020834833065273006,-0.0047597916194526135,0.03808322024205716
2026-08-08,6,1345,0.2447831086510164,0.24396738773182228,0.2457423102277831,0.0008157209191941295,-0.0009592015767666828,0.6827089740864509,0.6810330818095791,0.6851623027295751,0.0016758922768718154,-0.0024533286431241974,0.03738634442624194
2026-08-09,7,1606,0.2463438610595767,0.24413507382084987,0.24674222766334059,0.0022087872387268337,-0.00039836660376388333,0.6859118530497162,0.6813710532239529,0.6873521841345159,0.004540799825763386,-0.0014403310847996842,0.0448293422212147
2026-08-10,8,1785,0.24551377686626394,0.24449215472045374,0.24693260257334387,0.001021622145810197,-0.0014188257070799348,0.6841677880071515,0.6820907499941785,0.6876397309999737,0.002077038012972987,-0.0034719429928221635,0.039813581336674446
2026-08-11,9,2045,0.2451153683742508,0.24488458570439975,0.2473764971813991,0.00023078266985104845,-0.002261128807148294,0.6833966402190272,0.6828816948808855,0.6885898223687242,0.0005149453381417812,-0.005193182149696995,0.035366102239483235
2026-08-12,10,2315,0.24436456314546381,0.2441874517251689,0.24641472939797776,0.00017711142029491755,-0.0020501662525139464,0.6818481875256515,0.6814766209219489,0.6865635000165202,0.00037156660370252226,-0.004715312490868762,0.03237759657183755
2026-08-13,11,2483,0.2447600700601806,0.24454169480551188,0.24666709736040854,0.00021837525466872343,-0.0019070273002279314,0.6826697435205488,0.6821905980657292,0.6870982804409571,0.0004791454548195295,-0.004428536920408344,0.03198179999016749
2026-08-14,12,2737,0.24406570752368253,0.24436306083463735,0.24622270221759296,-0.00029735331095481765,-0.0021569946939104245,0.6812155274645247,0.6818305611888376,0.6861552345706705,-0.000615033724312819,-0.004939707106145774,0.029602211638756835
2026-08-15,13,3012,0.2443026854081219,0.2442699324907146,0.24652428976774018,3.275291740728603e-05,-0.0022216043596182955,0.681669652465011,0.6816428609550474,0.6867610900707813,2.679150996354185e-05,-0.005091437605770355,0.03168143224070252
2026-08-16,14,3275,0.24461177725545283,0.2439189159248883,0.24628401327005228,0.000692861330564537,-0.0016722360145994541,0.682313507982492,0.6809353868532372,0.6862942484082257,0.001378121129254839,-0.003980740425733709,0.033898070273966456
2026-08-17,15,3454,0.24439714639836244,0.24345703831870136,0.24539127856080864,0.0009401080796610783,-0.000994132162446204,0.6818633656542712,0.6800044722571861,0.6844261564363778,0.0018588933970851151,-0.0025627907821066387,0.03634966402561171
2026-08-18,16,3717,0.24376606128220932,0.24336823563546459,0.24450193017527208,0.00039782564674473164,-0.0007358688930627633,0.6805499344448498,0.6798254903951382,0.6825840758973077,0.0007244440497116145,-0.0020341414524579493,0.033200647826834205
2026-08-19,17,3988,0.24417417912848732,0.2436958337492734,0.2448892387861204,0.00047834537921392917,-0.000715059657633077,0.6813759896376459,0.6804857645926707,0.6834031638953179,0.000890225044975157,-0.00202717425767196,0.03135371848577263
2026-08-20,18,4156,0.244452028116372,0.24378160585615302,0.24474004547873118,0.0006704222602189891,-0.00028801736235917197,0.6819332080095868,0.6806586383262285,0.6830837120997304,0.001274569683358262,-0.0011505040901436114,0.03363513326082936
2026-08-21,19,4424,0.24418556224604107,0.2439921493557467,0.24490900053827186,0.00019341289029436992,-0.000723438292230788,0.6813861425248633,0.6810829888776517,0.6834214044939804,0.00030315364721156257,-0.002035261969117075,0.031166369300450008
2026-08-22,20,4687,0.24437413474824818,0.24408554576966648,0.24514211992993282,0.0002885889785816942,-0.0007679851816846384,0.6817734219393344,0.6812712294066839,0.6839082099073939,0.0005021925326504917,-0.0021347879680594373,0.03074557038401506
