scope,completed_date_clusters,rows,brier,log_loss,ece,mean_predicted_rate,observed_rate,model_minus_population_brier,model_minus_population_log_loss,model_minus_hitter_brier,model_minus_hitter_log_loss,forward_temporal_stability
FIRST_12_COMPLETED_CLUSTERS,12,2737,0.24406570752368253,0.6812155274645247,0.029602211638756835,0.5548453093752059,0.5750822067957618,-0.00029735331095481765,-0.000615033724312819,-0.0021569946939104245,-0.004939707106145774,MIXED
NEXT_8_COMPLETED_CLUSTERS,8,1950,0.24480704003729234,0.6825564769021828,0.034749646774522865,0.5562410060010886,0.5794871794871795,0.00111101156651075,0.0020703198481938356,0.0011816143234239518,0.0018021677657572566,MIXED
