excluded_date,resolved_rows,model_minus_population_brier,model_minus_population_log_loss,model_minus_hitter_brier,model_minus_hitter_log_loss,model_minus_population_brier_favors_model,model_minus_population_log_loss_favors_model,model_minus_hitter_brier_favors_model,model_minus_hitter_log_loss_favors_model,maximum_absolute_brier_delta_change_from_full,lodo_stability,model_minus_population_brier_minimum,model_minus_population_brier_maximum,model_minus_population_brier_fraction_exclusions_favoring_model,model_minus_population_brier_sign_change_count,model_minus_population_log_loss_minimum,model_minus_population_log_loss_maximum,model_minus_population_log_loss_fraction_exclusions_favoring_model,model_minus_population_log_loss_sign_change_count,model_minus_hitter_brier_minimum,model_minus_hitter_brier_maximum,model_minus_hitter_brier_fraction_exclusions_favoring_model,model_minus_hitter_brier_sign_change_count,model_minus_hitter_log_loss_minimum,model_minus_hitter_log_loss_maximum,model_minus_hitter_log_loss_fraction_exclusions_favoring_model,model_minus_hitter_log_loss_sign_change_count,most_influential_date_by_brier_delta_change
2026-08-03,4593,4.237960591915724e-05,4.883982552827959e-06,-0.0007723642021072175,-0.0021296010652427366,False,False,True,True,0.00024620937266253695,WEAK,-0.00024797811262233793,0.0007429809525730524,0.15,3,-0.0006065686866810749,0.0014278651887998928,0.15,3,-0.001251638643584796,-0.0002731433014590834,1.0,0,-0.003147914094759452,-0.001115438299283067,1.0,0,2026-08-09
2026-08-04,4431,0.0005406798481509822,0.0010207152011030285,-0.0002731433014590834,-0.001115438299283067,False,False,True,True,0.000494841880225555,WEAK,-0.00024797811262233793,0.0007429809525730524,0.15,3,-0.0006065686866810749,0.0014278651887998928,0.15,3,-0.001251638643584796,-0.0002731433014590834,1.0,0,-0.003147914094759452,-0.001115438299283067,1.0,0,2026-08-09
2026-08-05,4421,0.0005408331528618526,0.0009754717876330199,-0.00040494149921393996,-0.001415498483423816,False,False,True,True,0.0003630436824706984,WEAK,-0.00024797811262233793,0.0007429809525730524,0.15,3,-0.0006065686866810749,0.0014278651887998928,0.15,3,-0.001251638643584796,-0.0002731433014590834,1.0,0,-0.003147914094759452,-0.001115438299283067,1.0,0,2026-08-09
2026-08-06,4488,0.00028141620646948695,0.00047684467056363644,-0.001167532966729029,-0.0029774818936595393,False,False,True,True,0.0003995477850443907,WEAK,-0.00024797811262233793,0.0007429809525730524,0.15,3,-0.0006065686866810749,0.0014278651887998928,0.15,3,-0.001251638643584796,-0.0002731433014590834,1.0,0,-0.003147914094759452,-0.001115438299283067,1.0,0,2026-08-09
2026-08-07,4419,-0.00012452169051768713,-0.00033613742042759576,-0.0008931465697400442,-0.0023827289832226706,True,True,True,True,0.0004131106690993813,WEAK,-0.00024797811262233793,0.0007429809525730524,0.15,3,-0.0006065686866810749,0.0014278651887998928,0.15,3,-0.001251638643584796,-0.0002731433014590834,1.0,0,-0.003147914094759452,-0.001115438299283067,1.0,0,2026-08-09
2026-08-08,4425,0.00029929824388141846,0.0005324550755051449,-0.0010333191853459378,-0.0026804245209400834,False,False,True,True,0.00026533400366129944,WEAK,-0.00024797811262233793,0.0007429809525730524,0.15,3,-0.0006065686866810749,0.0014278651887998928,0.15,3,-0.001251638643584796,-0.0002731433014590834,1.0,0,-0.003147914094759452,-0.001115438299283067,1.0,0,2026-08-09
2026-08-09,4426,-0.00024797811262233793,-0.0006065686866810749,-0.0009602114554140284,-0.0024835758041364953,True,True,True,True,0.0005365670912040321,WEAK,-0.00024797811262233793,0.0007429809525730524,0.15,3,-0.0006065686866810749,0.0014278651887998928,0.15,3,-0.001251638643584796,-0.0002731433014590834,1.0,0,-0.003147914094759452,-0.001115438299283067,1.0,0,2026-08-09
2026-08-10,4508,0.0006824164413789802,0.0013173886573984994,-0.0003785979203778933,-0.001357920294209225,False,False,True,True,0.000393827462797286,WEAK,-0.00024797811262233793,0.0007429809525730524,0.15,3,-0.0006065686866810749,0.0014278651887998928,0.15,3,-0.001251638643584796,-0.0002731433014590834,1.0,0,-0.003147914094759452,-0.001115438299283067,1.0,0,2026-08-09
2026-08-11,4427,0.000610856452007702,0.0011312911762345612,-0.00034066908133625895,-0.001261150203829109,False,False,True,True,0.0004273161003483794,WEAK,-0.00024797811262233793,0.0007429809525730524,0.15,3,-0.0006065686866810749,0.0014278651887998928,0.15,3,-0.001251638643584796,-0.0002731433014590834,1.0,0,-0.003147914094759452,-0.001115438299283067,1.0,0,2026-08-09
2026-08-12,4417,0.00032025224461745827,0.000576559413507427,-0.000787280978629068,-0.0021982930237861575,False,False,True,True,3.166326603576408e-05,WEAK,-0.00024797811262233793,0.0007429809525730524,0.15,3,-0.0006065686866810749,0.0014278651887998928,0.15,3,-0.001251638643584796,-0.0002731433014590834,1.0,0,-0.003147914094759452,-0.001115438299283067,1.0,0,2026-08-09
2026-08-13,4519,0.00027006057164261077,0.0004479386863881496,-0.0007989671685461053,-0.002196424529604113,False,False,True,True,3.0981986861466915e-05,WEAK,-0.00024797811262233793,0.0007429809525730524,0.15,3,-0.0006065686866810749,0.0014278651887998928,0.15,3,-0.001251638643584796,-0.0002731433014590834,1.0,0,-0.003147914094759452,-0.001115438299283067,1.0,0,2026-08-09
