row_type,category,rows
CORRECTNESS,BOTH_CORRECT,371
CORRECTNESS,BOTH_WRONG,287
CORRECTNESS,PROPPADIA_ONLY_CORRECT,93
CORRECTNESS,BETONLINE_ONLY_CORRECT,111
PROBABILITY_DISAGREEMENT,LT_5PP,387
PROBABILITY_DISAGREEMENT,5_TO_LT_10PP,277
PROBABILITY_DISAGREEMENT,GE_10PP,198
