band,rows,mean_predicted_probability,observed_hit_rate,brier,confidence_ordering
BOTTOM20,938,0.4526092659889054,0.535181236673774,0.25562240086089216,ROBUST
SECOND20,938,0.5157568647585136,0.5501066098081023,0.24880032975373487,ROBUST
MIDDLE20,937,0.5574629197572077,0.5699039487726788,0.245582662370988,ROBUST
FOURTH20,937,0.5977255022975585,0.5880469583778015,0.2419563181365116,ROBUST
TOP20,937,0.6537274187360362,0.6414087513340448,0.22989223427213648,ROBUST
TOP10,469,0.6717183684925115,0.650319829424307,0.22731072576214795,ROBUST
