threshold,rows,mean_predicted_probability,observed_hit_rate,calibration_gap_predicted_minus_observed,brier,current_model_upper_tail
>=65%,378,0.6774095751785719,0.6455026455026455,0.0319069296759264,0.22871353014477566,INSUFFICIENT_SAMPLE
>=70%,57,0.7081885624355533,0.7543859649122807,-0.04619740247672739,0.18728695650177768,INSUFFICIENT_SAMPLE
>=75%,1,0.759531869021303,1.0,-0.24046813097869701,0.05782492201638778,INSUFFICIENT_SAMPLE
