forecast,rows,brier,log_loss,mean_probability,observed_rate,probability_sd,minimum_probability,maximum_probability,accuracy_at_50,ece,model_minus_forecast_brier,model_minus_forecast_log_loss,uncertainty_decision
MODEL,4687,0.24437413474824818,0.6817734219393344,0.5554259811098915,0.5769148709195647,0.07149074050777567,0.3738101757804691,0.759531869021303,0.5598463836142522,0.03074557038401506,0.0,0.0,REFERENCE
BASELINE_A_STRICT_PRIOR_POPULATION,4687,0.24408554576966648,0.6812712294066839,0.5757135640313209,0.5769148709195647,1.1102230246251565e-16,0.575713564031321,0.575713564031321,0.5769148709195647,0.001201306888243825,0.0002885889785816942,0.0005021925326504917,MODEL_EFFECTIVELY_TIED
BASELINE_B_STRICT_PRIOR_HITTER_SHRUNK,4687,0.24514211992993282,0.6839082099073939,0.5871631302681196,0.5769148709195647,0.0812768570551549,0.3070472341500379,0.8372484634166878,0.5767015148282484,0.043958823961424344,-0.0007679851816846384,-0.0021347879680594373,MODEL_EFFECTIVELY_TIED
