metric,point_estimate,ci_low,ci_high,fraction_draws_favoring_model,completed_date_clusters,replicates,seed
model_brier,0.24437413474824818,0.24179578721272238,0.24697639030222687,,20,10000,20260823
model_log_loss,0.6817734219393344,0.6764635041009793,0.6871180508737701,,20,10000,20260823
model_minus_population_brier,0.0002885889785816942,-0.002118232934376009,0.00284103344551754,0.4067,20,10000,20260823
model_minus_population_log_loss,0.0005021925326504917,-0.004406069025108949,0.0056866111371134745,0.4185,20,10000,20260823
model_minus_hitter_brier,-0.0007679851816846384,-0.0031756412118370465,0.0017281603809821604,0.7213,20,10000,20260823
model_minus_hitter_log_loss,-0.0021347879680594373,-0.007078256013010803,0.003000002097253075,0.7882,20,10000,20260823
overall_calibration_gap,-0.02148888980967335,-0.034170768666620735,-0.008494265814685587,,20,10000,20260823
