source_lineage_grade,game_pk,side,frozen_rows,settled_wagers,wins,losses,voids,supported_nonappearances,book_rule_uncertified,technical_unresolved,stake_at_risk,returned_stake,gross_winning_profit,net_dollars,roi,average_odds
GRADE_B_EXACT_RUN_ARTIFACTS_AUDIT_HASHED,822702,OVER,11,9,5,4,2,2,0,0,45,10,30.600000000000005,10.599999999999998,0.23555555555555552,121.0
GRADE_B_EXACT_RUN_ARTIFACTS_AUDIT_HASHED,822702,UNDER,11,9,4,5,2,2,0,0,45,10,13.037810904466845,-11.962189095533155,-0.2658264243451812,-157.55555555555554
GRADE_B_EXACT_RUN_ARTIFACTS_AUDIT_HASHED,822703,OVER,14,12,6,6,2,2,0,0,60,10,40.75000000000001,10.75,0.17916666666666667,129.83333333333334
GRADE_B_EXACT_RUN_ARTIFACTS_AUDIT_HASHED,822703,UNDER,14,12,6,6,2,2,0,0,60,10,18.83577349058706,-11.164226509412945,-0.1860704418235491,-169.66666666666666
GRADE_B_EXACT_RUN_ARTIFACTS_AUDIT_HASHED,822704,OVER,13,12,3,9,1,1,0,0,60,5,20.15,-24.849999999999998,-0.4141666666666666,95.58333333333333
GRADE_B_EXACT_RUN_ARTIFACTS_AUDIT_HASHED,822704,UNDER,13,12,9,3,1,1,0,0,60,5,27.97269487417426,12.972694874174259,0.21621158123623765,-168.5
GRADE_B_EXACT_RUN_ARTIFACTS_AUDIT_HASHED,822705,OVER,13,12,4,8,1,1,0,0,60,5,21.741660467807257,-18.258339532192743,-0.30430565886987904,69.75
GRADE_B_EXACT_RUN_ARTIFACTS_AUDIT_HASHED,822705,UNDER,13,12,8,4,1,1,0,0,60,5,25.04985699211731,5.049856992117311,0.08416428320195518,-156.75
GRADE_B_EXACT_RUN_ARTIFACTS_AUDIT_HASHED,822706,OVER,16,16,9,7,0,0,0,0,80,0,51.90845945805378,16.908459458053777,0.21135574322567222,87.0
GRADE_B_EXACT_RUN_ARTIFACTS_AUDIT_HASHED,822706,UNDER,16,16,7,9,0,0,0,0,80,0,19.881875864724318,-25.11812413527568,-0.31397655169094596,-150.9375
GRADE_B_EXACT_RUN_ARTIFACTS_AUDIT_HASHED,822707,OVER,15,13,4,9,2,1,0,0,65,10,27.900000000000002,-17.1,-0.2630769230769231,99.07692307692308
GRADE_B_EXACT_RUN_ARTIFACTS_AUDIT_HASHED,822707,UNDER,15,13,9,4,2,1,0,0,65,10,28.735044065535583,8.735044065535586,0.1343852933159321,-170.30769230769232
GRADE_B_EXACT_RUN_ARTIFACTS_AUDIT_HASHED,822708,OVER,13,12,5,7,1,1,0,0,60,5,30.85,-4.149999999999999,-0.06916666666666664,125.25
GRADE_B_EXACT_RUN_ARTIFACTS_AUDIT_HASHED,822708,UNDER,13,12,7,5,1,1,0,0,60,5,21.598953330899473,-3.401046669100525,-0.05668411115167542,-163.5
GRADE_B_EXACT_RUN_ARTIFACTS_AUDIT_HASHED,822709,OVER,15,15,10,5,0,0,0,0,75,0,65.31428571428572,40.31428571428572,0.5375238095238095,100.53333333333333
GRADE_B_EXACT_RUN_ARTIFACTS_AUDIT_HASHED,822709,UNDER,15,15,5,10,0,0,0,0,75,0,16.1740213337054,-33.8259786662946,-0.451013048883928,-166.66666666666666
GRADE_B_EXACT_RUN_ARTIFACTS_AUDIT_HASHED,822710,OVER,12,12,5,7,0,0,0,0,60,0,32.25,-2.749999999999999,-0.045833333333333316,111.25
GRADE_B_EXACT_RUN_ARTIFACTS_AUDIT_HASHED,822710,UNDER,12,12,7,5,0,0,0,0,60,0,21.503231577524136,-3.496768422475861,-0.05827947370793101,-167.25
GRADE_B_EXACT_RUN_ARTIFACTS_AUDIT_HASHED,822711,OVER,13,12,5,7,1,1,0,0,60,5,27.569409582445342,-7.430590417554661,-0.123843173625911,90.66666666666667
GRADE_B_EXACT_RUN_ARTIFACTS_AUDIT_HASHED,822711,UNDER,13,12,7,5,1,1,0,0,60,5,20.40733195846054,-4.59266804153946,-0.076544467358991,-162.5
GRADE_B_EXACT_RUN_ARTIFACTS_AUDIT_HASHED,822712,OVER,13,12,7,5,1,1,0,0,60,5,39.45196078431372,14.451960784313725,0.24086601307189542,79.08333333333333
GRADE_B_EXACT_RUN_ARTIFACTS_AUDIT_HASHED,822712,UNDER,13,12,5,7,1,1,0,0,60,5,17.788931239470323,-17.211068760529677,-0.28685114600882794,-130.83333333333334
GRADE_B_EXACT_RUN_ARTIFACTS_AUDIT_HASHED,822713,OVER,12,11,3,8,1,1,0,0,55,5,20.45,-19.55,-0.35545454545454547,119.36363636363636
GRADE_B_EXACT_RUN_ARTIFACTS_AUDIT_HASHED,822713,UNDER,12,11,8,3,1,1,0,0,55,5,22.79867483787802,7.798674837878021,0.14179408796141857,-180.45454545454547
GRADE_B_EXACT_RUN_ARTIFACTS_AUDIT_HASHED,822714,OVER,16,13,9,4,3,3,0,0,65,15,54.837155963302756,34.83715596330275,0.535956245589273,109.46153846153847
GRADE_B_EXACT_RUN_ARTIFACTS_AUDIT_HASHED,822714,UNDER,16,13,4,9,3,3,0,0,65,15,11.908317665169825,-33.091682334830175,-0.5091028051512334,-163.30769230769232
GRADE_B_EXACT_RUN_ARTIFACTS_AUDIT_HASHED,822715,OVER,16,16,9,7,0,0,0,0,80,0,58.8,23.800000000000004,0.29750000000000004,130.125
GRADE_B_EXACT_RUN_ARTIFACTS_AUDIT_HASHED,822715,UNDER,16,16,7,9,0,0,0,0,80,0,21.11792635932526,-23.88207364067474,-0.29852592050843424,-169.875
GRADE_B_EXACT_RUN_ARTIFACTS_AUDIT_HASHED,822716,OVER,16,14,5,9,2,2,0,0,70,10,26.754504504504503,-18.245495495495497,-0.26064993564993566,55.42857142857143
GRADE_B_EXACT_RUN_ARTIFACTS_AUDIT_HASHED,822716,UNDER,16,14,9,5,2,2,0,0,70,10,31.050777493451026,6.050777493451028,0.08643967847787182,-147.07142857142858
GRADE_B_EXACT_RUN_ARTIFACTS_AUDIT_HASHED,822717,OVER,12,12,8,4,0,0,0,0,60,0,51.8,31.799999999999994,0.5299999999999999,135.75
GRADE_B_EXACT_RUN_ARTIFACTS_AUDIT_HASHED,822717,UNDER,12,12,4,8,0,0,0,0,60,0,10.4986924839866,-29.501307516013398,-0.4916884586002233,-178.25
GRADE_B_EXACT_RUN_ARTIFACTS_AUDIT_HASHED,822718,OVER,13,10,6,4,3,3,0,0,50,15,39.35049504950495,19.35049504950495,0.387009900990099,87.2
GRADE_B_EXACT_RUN_ARTIFACTS_AUDIT_HASHED,822718,UNDER,13,10,4,6,3,3,0,0,50,15,13.200538200538201,-16.7994617994618,-0.33598923598923597,-166.9
GRADE_B_EXACT_RUN_ARTIFACTS_AUDIT_HASHED,822719,OVER,17,16,5,11,1,1,0,0,80,5,28.399060725207516,-26.600939274792484,-0.33251174093490604,66.875
GRADE_B_EXACT_RUN_ARTIFACTS_AUDIT_HASHED,822719,UNDER,17,16,11,5,1,1,0,0,80,5,36.94538938972989,11.945389389729892,0.14931736737162365,-152.5625
GRADE_B_EXACT_RUN_ARTIFACTS_AUDIT_HASHED,822734,OVER,14,14,8,6,0,0,0,0,70,0,45.45369740200249,15.45369740200249,0.2207671057428927,64.07142857142857
GRADE_B_EXACT_RUN_ARTIFACTS_AUDIT_HASHED,822734,UNDER,14,14,6,8,0,0,0,0,70,0,17.958343230783576,-22.041656769216424,-0.31488081098880605,-158.85714285714286
GRADE_B_EXACT_RUN_ARTIFACTS_AUDIT_HASHED,822735,OVER,14,14,5,9,0,0,0,0,70,0,31.46428571428571,-13.535714285714286,-0.19336734693877553,99.71428571428571
GRADE_B_EXACT_RUN_ARTIFACTS_AUDIT_HASHED,822735,UNDER,14,14,9,5,0,0,0,0,70,0,27.738592073454114,2.7385920734541154,0.039122743906487366,-168.5
GRADE_B_EXACT_RUN_ARTIFACTS_AUDIT_HASHED,822736,OVER,11,11,5,6,0,0,0,0,55,0,27.285964912280704,-2.7140350877192976,-0.04934609250398723,104.81818181818181
GRADE_B_EXACT_RUN_ARTIFACTS_AUDIT_HASHED,822736,UNDER,11,11,6,5,0,0,0,0,55,0,17.115139301996322,-7.884860698003678,-0.14336110360006687,-160.63636363636363
